name,date,rank,diff
리니지2M(19),2019_11_27,1,0
리니지2M(19),2019_11_28,1,0
리니지2M(19),2019_11_29,1,0
Brain Out – 가장 어색한 게임,2019_09_17,101,0
Brain Out – 가장 어색한 게임,2019_09_18,101,0
Brain Out – 가장 어색한 게임,2019_09_19,101,0
Brain Out – 가장 어색한 게임,2019_09_20,101,0
Brain Out – 가장 어색한 게임,2019_09_21,101,0
Brain Out – 가장 어색한 게임,2019_09_22,101,73
Brain Out – 가장 어색한 게임,2019_09_23,28,12
Brain Out – 가장 어색한 게임,2019_09_24,16,8
Brain Out – 가장 어색한 게임,2019_09_25,8,0
Brain Out – 가장 어색한 게임,2019_09_26,8,3
Brain Out – 가장 어색한 게임,2019_09_27,5,0
Brain Out – 가장 어색한 게임,2019_09_28,5,0
Brain Out – 가장 어색한 게임,2019_09_29,5,1
Brain Out – 가장 어색한 게임,2019_09_30,6,4
Brain Out – 가장 어색한 게임,2019_10_01,2,0
Brain Out – 가장 어색한 게임,2019_10_02,2,1
Brain Out – 가장 어색한 게임,2019_10_03,3,0
Brain Out – 가장 어색한 게임,2019_10_04,3,0
Brain Out – 가장 어색한 게임,2019_10_05,3,0
Brain Out – 가장 어색한 게임,2019_10_06,3,1
Brain Out – 가장 어색한 게임,2019_10_07,4,0
Brain Out – 가장 어색한 게임,2019_10_08,4,2
Brain Out – 가장 어색한 게임,2019_10_09,2,0
Brain Out – 가장 어색한 게임,2019_10_10,2,1
Brain Out – 가장 어색한 게임,2019_10_11,3,0
Brain Out – 가장 어색한 게임,2019_10_12,3,1
Brain Out – 가장 어색한 게임,2019_10_13,2,1
Brain Out – 가장 어색한 게임,2019_10_14,1,0
Brain Out – 가장 어색한 게임,2019_10_15,1,0
Brain Out – 가장 어색한 게임,2019_10_16,1,0
Brain Out – 가장 어색한 게임,2019_10_17,1,0
Brain Out – 가장 어색한 게임,2019_10_18,1,0
Brain Out – 가장 어색한 게임,2019_10_19,1,0
Brain Out – 가장 어색한 게임,2019_10_20,1,0
Brain Out – 가장 어색한 게임,2019_10_21,1,0
Brain Out – 가장 어색한 게임,2019_10_22,1,0
Brain Out – 가장 어색한 게임,2019_10_23,1,0
Brain Out – 가장 어색한 게임,2019_10_24,1,0
Brain Out – 가장 어색한 게임,2019_10_25,1,1
Brain Out – 가장 어색한 게임,2019_10_26,2,0
Brain Out – 가장 어색한 게임,2019_10_27,2,1
Brain Out – 가장 어색한 게임,2019_10_28,3,0
Brain Out – 가장 어색한 게임,2019_10_29,3,1
Brain Out – 가장 어색한 게임,2019_10_30,2,1
Brain Out – 가장 어색한 게임,2019_10_31,3,1
Brain Out – 가장 어색한 게임,2019_11_01,2,0
Brain Out – 가장 어색한 게임,2019_11_02,2,2
Brain Out – 가장 어색한 게임,2019_11_03,4,2
Brain Out – 가장 어색한 게임,2019_11_04,2,0
Brain Out – 가장 어색한 게임,2019_11_05,2,1
Brain Out – 가장 어색한 게임,2019_11_06,1,1
Brain Out – 가장 어색한 게임,2019_11_07,2,0
Brain Out – 가장 어색한 게임,2019_11_08,2,0
Brain Out – 가장 어색한 게임,2019_11_09,2,0
Brain Out – 가장 어색한 게임,2019_11_10,2,0
Brain Out – 가장 어색한 게임,2019_11_11,2,0
Brain Out – 가장 어색한 게임,2019_11_12,2,0
Brain Out – 가장 어색한 게임,2019_11_13,2,1
Brain Out – 가장 어색한 게임,2019_11_14,1,0
