,rank,name
0,1,Brain Out – 가장 어색한 게임
1,2,달빛조각사
2,3,콜 오브 듀티: 모바일
3,4,봉인의서
4,5,라이즈 오브 킹덤즈
5,6,Wrecking Ball
6,7,세인트 세이야 : 각성
7,8,노블레스 : 제로 with NAVER WEBTOON
8,9,Icing On The Cake
9,10,도시어부M
10,11,기적의 검
11,12,브롤스타즈
12,13,세레스M
13,14,워드퍼즐 - 단어 게임
14,15,펭귄의 섬
15,16,꽃피는 달빛
16,17,궁수의 전설
17,18,무한의 계단
18,19,배틀그라운드
19,20,소울아크: 리부트
20,21,꿈의 집 (Homescapes)
21,22,디지몬 리얼라이즈 -Digimon ReArise-
22,23,꿈의 정원 (Gardenscapes)
23,24,Perfect Slices
24,25,신의 연대기-신규서버오픈
25,26,1945
26,27,Cool Goal!
27,28,Square Bird
28,29,I Peel Good
29,30,오늘도 우라라 원시 헌팅 라이프
30,31,Granny Legend
31,32,Zipline Valley - 물리학 퍼즐 게임
32,33,Dinosaur Rampage
33,34,올스타 스매시
34,35,Magic Tiles 3
35,36,신강호
36,37,Sand Balls
37,38,이터:던전의 포식자
38,39,Bouncemasters!
39,40,3차원 채우기 (Fill in 3D)
40,41,Mario Kart Tour
41,42,피망 뉴맞고 : 고스톱으로 대한민국 1등
42,43,바이러스 워 - 우주 슈팅 게임
43,44,Zooba - 동물원 배틀 아레나
44,45,Fun Race 3D
45,46,Empires & Puzzles: RPG Quest
46,47,꿈의 마을 (Township)
47,48,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
48,49,클래시 로얄
49,50,ROBLOX
50,51,신비아파트 고스트헌터
51,52,스도쿠 - 무료 클래식 스도쿠 퍼즐
52,53,Mr Bullet - 스파이 퍼즐
53,54,Color Saw 3D
54,55,피츠메이커
55,56,무한의 농장
56,57,좀비고등학교
57,58,Rider
58,59,리치리치
59,60,피망 섯다
60,61,The Real Juggle
61,62,Rummikub
62,63,aquapark.io
63,64,Color Fill 3D
64,65,전투 마스터
65,66,장기2.0
66,67,한게임 포커
67,68,Robot Clash
68,69,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
69,70,장기의 달인
70,71,Minecraft 체험판
71,72,마피아42
72,73,Nonogram.com - 픽처 크로스 퍼즐 게임
73,74,지오메트리 대시 라이트 (Geometry Dash L)
74,75,숨바꼭질 온라인 - 실시간 숨바꼭질
75,76,리니지M
76,77,환란 삼국지
77,78,Happy Glass
78,79,Run Race 3D
79,80,토킹톰 골드런
80,81,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
81,82,LoL 프렌즈
82,83,Crowd City
83,84,Two Dots
84,85,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
85,86,쿠키런: 오븐브레이크
86,87,한게임 신맞고 : 대한민국 원조 고스톱
87,88,타워 브레이커(Tower Breaker) - 신의 탑 부수기
88,89,도끼.io
89,90,왕국건설 스토리
90,91,Paper.io 2
91,92,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임
92,93,FIFA ONLINE 4 M by EA SPORTS™
93,94,세븐나이츠
94,95,"Numpuz: Classic Number Games, Num Riddle Puzzle"
95,96,"Happy Color – 컬러링북, 숫자 색칠 게임"
96,97,붕괴3rd
97,98,Rope Slash
98,99,오목의 달인
99,100,토킹톰 히어로 대시
