rank,name
1,Mario Kart Tour
2,콜 오브 듀티: 모바일
3,Brain Out – 가장 어색한 게임
4,라이즈 오브 킹덤즈
5,신의 연대기-신규서버오픈
6,올스타 스매시
7,신강호
8,Dinosaur Rampage
9,Cool Goal!
10,I Peel Good
11,Puzzle Fuzzle
12,워드퍼즐 - 단어 게임
13,The Real Juggle
14,Idle Stickman
15,브롤스타즈
16,3차원 채우기 (Fill in 3D)
17,Color Saw 3D
18,쌍삼국지
19,오늘도 우라라 원시 헌팅 라이프
20,리치리치
21,Stop them ALL !
22,기적의 검
23,Square Bird
24,이터:던전의 포식자
25,바이러스 워 - 우주 슈팅 게임
26,궁수의 전설
27,꿈의 집 (Homescapes)
28,무한의 계단
29,배틀그라운드
30,꿈의 정원 (Gardenscapes)
31,Zooba - 동물원 배틀 아레나
32,Sand Balls
33,동물의 집
34,Mr Bullet - 스파이 퍼즐
35,Zipline Valley - 물리학 퍼즐 게임
36,Perfect Slices
37,피망 뉴맞고 : 고스톱으로 대한민국 1등
38,Marbleous!
39,꿈의 마을 (Township)
40,Fun Race 3D
41,aquapark.io
42,ROBLOX
43,Run Race 3D
44,Color Fill 3D
45,쿵야 캐치마인드
46,피망 섯다
47,Minecraft 체험판
48,Granny Legend
49,클래시 로얄
50,피츠메이커
51,1945
52,좀비고등학교
53,Wrecking Ball
54,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
55,Rider
56,Polysphere
57,Magic Tiles 3
58,Rummikub
59,Crowd City
60,도끼.io
61,Kick the Buddy
62,신비아파트 고스트헌터
63,토킹톰 골드런
64,"좋은 피자, 위대한 피자"
65,Empires & Puzzles: RPG Quest
66,에오스 레드
67,토킹톰 히어로 대시
68,Happy Glass
69,쿠키런: 오븐브레이크
70,항로:새로운 시대
71,지오메트리 대시 라이트 (Geometry Dash L)
72,바운스볼
73,아스팔트 9: 레전드- 2019 액션 카 레이싱 게임
74,Hungry Shark Evolution
75,Knives Crash
76,보스레이브
77,Paper.io 2
78,Merge Magic!
79,Supreme Duelist Stickman
80,Bottle Flip 3D
81,마피아42
82,슈퍼펭귄 (Super Penguins)
83,요리중독: 미치게 빠르고 레스토랑 요리 게임
84,용사식당
85,한게임 신맞고 : 대한민국 원조 고스톱
86,아웃로 - 실시간 슈팅
87,Jelly Shift
88,Hole.io
89,왕국건설 스토리
90,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
91,Soul Knight
92,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
93,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
94,FIFA ONLINE 4 M by EA SPORTS™
95,maybe-메이비:내가 만드는 이야기
96,펭귄의 섬
97,스페이스 슈터: 외계인 슈팅게임
98,한게임 포커
99,파이널레이드
100,오목의 달인
