rank,date,name
1,2019_11_16,Brain Out – 가장 어색한 게임
2,2019_11_16,V4
3,2019_11_16,꽃피는 달빛
4,2019_11_16,탄탄러시
5,2019_11_16,Ink Inc. - Tattoo Tycoon
6,2019_11_16,킹 오브 타워
7,2019_11_16,워드퍼즐 - 단어 게임
8,2019_11_16,Crazy Shopping
9,2019_11_16,무한의 계단
10,2019_11_16,콜 오브 듀티: 모바일
11,2019_11_16,Rescue Cut - Rope Puzzle
12,2019_11_16,라이즈 오브 킹덤즈
13,2019_11_16,질풍닌자전
14,2019_11_16,기적의 검
15,2019_11_16,Zipline Valley - 물리학 퍼즐 게임
16,2019_11_16,Sky Roller
17,2019_11_16,Icing On The Cake
18,2019_11_16,Granny Legend
19,2019_11_16,무한의 농장
20,2019_11_16,브롤스타즈
21,2019_11_16,신강호
22,2019_11_16,펭귄의 섬
23,2019_11_16,꿈의 집 (Homescapes)
24,2019_11_16,로드 크래쉬
25,2019_11_16,판타지타운
26,2019_11_16,꿈의 정원 (Gardenscapes)
27,2019_11_16,배틀그라운드
28,2019_11_16,Cannon Shot!
29,2019_11_16,꿈의 마을 (Township)
30,2019_11_16,궁수의 전설
31,2019_11_16,Sand Balls
32,2019_11_16,Fun Race 3D
33,2019_11_16,ROBLOX
34,2019_11_16,바이러스 워 - 우주 슈팅 게임
35,2019_11_16,테니스 클래시: 3D 스포츠 - 무료 멀티플레이어 게임
36,2019_11_16,Drop & Smash
37,2019_11_16,Robot Clash
38,2019_11_16,Cool Goal!
39,2019_11_16,Pokémon GO
40,2019_11_16,로얄 다이스(Royal Dice) : 랜덤 디펜스
41,2019_11_16,클래시 로얄
42,2019_11_16,Run Race 3D
43,2019_11_16,Perfect Slices
44,2019_11_16,마기아 : 카르마 사가
45,2019_11_16,쿠키런: 오븐브레이크
46,2019_11_16,달빛조각사
47,2019_11_16,Mr Bullet - 스파이 퍼즐
48,2019_11_16,Supreme Duelist Stickman
49,2019_11_16,피망 뉴맞고 : 고스톱으로 대한민국 1등
50,2019_11_16,Gang Clash
51,2019_11_16,Vlinder Life：Dressup Avatar & Fashion Doll
52,2019_11_16,삼국지 오리진
53,2019_11_16,해양 유목민 - 뗏목 생존: Survival on Raft - Ocean Nomad
54,2019_11_16,지오메트리 대시 라이트 (Geometry Dash L)
55,2019_11_16,Rider
56,2019_11_16,로그의 전설
57,2019_11_16,Block Puzzle Rune
58,2019_11_16,도끼.io
59,2019_11_16,스도쿠 - 무료 클래식 스도쿠 퍼즐
60,2019_11_16,Minecraft 체험판
61,2019_11_16,솔리테르 트라이픽스: 팜 어드벤처
62,2019_11_16,Puzzle Fuzzle
63,2019_11_16,히어로즈 스트라이크
64,2019_11_16,햄스터 타운 - 당신이 원하는 힐링 두뇌 퍼즐 게임 - 햄스터 타운! 심쿵사 주의
65,2019_11_16,쿠키런 for Kakao
66,2019_11_16,매직 직소 퍼즐
67,2019_11_16,Magic Tiles 3
68,2019_11_16,보틀 점프 3D
69,2019_11_16,Piano Tiles 2™
70,2019_11_16,블록 퍼즐
71,2019_11_16,톰 오브 더 마스크: 컬러
72,2019_11_16,Dancing Road: Color Ball Run!
73,2019_11_16,이터:던전의 포식자
74,2019_11_16,1945
75,2019_11_16,Empires & Puzzles: RPG Quest
76,2019_11_16,Paper.io 2
77,2019_11_16,Connect the Pops!
78,2019_11_16,Draw Around
79,2019_11_16,미니카키우기
80,2019_11_16,Rummikub
81,2019_11_16,Color Saw 3D
82,2019_11_16,DX : 신 세기의 전쟁
83,2019_11_16,스나이퍼 3D 어쌔신: 무료 슈팅 게임 (Sniper 3D Assassin)
84,2019_11_16,Clash of Blocks
85,2019_11_16,FIFA ONLINE 4 M by EA SPORTS™
86,2019_11_16,한게임 신맞고 : 대한민국 원조 고스톱
87,2019_11_16,Tasty Planet Forever
88,2019_11_16,토킹톰 골드런
89,2019_11_16,리치리치
90,2019_11_16,aquapark.io
91,2019_11_16,Disney 겨울왕국 어드벤처: 새로운 매치-3 게임
92,2019_11_16,Nonogram.com - 픽처 크로스 퍼즐 게임
93,2019_11_16,좀비고등학교
94,2019_11_16,"좋은 피자, 위대한 피자"
95,2019_11_16,Square Bird
96,2019_11_16,Tiles Hop: EDM Rush!
97,2019_11_16,토킹톰 히어로 대시
98,2019_11_16,피망 섯다
99,2019_11_16,"Numpuz: Classic Number Games, Num Riddle Puzzle"
100,2019_11_16,오목의 달인
