date,count,content_count
2019_09_17,0,0
2019_09_18,0,0
2019_09_19,0,0
2019_09_20,0,0
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,22062,1
2019_09_25,0,0
2019_09_26,50267,1
2019_09_27,38592,1
2019_09_28,229854,3
2019_09_29,0,0
2019_09_30,4006,1
2019_10_01,47179,1
2019_10_02,87,1
2019_10_03,320225,2
2019_10_04,566125,5
2019_10_05,455,1
2019_10_06,1012,2
2019_10_07,46326,1
2019_10_08,54438,3
2019_10_09,0,0
2019_10_10,3698,3
2019_10_11,4262,2
2019_10_12,615,2
2019_10_13,4996,5
2019_10_14,84710,4
2019_10_15,628,2
2019_10_16,0,0
2019_10_17,37102,4
2019_10_18,110432,8
2019_10_19,154812,11
2019_10_20,668476,6
2019_10_21,667,3
2019_10_22,8301,2
2019_10_23,60,4
2019_10_24,1345,3
2019_10_25,54869,6
2019_10_26,161878,4
2019_10_27,96,6
2019_10_28,59,2
2019_10_29,238827,3
2019_10_30,40,2
2019_10_31,0,0
2019_11_01,5615,8
2019_11_02,70067,7
2019_11_03,17,2
2019_11_04,171,2
2019_11_05,146626,4
2019_11_06,54,3
2019_11_07,54,1
2019_11_08,25,2
2019_11_09,38,5
2019_11_10,264,4
2019_11_11,18,1
2019_11_12,89297,4
2019_11_13,109,4
2019_11_14,0,0
2019_11_15,107,6
2019_11_16,73,5
2019_11_17,58,7
2019_11_18,819,6
2019_11_19,3713,4
2019_11_20,6,1
2019_11_21,28,3
2019_11_22,33161,9
2019_11_23,143,9
2019_11_24,346565,11
2019_11_25,11749,3
2019_11_26,70868,5
2019_11_27,667,4
2019_11_28,25,4
2019_11_29,31,3
