date,count,content_count
2019_09_01,0,0
2019_09_02,0,0
2019_09_03,0,0
2019_09_04,0,0
2019_09_05,0,0
2019_09_06,0,0
2019_09_07,0,0
2019_09_08,0,0
2019_09_09,0,0
2019_09_10,0,0
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,0,0
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,0,0
2019_09_17,0,0
2019_09_18,0,0
2019_09_19,0,0
2019_09_20,0,0
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,0,0
2019_09_26,0,0
2019_09_27,0,0
2019_09_28,0,0
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,0,0
2019_10_07,0,0
2019_10_08,0,0
2019_10_09,0,0
2019_10_10,0,0
2019_10_11,0,0
2019_10_12,0,0
2019_10_13,0,0
2019_10_14,0,0
2019_10_15,0,0
2019_10_16,0,0
2019_10_17,0,0
2019_10_18,0,0
2019_10_19,0,0
2019_10_20,634336,1
2019_10_21,0,0
2019_10_22,0,0
2019_10_23,0,0
2019_10_24,0,0
2019_10_25,0,0
2019_10_26,0,0
2019_10_27,0,0
2019_10_28,0,0
2019_10_29,0,0
2019_10_30,0,0
2019_10_31,1303,1
2019_11_01,3754,2
2019_11_02,1289,3
2019_11_03,582,5
2019_11_04,705,8
2019_11_05,2707,6
2019_11_06,2275,6
2019_11_07,1533,3
2019_11_08,20,1
2019_11_09,351,5
2019_11_10,345,5
2019_11_11,47,7
2019_11_12,257,4
2019_11_13,6,1
2019_11_14,13,5
2019_11_15,3,1
2019_11_16,146,5
2019_11_17,8,4
2019_11_18,14,3
2019_11_19,1,2
2019_11_20,111,4
2019_11_21,13,3
2019_11_22,67,4
2019_11_23,1160,2
2019_11_24,64,5
2019_11_25,62,3
2019_11_26,2,2
2019_11_27,17,7
2019_11_28,3,1
2019_11_29,0,0
