date,count,content_count
2019_09_01,1679,1
2019_09_02,0,0
2019_09_03,3079,1
2019_09_04,1051,3
2019_09_05,3331,3
2019_09_06,1444,2
2019_09_07,1356205,2
2019_09_08,0,0
2019_09_09,113487,3
2019_09_10,35,1
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,763,1
2019_09_14,3430,2
2019_09_15,52,1
2019_09_16,7165982,1
2019_09_17,15,1
2019_09_18,550,3
2019_09_19,128,2
2019_09_20,0,0
2019_09_21,0,0
2019_09_22,21,1
2019_09_23,0,0
2019_09_24,8,2
2019_09_25,34,3
2019_09_26,0,0
2019_09_27,712,2
2019_09_28,17540,3
2019_09_29,498,2
2019_09_30,816,1
2019_10_01,0,0
2019_10_02,1030,2
2019_10_03,1052,3
2019_10_04,2550,1
2019_10_05,1157,2
2019_10_06,0,0
2019_10_07,12511,2
2019_10_08,6,1
2019_10_09,354,1
2019_10_10,6094,1
2019_10_11,0,0
2019_10_12,975004,1
2019_10_13,1323,3
2019_10_14,143,2
2019_10_15,0,0
2019_10_16,707,1
2019_10_17,0,0
2019_10_18,3270,2
2019_10_19,16182,1
2019_10_20,1086,4
2019_10_21,992,2
2019_10_22,765,5
2019_10_23,2380378,4
2019_10_24,156,4
2019_10_25,189,2
2019_10_26,214453,2
2019_10_27,9744,3
2019_10_28,1589,3
2019_10_29,3953,1
2019_10_30,8,1
2019_10_31,1084,2
2019_11_01,242,2
2019_11_02,19,2
2019_11_03,7,1
2019_11_04,38,3
2019_11_05,565,2
2019_11_06,72536,4
2019_11_07,2132,1
2019_11_08,391,2
2019_11_09,3239,5
2019_11_10,282,2
2019_11_11,13877,4
2019_11_12,4794,1
2019_11_13,3617,3
2019_11_14,725,4
2019_11_15,783961,2
2019_11_16,38205,4
2019_11_17,38658,4
2019_11_18,3321,2
2019_11_19,27433,1
2019_11_20,10973,3
2019_11_21,35312,5
2019_11_22,0,0
2019_11_23,1,1
2019_11_24,4193,2
2019_11_25,217,2
2019_11_26,11560,3
2019_11_27,1036,4
2019_11_28,19193,5
2019_11_29,300,1
