date,count,content_count
2019_09_01,0,0
2019_09_02,0,0
2019_09_03,0,0
2019_09_04,0,0
2019_09_05,0,0
2019_09_06,0,0
2019_09_07,0,0
2019_09_08,1,1
2019_09_09,5756,2
2019_09_10,867,1
2019_09_11,587,1
2019_09_12,0,0
2019_09_13,0,0
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,0,0
2019_09_17,0,0
2019_09_18,0,0
2019_09_19,11957,2
2019_09_20,107,1
2019_09_21,209,2
2019_09_22,0,0
2019_09_23,100,1
2019_09_24,0,0
2019_09_25,0,0
2019_09_26,0,0
2019_09_27,0,0
2019_09_28,0,0
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,0,0
2019_10_07,0,0
2019_10_08,6,1
2019_10_09,625,2
2019_10_10,0,0
2019_10_11,0,0
2019_10_12,0,0
2019_10_13,0,0
2019_10_14,0,0
2019_10_15,0,0
2019_10_16,0,0
2019_10_17,888,1
2019_10_18,0,0
2019_10_19,0,0
2019_10_20,326,1
2019_10_21,0,0
2019_10_22,0,0
2019_10_23,446,1
2019_10_24,0,0
2019_10_25,0,0
2019_10_26,0,0
2019_10_27,1754,1
2019_10_28,0,0
2019_10_29,0,0
2019_10_30,54,1
2019_10_31,1497,1
2019_11_01,896,1
2019_11_02,952,1
2019_11_03,0,0
2019_11_04,0,0
2019_11_05,0,0
2019_11_06,0,0
2019_11_07,0,0
2019_11_08,0,0
2019_11_09,260,1
2019_11_10,206,2
2019_11_11,1763,2
2019_11_12,2558,1
2019_11_13,0,0
2019_11_14,3974,2
2019_11_15,249,1
2019_11_16,0,0
2019_11_17,2329,1
2019_11_18,777,2
2019_11_19,39101,2
2019_11_20,0,0
2019_11_21,0,0
2019_11_22,113,2
2019_11_23,363,2
2019_11_24,180,1
2019_11_25,937,4
2019_11_26,131972,1
2019_11_27,341,4
2019_11_28,255,1
2019_11_29,0,0
