date,count,content_count
2019_09_01,375,1
2019_09_02,1074,1
2019_09_03,0,0
2019_09_04,0,0
2019_09_05,2616,3
2019_09_06,0,0
2019_09_07,277642,2
2019_09_08,172,1
2019_09_09,1407,1
2019_09_10,604,2
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,0,0
2019_09_14,3057,3
2019_09_15,129,1
2019_09_16,87,1
2019_09_17,21903,2
2019_09_18,0,0
2019_09_19,18435,1
2019_09_20,23,1
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,2,1
2019_09_24,77034,1
2019_09_25,518,2
2019_09_26,34090,3
2019_09_27,0,0
2019_09_28,171347,4
2019_09_29,26,1
2019_09_30,0,0
2019_10_01,1,1
2019_10_02,745,1
2019_10_03,67,1
2019_10_04,738,1
2019_10_05,834,2
2019_10_06,107,1
2019_10_07,0,0
2019_10_08,1358,2
2019_10_09,7292,2
2019_10_10,43,1
2019_10_11,3874,1
2019_10_12,1787,1
2019_10_13,11,2
2019_10_14,0,0
2019_10_15,86,2
2019_10_16,1012,1
2019_10_17,0,0
2019_10_18,0,0
2019_10_19,153,3
2019_10_20,270,2
2019_10_21,6036,1
2019_10_22,7,1
2019_10_23,22367,3
2019_10_24,17,2
2019_10_25,11851,4
2019_10_26,631,1
2019_10_27,592,3
2019_10_28,142,3
2019_10_29,284,3
2019_10_30,272,2
2019_10_31,5006,2
2019_11_01,2160,2
2019_11_02,122,6
2019_11_03,77,3
2019_11_04,9541,3
2019_11_05,627,4
2019_11_06,0,0
2019_11_07,4366,3
2019_11_08,7,1
2019_11_09,3667,4
2019_11_10,5822,3
2019_11_11,47,3
2019_11_12,201,4
2019_11_13,512,4
2019_11_14,30,1
2019_11_15,1,1
2019_11_16,258,1
2019_11_17,83,3
2019_11_18,98,3
2019_11_19,165345,2
2019_11_20,115168,3
2019_11_21,100216,3
2019_11_22,32,3
2019_11_23,22,2
2019_11_24,468,4
2019_11_25,1,1
2019_11_26,132137,4
2019_11_27,344,1
2019_11_28,0,0
2019_11_29,218,1
