date,count,content_count
2019_09_01,0,0
2019_09_02,0,0
2019_09_03,0,0
2019_09_04,0,0
2019_09_05,0,0
2019_09_06,0,0
2019_09_07,0,0
2019_09_08,0,0
2019_09_09,0,0
2019_09_10,0,0
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,0,0
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,0,0
2019_09_17,0,0
2019_09_18,0,0
2019_09_19,0,0
2019_09_20,0,0
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,0,0
2019_09_26,0,0
2019_09_27,0,0
2019_09_28,0,0
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,0,0
2019_10_07,0,0
2019_10_08,0,0
2019_10_09,430,1
2019_10_10,3167,1
2019_10_11,0,0
2019_10_12,0,0
2019_10_13,0,0
2019_10_14,0,0
2019_10_15,0,0
2019_10_16,0,0
2019_10_17,0,0
2019_10_18,40,1
2019_10_19,0,0
2019_10_20,0,0
2019_10_21,0,0
2019_10_22,0,0
2019_10_23,0,0
2019_10_24,0,0
2019_10_25,0,0
2019_10_26,15,2
2019_10_27,51,1
2019_10_28,0,0
2019_10_29,71,1
2019_10_30,0,0
2019_10_31,0,0
2019_11_01,0,0
2019_11_02,0,0
2019_11_03,13,2
2019_11_04,0,0
2019_11_05,8,1
2019_11_06,1,1
2019_11_07,282,3
2019_11_08,4,2
2019_11_09,12,2
2019_11_10,5,2
2019_11_11,8,2
2019_11_12,38,1
2019_11_13,10,2
2019_11_14,195,1
2019_11_15,64,1
2019_11_16,7,1
2019_11_17,14,1
2019_11_18,15,2
2019_11_19,0,0
2019_11_20,0,0
2019_11_21,1,1
2019_11_22,0,0
2019_11_23,0,0
2019_11_24,0,0
2019_11_25,6,2
2019_11_26,11,2
2019_11_27,48,1
2019_11_28,9,2
2019_11_29,23,2
