date,count,content_count
2019_09_01,0,0
2019_09_02,0,0
2019_09_03,24604,9
2019_09_04,6808,3
2019_09_05,37567,5
2019_09_06,22006,8
2019_09_07,44392,3
2019_09_08,74767,6
2019_09_09,51458,11
2019_09_10,163125,11
2019_09_11,108176,10
2019_09_12,5604,6
2019_09_13,50190,7
2019_09_14,43062,6
2019_09_15,83077,10
2019_09_16,53772,6
2019_09_17,104209,9
2019_09_18,13329,6
2019_09_19,21738,4
2019_09_20,125413,8
2019_09_21,31838,3
2019_09_22,10678,7
2019_09_23,20874,8
2019_09_24,71557,9
2019_09_25,43280,6
2019_09_26,26234,11
2019_09_27,4660,2
2019_09_28,37573,7
2019_09_29,4368,1
2019_09_30,56580,5
2019_10_01,7400,3
2019_10_02,79745,3
2019_10_03,19036,4
2019_10_04,57697,2
2019_10_05,26676,4
2019_10_06,34190,5
2019_10_07,115621,9
2019_10_08,47669,5
2019_10_09,143866,3
2019_10_10,63297,4
2019_10_11,45268,4
2019_10_12,60734,5
2019_10_13,44272,6
2019_10_14,87323,3
2019_10_15,38849,3
2019_10_16,37698,2
2019_10_17,21134,4
2019_10_18,26232,4
2019_10_19,46660,5
2019_10_20,149154,5
2019_10_21,29339,7
2019_10_22,19889,6
2019_10_23,24074,8
2019_10_24,20481,8
2019_10_25,12095,8
2019_10_26,55300,3
2019_10_27,18867,7
2019_10_28,27656,6
2019_10_29,55906,4
2019_10_30,23387,5
2019_10_31,30128,8
2019_11_01,20088,8
2019_11_02,17868,3
2019_11_03,34421,4
2019_11_04,36815,8
2019_11_05,6857,4
2019_11_06,17633,4
2019_11_07,32979,2
2019_11_08,11735,2
2019_11_09,16454,4
2019_11_10,12586,6
2019_11_11,25863,4
2019_11_12,4280,3
2019_11_13,17530,3
2019_11_14,0,0
2019_11_15,28775,3
2019_11_16,6546,2
2019_11_17,6964,4
2019_11_18,19150,3
2019_11_19,11765,3
2019_11_20,51735,1
2019_11_21,37212,5
2019_11_22,33593,5
2019_11_23,12819,1
2019_11_24,5793,4
2019_11_25,7804,3
2019_11_26,87,1
2019_11_27,6767,1
2019_11_28,21730,4
2019_11_29,350202,3
