date,count,content_count
2019_09_01,0,0
2019_09_02,128607,1
2019_09_03,0,0
2019_09_04,33601,1
2019_09_05,0,0
2019_09_06,0,0
2019_09_07,30420,4
2019_09_08,29815,2
2019_09_09,0,0
2019_09_10,25939,1
2019_09_11,0,0
2019_09_12,25647,2
2019_09_13,0,0
2019_09_14,21051,3
2019_09_15,0,0
2019_09_16,326941,3
2019_09_17,0,0
2019_09_18,14592,1
2019_09_19,0,0
2019_09_20,23934,1
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,16539,1
2019_09_24,0,0
2019_09_25,11222,1
2019_09_26,2013,2
2019_09_27,24310,2
2019_09_28,62,3
2019_09_29,68937,1
2019_09_30,45792,1
2019_10_01,158025,1
2019_10_02,15956,2
2019_10_03,199,2
2019_10_04,63,1
2019_10_05,76378,1
2019_10_06,6827,2
2019_10_07,52221,2
2019_10_08,210,3
2019_10_09,31681,2
2019_10_10,10,1
2019_10_11,186506,3
2019_10_12,59,3
2019_10_13,47363,1
2019_10_14,0,0
2019_10_15,130143,2
2019_10_16,182337,1
2019_10_17,197368,2
2019_10_18,101130,3
2019_10_19,42238,5
2019_10_20,8,3
2019_10_21,0,0
2019_10_22,66251,5
2019_10_23,430212,2
2019_10_24,122284,1
2019_10_25,18453,4
2019_10_26,7032,5
2019_10_27,0,0
2019_10_28,146863,1
2019_10_29,311406,2
2019_10_30,7,2
2019_10_31,28377,2
2019_11_01,408450,2
2019_11_02,249361,6
2019_11_03,98685,4
2019_11_04,188934,3
2019_11_05,287666,4
2019_11_06,111756,5
2019_11_07,217726,1
2019_11_08,51629,12
2019_11_09,199009,14
2019_11_10,194117,13
2019_11_11,94,5
2019_11_12,166288,7
2019_11_13,202,4
2019_11_14,45501,9
2019_11_15,162384,15
2019_11_16,2628,10
2019_11_17,188005,10
2019_11_18,165607,2
2019_11_19,154327,6
2019_11_20,133930,11
2019_11_21,232475,8
2019_11_22,225214,13
2019_11_23,102539,14
2019_11_24,115133,9
2019_11_25,127765,7
2019_11_26,110094,10
2019_11_27,42,5
2019_11_28,101784,9
2019_11_29,78052,13
