date,count,content_count
2019_09_01,287,3
2019_09_02,6751,4
2019_09_03,0,0
2019_09_04,19312,3
2019_09_05,145,2
2019_09_06,0,0
2019_09_07,85,3
2019_09_08,1547,3
2019_09_09,10217,3
2019_09_10,13999,2
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,0,0
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,0,0
2019_09_17,0,0
2019_09_18,0,0
2019_09_19,0,0
2019_09_20,0,0
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,0,0
2019_09_26,0,0
2019_09_27,0,0
2019_09_28,0,0
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,0,0
2019_10_07,0,0
2019_10_08,0,0
2019_10_09,0,0
2019_10_10,0,0
2019_10_11,0,0
2019_10_12,0,0
2019_10_13,0,0
2019_10_14,0,0
2019_10_15,0,0
2019_10_16,0,0
2019_10_17,0,0
2019_10_18,0,0
2019_10_19,0,0
2019_10_20,0,0
2019_10_21,0,0
2019_10_22,0,0
2019_10_23,0,0
2019_10_24,0,0
2019_10_25,0,0
2019_10_26,0,0
2019_10_27,0,0
2019_10_28,1550599,7
2019_10_29,466,6
2019_10_30,639,4
2019_10_31,0,0
2019_11_01,0,0
2019_11_02,16969,1
2019_11_03,1846,2
2019_11_04,29,1
2019_11_05,0,0
2019_11_06,0,0
2019_11_07,1454,1
2019_11_08,0,0
2019_11_09,0,0
2019_11_10,0,0
2019_11_11,0,0
2019_11_12,0,0
2019_11_13,0,0
2019_11_14,244898,1
2019_11_15,879,2
2019_11_16,0,0
2019_11_17,3425,1
2019_11_18,209,1
2019_11_19,264,1
2019_11_20,2656552,42
2019_11_21,31091,40
2019_11_22,22551,27
2019_11_23,14446,19
2019_11_24,18698,18
2019_11_25,64415,20
2019_11_26,9486,15
2019_11_27,12223,10
2019_11_28,15340,14
2019_11_29,21915,12
