date,count,content_count
2019_09_01,8854,2
2019_09_02,0,0
2019_09_03,0,0
2019_09_04,0,0
2019_09_05,1455423,1
2019_09_06,0,0
2019_09_07,129,1
2019_09_08,18158,1
2019_09_09,740,1
2019_09_10,0,0
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,2571,1
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,5814,2
2019_09_17,136,1
2019_09_18,8132,2
2019_09_19,0,0
2019_09_20,0,0
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,1200,3
2019_09_26,22789,7
2019_09_27,117483,2
2019_09_28,15120,2
2019_09_29,91906,2
2019_09_30,214102,10
2019_10_01,383779,21
2019_10_02,187542,17
2019_10_03,204115,19
2019_10_04,112771,20
2019_10_05,128600,14
2019_10_06,83872,13
2019_10_07,102452,8
2019_10_08,4019,7
2019_10_09,341603,8
2019_10_10,37189,5
2019_10_11,150394,13
2019_10_12,101374,11
2019_10_13,660,6
2019_10_14,1290,8
2019_10_15,85890,3
2019_10_16,199735,6
2019_10_17,114586,7
2019_10_18,58137,6
2019_10_19,6106,5
2019_10_20,414,4
2019_10_21,312,6
2019_10_22,387,5
2019_10_23,35958,9
2019_10_24,5122,5
2019_10_25,18007,9
2019_10_26,18681,4
2019_10_27,1571,5
2019_10_28,13618,6
2019_10_29,18404,5
2019_10_30,52,1
2019_10_31,17813,5
2019_11_01,47221,4
2019_11_02,3844,5
2019_11_03,1471,7
2019_11_04,10170,6
2019_11_05,26204,5
2019_11_06,155,5
2019_11_07,12684,5
2019_11_08,685,7
2019_11_09,2759,10
2019_11_10,2251,6
2019_11_11,15878,5
2019_11_12,4132,7
2019_11_13,33193,4
2019_11_14,9907,6
2019_11_15,11,3
2019_11_16,432,7
2019_11_17,14975,6
2019_11_18,2756,8
2019_11_19,7916,4
2019_11_20,933,4
2019_11_21,11702,4
2019_11_22,29,5
2019_11_23,8249,5
2019_11_24,260,3
2019_11_25,13743,6
2019_11_26,14609,2
2019_11_27,21856,8
2019_11_28,5404,4
2019_11_29,1252,4
