title,count,date,good_count,bad_count,youtuber,subscriber,url
[브레인 아웃] 두뇌를 이상하게 활성화 시키는 퍼즐게임 Brain Out,"22,062",2019_09_24,67,14,잼둥,457,https://www.youtube.com/watch?v=YQ7Mi77i-5c
Brain out브레인 아웃 11~20단계 공략(영상설명란에 글로써놓음),"50,267",2019_09_26,160,45,앙팡,508,https://www.youtube.com/watch?v=KshcBD0yN3c
Brain out브레인 아웃 21~30단계 공략(영상설명란에 글로써놓음),"44,246",2019_09_26,103,35,앙팡,508,https://www.youtube.com/watch?v=DYlNdEYr_uA
Brain out브레인 아웃 1~10단계 공략(영상설명란에 글로써놓음),"10,962",2019_09_26,21,5,앙팡,508,https://www.youtube.com/watch?v=NeNwPL6eBuk
Brain out브레인 아웃 31~40단계 공략(영상설명란에 글로써놓음),"38,592",2019_09_27,44,29,앙팡,508,https://www.youtube.com/watch?v=7NR5uKm4JEc
Brain out브레인 아웃41~50단계 공략(설명란에 글로써놓음),"27,969",2019_09_27,74,23,앙팡,508,https://www.youtube.com/watch?v=xCdyQlNYSwU
Brain out브레인 아웃131~145단계 공략(설명란에 글로 써놓음),"31,664",2019_09_28,51,16,앙팡,508,https://www.youtube.com/watch?v=QQdqybsZU7I
Brain out브레인 아웃121~130단계 공략(설명란에 글로 써놓음),"20,748",2019_09_28,52,11,앙팡,508,https://www.youtube.com/watch?v=9AV1sPnBpbc
Brain out브레인 아웃111~120단계 공략(설명란에 글로 써놓음),"18,551",2019_09_28,33,11,앙팡,508,https://www.youtube.com/watch?v=Qt0wHzqV5CQ
Brain out브레인 아웃81~90단계 공략(설명란에 글로 써놓음),"27,646",2019_09_28,88,27,앙팡,508,https://www.youtube.com/watch?v=CWj9lagPHRQ
Brain out브레인 아웃51~60단계 공략(설명란에 글로써놓음),"22,764",2019_09_28,36,15,앙팡,508,https://www.youtube.com/watch?v=qG8IqJPGzvE
Brain out브레인 아웃61~70단계 공략(설명란에 글로써놓음),"19,554",2019_09_28,30,12,앙팡,508,https://www.youtube.com/watch?v=5usvYVwuqvk
Brain out브레인 아웃71~80단계 공략(설명란에 글로 써놓음),"39,436",2019_09_28,112,36,앙팡,508,https://www.youtube.com/watch?v=7UIPcdr4TJQ
Brain out브레인 아웃91~100단계 공략(설명란에 글로 써놓음),"34,814",2019_09_28,78,27,앙팡,508,https://www.youtube.com/watch?v=CSvEMePNC_A
[Brain Out] 이 퀴즈 풀면 당신도 천재!!! 당신의 두뇌를 깨워라!! 창의력실험게임 브레인아웃 1번~40,155,2019_09_28,3,0,배런TV,0,https://www.youtube.com/watch?v=c-iFsfTG5bI
Brain out Max level - 브레인 아웃 1 ~ 145 레벨 클리어,"229,854",2019_09_28,909,271,J aporean,897,https://www.youtube.com/watch?v=cY24Nl4OicI
Brain out브레인 아웃101~110단계 공략(설명란에 글로 써놓음),"36,351",2019_09_28,66,24,앙팡,508,https://www.youtube.com/watch?v=JeWtmsiLTmA
Brain out브레인 아웃136문제 업데이트 되면서 문제 바뀜,"3,391",2019_09_30,7,1,앙팡,508,https://www.youtube.com/watch?v=DcgTvsL8ZkA
Brain out브레인 아웃143문제 업데이트 되면서 문제 바뀜,"3,482",2019_09_30,11,3,앙팡,508,https://www.youtube.com/watch?v=w2TbEQyXQEQ
Brain out브레인 아웃145문제 업데이트 되면서 문제 바뀜,"4,006",2019_09_30,7,2,앙팡,508,https://www.youtube.com/watch?v=FQaxhvcXPLw
"Brain out브레인 아웃 146,147단계 공략(영상설명란에 글로써놓음)","2,846",2019_09_30,4,2,앙팡,508,https://www.youtube.com/watch?v=WKs1Ga-kwhE
Brain out브레인 아웃11~20문제(없뎃후),"5,596",2019_10_01,17,2,앙팡,508,https://www.youtube.com/watch?v=VfAkm8yCd5M
Brain out브레인 아웃21~30문제(업뎃후),"4,968",2019_10_01,14,7,앙팡,508,https://www.youtube.com/watch?v=EHET3J-pLOY
Brain out브레인 아웃141~147문제(업뎃후),"27,067",2019_10_01,63,18,앙팡,508,https://www.youtube.com/watch?v=OWbWB92g7rc
Brain out브레인 아웃131~140문제(업뎃후 ),"29,876",2019_10_01,75,12,앙팡,508,https://www.youtube.com/watch?v=9hOGyP0x6Ac
Brain out브레인 아웃1~10문제(없뎃후),"2,402",2019_10_01,4,1,앙팡,508,https://www.youtube.com/watch?v=ZprQ3Xt65lE
Brain out브레인 아웃121~130문제(업뎃후),"13,766",2019_10_01,30,10,앙팡,508,https://www.youtube.com/watch?v=0cOpsSzATwE
Brain out브레인 아웃41~50문제(업뎃후),"9,484",2019_10_01,13,7,앙팡,508,https://www.youtube.com/watch?v=6KUw43jUAww
Brain out브레인 아웃101~110문제(업뎃후),"18,232",2019_10_01,30,15,앙팡,508,https://www.youtube.com/watch?v=xucb--zXRC4
Brain out브레인 아웃81~90문제(업뎃후),"15,009",2019_10_01,30,9,앙팡,508,https://www.youtube.com/watch?v=5DA7dVTIQRY
Brain out브레인 아웃71~80문제(업뎃후),"13,767",2019_10_01,24,6,앙팡,508,https://www.youtube.com/watch?v=wbLyXm5WRF8
Brain out브레인 아웃51~60문제(업뎃후),"15,782",2019_10_01,26,11,앙팡,508,https://www.youtube.com/watch?v=oTkijfcxxts
Brain out브레인 아웃61~70문제(업뎃후),"15,728",2019_10_01,25,6,앙팡,508,https://www.youtube.com/watch?v=JNntrbw0of0
Brain out브레인 아웃111~120문제(업뎃후),"20,276",2019_10_01,49,4,앙팡,508,https://www.youtube.com/watch?v=RWh-Vqz_AP8
Brain out브레인 아웃91~100문제(업뎃후),"16,647",2019_10_01,35,8,앙팡,508,https://www.youtube.com/watch?v=vYgF7vvuLO8
Brain out브레인 아웃31~40문제(업뎃후),"47,179",2019_10_01,63,16,앙팡,508,https://www.youtube.com/watch?v=Uv9j8-28LuM
[Brain Out] 이 퀴즈 풀면 당신도 천재!!! 당신의 두뇌를 깨워라!! 창의력실험게임 브레인아웃41번~80,87,2019_10_02,2,1,배런TV,0,https://www.youtube.com/watch?v=BVTrHuK18g8
Brain out Max Level - 브레인 아웃 1 ~ 147 레벨 클리어,"320,225",2019_10_03,1400,349,J aporean,897,https://www.youtube.com/watch?v=0nGdl4BasP0
브레인아웃 1~148단계 노자막,"13,551",2019_10_03,51,6,롸스촌,30,https://www.youtube.com/watch?v=iC0mkffXD-Q
아이큐 한자리도 풀 수 있는 문제 - 브바일 브레인아웃(Brain Out) - 겜브링(GGAMBRING),"566,125",2019_10_04,5000,428,겜브링 GGAM BRING,890000,https://www.youtube.com/watch?v=H4ER6voh8n0
빡대가리만 맞출수있는 퀴즈...저는 전혀 맞출수가 없네요...ㅠㅠ : 브레인아웃,"323,447",2019_10_04,3700,206,텔론,857000,https://www.youtube.com/watch?v=LqKpth3Yrog
브래인 아웃 플레이 3 BRAIN OUT (공략80~130),"7,489",2019_10_04,37,6,패랑이,52,https://www.youtube.com/watch?v=r8Wkin8l_Fw
브레인아웃 공략,"1,095",2019_10_04,8,2,하데스TV Hades,82,https://www.youtube.com/watch?v=DrKX2ZZnRME
[브레인 아웃]세상에서 가장 어색한 게임을 해보았다 (1~20),"13,912",2019_10_04,74,20,푸른너구리,55,https://www.youtube.com/watch?v=ymg249cVUfQ
오늘 할 게임은? Brain Out!,455,2019_10_05,6,0,궁금하면500원,1550,https://www.youtube.com/watch?v=jwvJ6qRV2tQ
랄겜2 브레인 아웃(랄랄),73,2019_10_06,4,0,TV랄랄&랄라,15,https://www.youtube.com/watch?v=rRQHimUlapI
브레인 아웃 1~20 공략.(구독 좋아요 부탁부탁),"1,012",2019_10_06,7,3,god 정규TV,6,https://www.youtube.com/watch?v=pVA-as_NqtI
Brain Out 41~80공략,"46,326",2019_10_07,119,30,황금사과2,103,https://www.youtube.com/watch?v=GLKI_X7z-M0
IQ 138도 어려워한 두뇌풀가동게임! 아무튼 억지임 [브레인 아웃],"54,438",2019_10_08,555,29,풍월량,411000,https://www.youtube.com/watch?v=Vuhpygofp_c
착한 사람은 못푸는 문제... 멘붕와서 다 찍을수 밖에 없었습니다ㅠ 브레인 아웃 [롸정],"2,583",2019_10_08,42,3,롸정TV 게임친구,8360,https://www.youtube.com/watch?v=CwTDxxFRXMk
브레인아웃 1~10스테이지를 깨보았습니다,91,2019_10_08,0,1,새귱유튜브,16,https://www.youtube.com/watch?v=KC28AfR3Qts
브레인아웃11~20 클리어영상,"3,698",2019_10_10,8,23,새귱유튜브,16,https://www.youtube.com/watch?v=qtFWxMohY-Y
가가님과 브레인아웃 21~30스테이지를깨보았다,186,2019_10_10,1,0,새귱유튜브,16,https://www.youtube.com/watch?v=YGgWVn3Tie8
브레인아웃 게잘함with친구들,31,2019_10_10,3,0,최지팔,21,https://www.youtube.com/watch?v=SHCR08M_sbw
[브레인아웃] 두뇌를 활성화 시키는 brain out(1~30),61,2019_10_10,0,0,아리의게임세상,1,https://www.youtube.com/watch?v=14pegwoo7OQ
브레인 아웃 #1 플레이스토어 인기 2위 모바일추천게임 Brain out! LV 1 - 34 나를 가지고 노는건지 내가 멍청한건지,883,2019_10_11,10,0,S.GR쌩구리,192,https://www.youtube.com/watch?v=P66KwbgO9mc
브레인 아웃 31~40스테이지 클리어영상,"4,262",2019_10_11,10,17,새귱유튜브,16,https://www.youtube.com/watch?v=5sFMx57Wd1k
브레인 아웃 147단계를 깨면 이렇게 됨 설참,242,2019_10_12,5,1,화이트롱tv,34,https://www.youtube.com/watch?v=I2u0-jz7P3s
Brain Out 브레인드아웃 95~102,615,2019_10_12,0,0,윤지현,18,https://www.youtube.com/watch?v=7xIGFz4n-Rk
Brain out 1~50단계 공략영상이에용 (브레인 아웃),635,2019_10_13,2,2,게임설명,10,https://www.youtube.com/watch?v=vDWTvv4hDHY
브레인아웃 1~20단계 공략영상,402,2019_10_13,2,0,홍시망,179,https://www.youtube.com/watch?v=6Ki-0GB52gI
브레인아웃 21~39 공략 영상,"4,996",2019_10_13,10,6,홍시망,179,https://www.youtube.com/watch?v=FG6Z7QWNx7E
브레인 아웃 41~50클리어영상!,634,2019_10_13,2,1,새귱유튜브,16,https://www.youtube.com/watch?v=QOAGCvkhyxE
브레인 아웃 #1,53,2019_10_13,0,0,대천사,6,https://www.youtube.com/watch?v=M2CPgt-uO0o
브레인아웃 공략! 초반 스테이지 참고하세요~,420,2019_10_13,0,3,블루스택,428,https://www.youtube.com/watch?v=jRwyY7QXuJc
Brain out 139~147까지 공략영상입니당 !! (브레인 아웃),506,2019_10_13,2,0,게임설명,10,https://www.youtube.com/watch?v=0XdVQb7Cy6E
Brain out 51~100단계 공략영상입니당! (브레인 아웃),"1,017",2019_10_13,10,1,게임설명,10,https://www.youtube.com/watch?v=py97GYbKsX8
Brain out 101~138 공략영상 (브레인아웃),"2,414",2019_10_13,7,1,게임설명,10,https://www.youtube.com/watch?v=QU0YWau57Uc
브레인 아웃 1~50스테이지 모아보기!!,192,2019_10_13,1,1,새귱유튜브,16,https://www.youtube.com/watch?v=RWPfMetm5j4
이게 무슨;; 평범하게 맞출 수 없는 요상한(?) 퀴즈 게임 [브레인아웃(Brain Out) : 모바일게임] 도로시,"84,710",2019_10_14,918,38,도로시Games,360000,https://www.youtube.com/watch?v=Mit9lpiYePQ
브레인아웃 61~80단계 공략영상,"6,878",2019_10_14,24,5,홍시망,179,https://www.youtube.com/watch?v=sSUnLfYZYuc
브레인아웃 81~100단계 공략영상,"12,932",2019_10_14,27,12,홍시망,179,https://www.youtube.com/watch?v=eSUsYwtGedE
브레인아웃 40~60단계 공략,"9,851",2019_10_14,13,13,홍시망,179,https://www.youtube.com/watch?v=cotDwVJVAok
Brain out) 브레인 아웃 공략 (32~62),761,2019_10_14,2,1,투톱,20,https://www.youtube.com/watch?v=xD72b1QLvL0
브레인 아웃 플레이 4 (드디어 엔딩) 공략130~엔딩,631,2019_10_14,5,1,패랑이,52,https://www.youtube.com/watch?v=arhPDZ1Qy24
Brain out) 브레인 아웃 공략 (63~90),263,2019_10_15,4,0,투톱,20,https://www.youtube.com/watch?v=-7kU3Qv8xdk
Brain out) 브레인 아웃 공략 (91~120),628,2019_10_15,2,0,투톱,20,https://www.youtube.com/watch?v=PdljTZDdL5w
브레인 아웃(brain out)51~60스테이지를 깨보았다!!,106,2019_10_15,1,1,새귱유튜브,16,https://www.youtube.com/watch?v=JpJZIHNNk7o
