title,count,date,good_count,bad_count,youtuber,subscriber,url
Hello Neighbor Shopping Challenge! Hello Neighbor Act 3 is CRAZY HARD! KIDCITY GAMING,"1,086,964",2019_01_29,4900,380,KidCity Gaming,335000,https://www.youtube.com/watch?v=8-EastSh6l0
Crazy Shopping Cart Simulator,53,2019_02_18,0,1,Harrobia,45,https://www.youtube.com/watch?v=lpblptKtHWA
Rich girl crazy shopping,351,2019_02_18,96,2,Android miscellaneous channel,0,https://www.youtube.com/watch?v=1nXPqtlDFAA
Crazy hill climb racing hack free shopping,47,2019_03_13,0,1,Mohamadtheboss 302,19,https://www.youtube.com/watch?v=iDqhZvy44nI
MY FIRST GAME WITH THE LAKERS + GOING CAR SHOPPING! LEBRON CRAZY OOP! NBA 2K19 MY CAREER,81,2019_03_13,7,0,RuthlessDK,1670,https://www.youtube.com/watch?v=ZZhk3wJdAR8
Crazy Thumbs Retro Game Shop in Tooting England 2019,197,2019_05_18,3,1,Had0ken86,2200,https://www.youtube.com/watch?v=AwYo5U5Zn7Q
CRAZY SHOPPING SPREE EARLY IN THE GAME!!(Madden Mobile 20),257,2019_08_01,6,1,Wazvs,152,https://www.youtube.com/watch?v=rHRGH0hn3b0
Baby Granny's CRAZY SECRET GAME!!! | Granny The Mobile Horror Game (Mods),"267,265",2019_08_13,1700,306,dakblake,597000,https://www.youtube.com/watch?v=8Ame913mruo
Borderlands 3 - Chapter 7 Sanctuary: Window Shopping at Crazy Earl's: Vending Machine (2019),73,2019_09_17,0,0,Video Games Source,67000,https://www.youtube.com/watch?v=8YSBhpWEFJI
Crazy Shopping IOS Gameplay,"4,111",2019_09_27,36,6,Usman's Gaming,4610,https://www.youtube.com/watch?v=-J1_2fHjNOQ
Crazy Shopping IOS Gameplay,"1,416",2019_09_28,41,1,F2PlayGames,1310,https://www.youtube.com/watch?v=uEcCQe6FBHQ
Crazy Shopping IOS Gameplay - HD,966,2019_09_30,8,1,Taply Gameplay,96,https://www.youtube.com/watch?v=8EvFXZ-o-8g
Crazy Shopping vs Drop & Smash Gameplay and Review,"1,050",2019_10_16,25,3,Family Review Show,5400,https://www.youtube.com/watch?v=l8IvMbGVXsA
Crazy Shopping iOS Gameplay Part 2-HD,502,2019_10_17,1,2,Taply Gameplay,96,https://www.youtube.com/watch?v=qbtssBPfKNc
Crazy Shopping | iOS / Android Mobile Gameplay,"6,193",2019_10_17,65,15,Rise of Mobile Games,6850,https://www.youtube.com/watch?v=JO51EfnMYy4
Crazy Shopping-New Store ios Gameplay Part 6-HD,644,2019_10_18,5,1,Taply Gameplay,96,https://www.youtube.com/watch?v=vIrUJEoG97U
Crazy Shopping New Store ios Gameplay Part 5-HD,"21,571",2019_10_18,231,40,Taply Gameplay,96,https://www.youtube.com/watch?v=jtoOpxsUsZY
Crazy Shopping New Store Ios Gameplay Part 4-HD,395,2019_10_18,2,3,Taply Gameplay,96,https://www.youtube.com/watch?v=hT3HWxkEcco
Crazy Shopping ios Gameplay Part 3-HD,657,2019_10_18,12,1,Taply Gameplay,96,https://www.youtube.com/watch?v=_LhDgT_UIbI
Crazy Shopping-New Store ios Gameplay Part 7-HD,220,2019_10_18,0,0,Taply Gameplay,96,https://www.youtube.com/watch?v=hatDsjOjIlg
"Real Racing 3,Drop & Smash,Bike Race,Crazy Shopping",201,2019_10_19,1,1,Mister Gameplay,3460,https://www.youtube.com/watch?v=IUh2be0BtUg
Crazy Shopping - Gameplay Walkthrough Part 1 - trailer gameplay,"6,027",2019_10_19,65,13,Gaming K,1200,https://www.youtube.com/watch?v=6UZaPQXAGb0
"Draw Race, Crazy Shopping, Icing On The Cake, Sticky Block, Spinner.io, I Peel Good, Golf Battle",911,2019_10_19,7,0,Dr.Racing,7080,https://www.youtube.com/watch?v=Sb-51-NIZb8
Crazy Shopping New Store ios Gameplay Part 8-HD,222,2019_10_19,5,0,Taply Gameplay,96,https://www.youtube.com/watch?v=LGih1bQzr2g
"Crazy Shopping - Gameplay Trailer (iOS, Android)","19,184",2019_10_20,272,34,KuGo,149000,https://www.youtube.com/watch?v=EarryTf7icI
"Crazy Shopping - Gameplay Walkthrough Part 2 ( ios, android game )","1,728",2019_10_20,11,2,Gaming K,1200,https://www.youtube.com/watch?v=QTSARH__iPw
Crazy Shopping New Store ios Gameplay Part 9-HD,398,2019_10_20,3,0,Taply Gameplay,96,https://www.youtube.com/watch?v=savYqOnIbgU
Crazy Shopping New Store ios Gameplay Part 10-HD,244,2019_10_20,2,0,Taply Gameplay,96,https://www.youtube.com/watch?v=CJAh1fd2M_c
"PvZ, Run Race 3D, Stickman Hook, Crazy Shopping, Sticky Block, Stickman Epic Archer, Stack Jump",812,2019_10_20,31,0,MobAMGames,0,https://www.youtube.com/watch?v=gt4iIdgLxog
"Crazy Shopping - Gameplay Walkthrough Part 3 ( ios, android game )",581,2019_10_21,4,0,Gaming K,1200,https://www.youtube.com/watch?v=697bGhg2Xfs
Crazy Shopping - Gameplay Walkthrough Part 4 - gameplay HD,724,2019_10_21,5,0,Gaming K,1200,https://www.youtube.com/watch?v=K26Dz35Qovo
Crazy Shopping - Gameplay IOS & Android,39,2019_10_21,0,1,MediaTech - Gameplay Channel,0,https://www.youtube.com/watch?v=vIg6scPZDnk
Crazy Shopping Gameplay || ios/android,343,2019_10_22,10,0,Hot Games Unlimited,0,https://www.youtube.com/watch?v=NeTs05dhxaY
Open That Box! Brawl Stars Box Simulator and Crazy Shopping,834,2019_10_22,18,3,just gameplay,57500,https://www.youtube.com/watch?v=ys11LC3_NQI
Crazy Shopping New Store ios Gameplay Part 12-HD,102,2019_10_23,1,0,Taply Gameplay,96,https://www.youtube.com/watch?v=FLAEtDmo1bU
Crazy Shopping New Store ios Gameplay Part 13-HD,368,2019_10_23,2,0,Taply Gameplay,96,https://www.youtube.com/watch?v=9MH9b4elEk4
Crazy Shopping Прохождение Часть 1 Безумные Покупки | Андроид/iOS Геймплей,"1,873",2019_10_23,56,2,000ArmGamer000,539000,https://www.youtube.com/watch?v=yhXfzPxS-JU
Crazy Shopping Gameplay,"3,726",2019_10_24,72,8,Gamers Unbounded,443,https://www.youtube.com/watch?v=Xc7ItYtfx3c
Crazy Shopping Gameplay | Ios Android Game Walkthrough,"1,225",2019_10_24,6,2,Wendy,1020,https://www.youtube.com/watch?v=9kVSnqyQGaM
"Crazy Shopping - Gameplay Part 2 (Android,IOS)","1,470",2019_10_25,13,5,Zerw Gameplay,31000,https://www.youtube.com/watch?v=-aRwcTzSN1Y
"Crazy Shopping - Gameplay Part 3 (Android,IOS)","1,463",2019_10_25,21,1,Zerw Gameplay,31000,https://www.youtube.com/watch?v=rkstcFTPXDc
"Crazy Shopping - Gameplay Part 1 (Android,IOS)","2,508",2019_10_25,50,2,Zerw Gameplay,31000,https://www.youtube.com/watch?v=YxKEHaLDu2E
"Crazy Shopping - Gameplay Walkthrough Part 5 ( ios, android game )","1,636",2019_10_25,28,0,Gaming K,1200,https://www.youtube.com/watch?v=GFajd6_nfzU
Crazy Shopping New Store ios Gameplay Part 16-HD,308,2019_10_27,7,0,Taply Gameplay,96,https://www.youtube.com/watch?v=4Gfg-s6h1gc
"Run Race 3D, Drop & Smash, Kick The Buddy, Crazy Shopping, Stickman Epic Archer, The Catapult",261,2019_10_27,4,0,Dr.Racing,7080,https://www.youtube.com/watch?v=tBa5138OJY4
Crazy Shopping Прохождение Часть 2 Много Бонусов | Андроид/iOS Геймплей,"1,465",2019_10_28,59,2,000ArmGamer000,539000,https://www.youtube.com/watch?v=Z4eCj9dngK4
"Crazy Shopping - Gameplay Walkthrough Part 6 ( ios, android game )",374,2019_10_29,6,1,Gaming K,1200,https://www.youtube.com/watch?v=AUliKE6Kovg
Crazy Shopping full - Gameplay walkthrough part 1,520,2019_10_31,18,1,Gaming K,1200,https://www.youtube.com/watch?v=c8gxqnoYy-M
Crazy Shopping full - Gameplay walkthrough part 2,160,2019_10_31,2,0,Gaming K,1200,https://www.youtube.com/watch?v=-YBPINrFbm8
Crazy Shopping v1.1.2 (Mod),443,2019_10_31,0,4,amazing android,162,https://www.youtube.com/watch?v=2gRnaVUN8Os
crazy robbery I mean shopping,18,2019_11_01,5,0,Ali vlogs/gaming,54,https://www.youtube.com/watch?v=tI6fWKfEZfE
Crazy Shopping New Game 2019 Gameplay Part 1,25,2019_11_01,1,1,KHELIYO KHELIYO,21,https://www.youtube.com/watch?v=pP8xRa_PjjM
Crazy Shopping v1.1.2 New Update Mod ||KJ,355,2019_11_01,9,2,Sát Thủ Killer J,10,https://www.youtube.com/watch?v=wAJW0lMnhOU
Crazy Shopping (by Kwalee) - iOS / ANDROID GAMEPLAY,144,2019_11_01,3,0,Puzzlegamesolver,20299,https://www.youtube.com/watch?v=n0P0K2ZVsKM
Crazy Shopping Прохождение Часть 3 Ювелирный Магазин | Андроид/iOS Геймплей,"1,370",2019_11_01,41,1,000ArmGamer000,539000,https://www.youtube.com/watch?v=6_2PvSoifW4
Crazy shopping 🛒,30,2019_11_01,1,0,I Play,2,https://www.youtube.com/watch?v=ABloutBpjFI
Crazy Shopping New store ios Gameplay Part 18-HD,"7,341",2019_11_01,63,12,Taply Gameplay,96,https://www.youtube.com/watch?v=ngznSzfj81U
"Animal Escape, Zooba, Mario Run, Crazy Shopping, New Red Ball, Sandwich, Bad Piggies, Fit The Fat 3",587,2019_11_01,25,1,MobAMGames,0,https://www.youtube.com/watch?v=UrnVVe9W76I
Crazy Shopping,2,2019_11_02,0,0,Willow The Weirdo,60,https://www.youtube.com/watch?v=lGQVNY_KMJE
Quick crazy shopping part 2,3,2019_11_02,0,0,Deadles Plays,9,https://www.youtube.com/watch?v=xS-i8QGb0wY
Я скупил весь магазин 😮😮😮😮😮 в Crazy Shop! Обзор на мобильную игру!,49,2019_11_02,4,0,Аластор Channel,17,https://www.youtube.com/watch?v=jZc7ibqmFoI
"PvZ, Crazy Shopping, Cowboy, Hill Climb 2, Train Taxi, Minion Rush, Clean Up 3D, Hole.io",8,2019_11_02,1,0,BEsS,249,https://www.youtube.com/watch?v=1U3wKQEuHO8
Crazy Shopping and Square Bird YouTube Ad,78,2019_11_02,1,0,JonathanAlfaroF12,110,https://www.youtube.com/watch?v=4WC0fx0VI5w
How to Play Crazy Shopping on Pc Keyboard Mapping with Memu Android Emulator,21,2019_11_02,0,0,Johan Fayt,6840,https://www.youtube.com/watch?v=Rf_o4j2isrg
