title,count,date,good_count,bad_count,youtuber,subscriber,url
Mr Bullet Chapter 11 PIRATE SHIP Level 161-176. 3 Stars Walkthrough,"10,459",2019_03_17,24,6,TheGameAnswers,26000,https://www.youtube.com/watch?v=EMLpdRWXj0I
MR BULLET - Chapter 1 Bullet City - Gameplay Walkthrough Part 1 (iOS Android),"68,669",2019_03_17,384,47,MobileGamesDaily,406000,https://www.youtube.com/watch?v=R0l8DEFIbUo
Mr Bullet All Grenades Levels 3 Stars Walkthrough,"1,568",2019_03_17,21,2,Dark Lemon,520,https://www.youtube.com/watch?v=vX1DBsO_GDU
Mr Bullet Chapter 6 FAR WEST Level 81-96. 3 Stars Walkthrough,"1,014",2019_03_17,5,1,TheGameAnswers,26000,https://www.youtube.com/watch?v=Ol47u52_h6E
Mr Bullet Chapter 14 CIRCUS Level 209-224. 3 Stars Walkthrough,"13,578",2019_03_17,31,4,TheGameAnswers,26000,https://www.youtube.com/watch?v=EmLTQaSN0oc
Mr Bullet Chapter 7 FOREST Level 97-112. 3 Stars Walkthrough,865,2019_03_17,5,0,TheGameAnswers,26000,https://www.youtube.com/watch?v=26uJ-bQO2CY
Mr Bullet Chapter 3 GRAVEYARD Level 33-48. 3 Stars Walkthrough,"14,504",2019_03_17,57,9,TheGameAnswers,26000,https://www.youtube.com/watch?v=IPh4-iJldAI
Mr Bullet Chapter 9 SHOGUNS CASTLE Level 129-144. 3 Stars Walkthrough,"17,327",2019_03_17,71,18,TheGameAnswers,26000,https://www.youtube.com/watch?v=Xlfg1FzuQDo
Mr Bullet Chapter 10 UNKNOWN PLANET Level 145-160. 3 Stars Walkthrough,"3,737",2019_03_17,13,1,TheGameAnswers,26000,https://www.youtube.com/watch?v=z6bM0l8Dn3c
Mr Bullet Chapter 4 BULLET BEACH Level 49-64. 3 Stars Walkthrough,"8,924",2019_03_17,40,3,TheGameAnswers,26000,https://www.youtube.com/watch?v=HpnTpYcTE0A
Mr Bullet Chapter 1 BULLET CITY Level 1-16. 3 Stars Walkthrough,"11,021",2019_03_17,25,2,TheGameAnswers,26000,https://www.youtube.com/watch?v=O2u9kZZLRtU
Mr Bullet Chapter 8 FORTRESS Level 113-128. 3 Stars Walkthrough,"15,121",2019_03_17,76,16,TheGameAnswers,26000,https://www.youtube.com/watch?v=r-RBxnmhT1s
MR BULLET - Chapter 2 Shogun's Castle - Gameplay Walkthrough Part 2 (iOS Android),"20,038",2019_03_17,110,10,MobileGamesDaily,406000,https://www.youtube.com/watch?v=BX3dK-lcfvs
Mr Bullet Chapter 13 SNOW FOREST Level 193-208. 3 Stars Walkthrough,"4,311",2019_03_17,13,4,TheGameAnswers,26000,https://www.youtube.com/watch?v=nm0QtnWnYR4
