title,count,date,good_count,bad_count,youtuber,subscriber,url
Tales of the Rays God Eater Collab 40ap rush,17,2019_02_25,1,0,Mashuhashi Rielight,1,https://www.youtube.com/watch?v=8FqRhlhVeaI
Tablegame Tales #2 - BLACKJACK RUSH!! [HUGE WINS],"8,286",2019_03_07,60,11,Slotspinner - Casino Streamer,13200,https://www.youtube.com/watch?v=EhuWkp5XM_k
Tales of Vesperia Definitive Edition - Low Level Challenger Rush,66,2019_04_17,0,0,Shinobi Kev,315,https://www.youtube.com/watch?v=t6_f0RgdBTk
Tales of Vesperia Definitive Edition - Speedy Speed Boy (Still on Rush Run),26,2019_04_21,0,0,Shinobi Kev,315,https://www.youtube.com/watch?v=VYEE_qZ-8QY
Tales Rush!,"7,725",2019_08_29,0,2,轩进优路AF,6,https://www.youtube.com/watch?v=osSDKBuCXko
Tales of Berseria - rush to prison island,1,2019_09_08,0,0,pegno's games,1,https://www.youtube.com/watch?v=RuLGqH9szrA
[BLACKMOD.NET] Tales Rush MOD,"5,756",2019_09_09,24,4,BlackMod Offical,0,https://www.youtube.com/watch?v=ld696aDQviY
Tales Rush Hack || No Root___ Unlimited Health and One Shot Kill,"1,202",2019_09_09,3,0,Knight Gaming,0,https://www.youtube.com/watch?v=DQRV0ZbgYXI
Tales Rush! [ Android APK ] Gameplay,867,2019_09_10,2,1,Free2PlayMMOs Gaming Channel,9710,https://www.youtube.com/watch?v=md9I2rCWccY
Tales Rush! android game first look gameplay español,587,2019_09_11,4,2,perezzdb channel,20900,https://www.youtube.com/watch?v=o3iwCsaPLa8
Tales Rush! Gameplay,"4,028",2019_09_19,17,6,Gamerunss,0,https://www.youtube.com/watch?v=qYTpvvk4VJs
THIS ARCHERO COPY HAS SUCH A COOL HERO! I wish Archero had her! (Tales Rush),"11,957",2019_09_19,199,10,SuperTeeds,30299,https://www.youtube.com/watch?v=iBI1vUheDss
Tales Rush! Gameplay Walkthrough - First Impressions,107,2019_09_20,2,0,TapGameplayed,7090,https://www.youtube.com/watch?v=nUuEGobcXHc
#Ever Merge Event #Unicorn Rush EverMerge: Merge Puzzles in a Fairy Tale Adventure (Early Access),209,2019_09_21,3,0,Lust For Games,6,https://www.youtube.com/watch?v=qnLJimIkMiQ
Archero copy (Tales rush) gameplay,39,2019_09_21,1,0,AAARRRGGHH Wingman,2,https://www.youtube.com/watch?v=G_St44wBSxc
Tales Rush GAMEPLAY | (NEW android GAME 2019),100,2019_09_23,0,1,KaponiMobileGames,51,https://www.youtube.com/watch?v=uhBuoeZ9XKw
Tales rush - Android app - GogetaSuperx,6,2019_10_08,0,0,Gogeta Superx,2800,https://www.youtube.com/watch?v=ba-HR33LY5A
Tales Rush! (進擊冒險書!) - Android Gameplay,261,2019_10_09,2,1,Jin Pio,0,https://www.youtube.com/watch?v=ThUGawTsaLc
【哈姆手游試玩】《Tales Rush! 進擊冒險書！》單手操控roguelike冒險通關,625,2019_10_09,2,0,最終の哈姆,1960,https://www.youtube.com/watch?v=JhbCLpms2Cg
THRONE RUSH GONE WRONG! 😂 - Tales of Wind | Laplace M,888,2019_10_17,22,1,BAGYO YT,2150,https://www.youtube.com/watch?v=YKEAae4NFOM
Tales Rush! v1.1.1 [ x100 Damage and god Mode ],326,2019_10_20,4,1,AgileMods,4280,https://www.youtube.com/watch?v=ofb7Sbwx8Ak
Tales Rush! Android Gameplay,446,2019_10_23,6,4,Uptodown,110000,https://www.youtube.com/watch?v=SaPkF23cP-c
Game Tales Rush! v1.1.5 Mod Free For Android | GOD MODE | INCREASE GOLD,"1,754",2019_10_27,7,2,JK Republic,865,https://www.youtube.com/watch?v=N6XZhHDB1pw
Tales Rush - Gameplay - Alice clear Chapter 1: Lost Desert (Stage 1 - 50),20,2019_10_30,1,0,Kuu Moe,44,https://www.youtube.com/watch?v=hwKMGY5CE4U
Tales Rush - Gameplay - Alibaba clear Chapter 1: Lost Desert (Stage 1 - 50),34,2019_10_30,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=c_QhGyRPzsk
Tales Rush - Gameplay - Alibaba clear Chapter 2: Mine Hole (Stage 1 - 50),54,2019_10_30,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=tXXYRO3AKDM
Tales Rush - Gameplay - Alice clear Chapter 2: Mine Hole (Stage 1 - 50),35,2019_10_30,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=rCzvhRhZCcY
Tales Rush - Gameplay - Little Red clear Chapter 1: Lost Desert (Stage 1 - 50),108,2019_10_31,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=L69kjzWTQy4
Tales Rush - Gameplay - Little Red clear Chapter 2: Mine Hole (Stage 1 - 50),"1,497",2019_10_31,4,1,Kuu Moe,44,https://www.youtube.com/watch?v=vUAhufLlDeE
Tales Rush - Gameplay - Alibaba clear Chapter 3: Whispering Forest (Stage 1 - 50),896,2019_11_01,2,0,Kuu Moe,44,https://www.youtube.com/watch?v=EQXfFo6VopQ
Tales Rush - Gameplay - Alice clear Chapter 3: Whispering Forest (Stage 1 - 50),39,2019_11_01,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=u9Qtn6emxzI
Tales Rush - Gameplay - Alibaba clear Chapter 4: Lava Gate (Stage 1 - 50),90,2019_11_02,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=zQN8lC6l440
Tales Rush - Gameplay - Little Red clear Chapter 3: Whispering Forest (Stage 1 - 50),952,2019_11_02,3,0,Kuu Moe,44,https://www.youtube.com/watch?v=idDSNUI3V5I
Tales Rush - Gameplay - Alibaba clear Chapter 5: Candy House (Stage 1 - 50),98,2019_11_09,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=v9nGd0DZ3FU
Tales Rush - Gameplay - Alice clear Chapter 4: Lava Gate (Stage 1 - 50),260,2019_11_09,1,0,Kuu Moe,44,https://www.youtube.com/watch?v=JyNxMGC_aqk
Tales Rush - Gameplay - Alice clear Chapter 5: Candy House (Stage 1 - 50),206,2019_11_10,0,0,Kuu Moe,44,https://www.youtube.com/watch?v=5A8A5d0Z5VE
Playing Tales rush,7,2019_11_10,1,0,PGK Chronicle,11,https://www.youtube.com/watch?v=OKtMqaLpF_w
Tales Rush : Candy House Chapter Cleared in 10 mins,106,2019_11_11,0,0,systim30,449,https://www.youtube.com/watch?v=bSJDR8saUBo
Tales Rush! First Impressions - How does it compare to Archero?,"1,763",2019_11_11,15,2,iPICKmyBUTT,5020,https://www.youtube.com/watch?v=qY6gzogkVfs
Tales Rush - Gameplay - Endless Mode floor 500 - 590,"2,558",2019_11_12,3,1,Kuu Moe,44,https://www.youtube.com/watch?v=stT_EsJNOBs
Tales Rush - Gameplay - Endless Mode floor 995 - 1000,"1,704",2019_11_12,7,0,Kuu Moe,44,https://www.youtube.com/watch?v=JRp_wWBawuk
Tales Rush,619,2019_11_14,0,0,marialinda connie,3,https://www.youtube.com/watch?v=PexTmjqsqqU
Tales Rush 2019,386,2019_11_14,0,0,marialinda connie,3,https://www.youtube.com/watch?v=Efne94kKI6o
Tales Rush Gameplay,51,2019_11_14,2,0,Happy Game Time,1420,https://www.youtube.com/watch?v=iJ4SrGswXvM
Tales Rush _The Best Mobile Game Of 2019,"3,974",2019_11_14,0,0,marialinda connie,3,https://www.youtube.com/watch?v=hkUJzIGvMZY
TALES RUSH! Chapter 1 Bosses - I FOUGHT A T-REX!!,249,2019_11_15,4,1,iPICKmyBUTT,5020,https://www.youtube.com/watch?v=RT4H4vmkgtk
Tales Rush Hack/Chetas {IOS AND ANDROID} - Tales Rush MOD Apk (1.2.0) Free Gems,"2,329",2019_11_17,0,0,silambu nair,2,https://www.youtube.com/watch?v=oJtvUehesV4
테일즈 러쉬,55,2019_11_18,0,0,청월검TV,133,https://www.youtube.com/watch?v=LYCTCvHGfVE
Tales Rush! - LOST DESERT - STAGE 1 LEVEL 1-50 GAMEPLAY 【Tales Rush 進擊冒險書】,777,2019_11_18,9,1,Bibi Pew,16700,https://www.youtube.com/watch?v=acojSoy9NmQ
WOW THIS GAME IS GOOD - COMPLETED - TALES RUSH CHAPTER 1,40,2019_11_19,0,0,Minerva Glass,19,https://www.youtube.com/watch?v=Cyfy74jeLmI
Tales Rush! New start!,"39,101",2019_11_19,6,6,轩进优路AF,6,https://www.youtube.com/watch?v=wnizMB_pXxc
테일즈 러쉬 tales rush,113,2019_11_22,2,0,KON SODA,101,https://www.youtube.com/watch?v=5aAUD0v8CXU
[game Tales Rush] Checkpoint1-50 Level 1-10,43,2019_11_22,3,0,SIRISUB รวมมิตร,107,https://www.youtube.com/watch?v=AvqikyQNT74
Tales Rush Free Mobile Game Android ios App Apk,24,2019_11_23,3,0,Scottish Gaming Duo,1250,https://www.youtube.com/watch?v=8FmLwHRR1CE
[Tales rush] 테일즈 러쉬! 이번엔 검이다 ! 응??? 가즈아! -1편-,363,2019_11_23,0,0,철 없는 루루아재 게임&일상 TV,19,https://www.youtube.com/watch?v=Di7-Dkn5Ewg
[Tales Rush] 테일즈 러쉬 이번엔 무한모드다!! 박살내러 ㄱㄱ -2편-,180,2019_11_24,1,0,철 없는 루루아재 게임&일상 TV,19,https://www.youtube.com/watch?v=0s_3LQj0llM
Tales Rush} game mới 2019 hãy tải về chơi vs mik nha,34,2019_11_25,1,0,Đạt ngáo ngơ,5,https://www.youtube.com/watch?v=OEHTifZ2Nvw
TALES RUSH GAME GIỐNG ARCHERO HAY GIÀNH CHO AE !!!!,409,2019_11_25,5,0,DuyV Channel,343,https://www.youtube.com/watch?v=zfKC2PmeAQA
Tales Rush! - Gameplay,21,2019_11_25,1,0,PlayingPotato,4,https://www.youtube.com/watch?v=J9-vFm8NoXg
[Tales Rush] 테일즈러쉬 알리바바 현질!! 무한모드 가즈아!!,937,2019_11_25,0,0,철 없는 루루아재 게임&일상 TV,19,https://www.youtube.com/watch?v=Q2rXnlsXEX4
궁수의전설 근접버전? 현질캐릭 사기다 - [썩쏘],"131,972",2019_11_26,815,74,썩쏘TV,403000,https://www.youtube.com/watch?v=LkH1ZHEfADs
Tales Rush 5챕터 스무스 클리어! 소과금(궁수의전설),38,2019_11_27,0,0,사이곤tv,0,https://www.youtube.com/watch?v=Qv3wvI3Z_4U
Tales Rush!,7,2019_11_27,0,0,Gamer360XD 2,909,https://www.youtube.com/watch?v=2DeercMg6SE
Tales Rush! 1.2.6 (Mod Money/Energy) Apk for android,251,2019_11_27,0,0,Julius Macansantos,2,https://www.youtube.com/watch?v=0QlnBjMXM9g
테일즈러쉬 VS 궁수의 전설?? 훨 재미있는?? [Tales rush],341,2019_11_27,0,0,다이기는 다이노TV,16,https://www.youtube.com/watch?v=whouBYn4ws4
테일즈러쉬 현질로 새캐릭을 뽑았더니 데미지 실화냐?! (Tales Rush) - 아매킹,255,2019_11_28,0,1,아매킹TV,477,https://www.youtube.com/watch?v=R5kL0bGzeJk
[Tales Rush] Max buff Sword/Spirit,280,2019_11_30,1,0,I Got Myself,21,https://www.youtube.com/watch?v=btZIbFS2tQE
Gameplay Tales Rush,3,2019_11_30,0,0,droid gaming,0,https://www.youtube.com/watch?v=FlOzfD01z-8
궁수의 전설과 유사한 그 게임 *테일즈 러쉬(tales rush),28,2019_11_30,4,0,카네임,115,https://www.youtube.com/watch?v=fFklkL21V-Y
Tales Rush - Gameplay - Alice clear Chapter 6: Pumpkin Cemetery (Stage 1 - 50),399,2019_12_02,1,0,Kuu Moe,44,https://www.youtube.com/watch?v=YUDWoIvHLLg
알리바바로 챕터3 클리어했어용 [Tales Rush] 테일즈러쉬,33,2019_12_02,3,1,후리덤TV,0,https://www.youtube.com/watch?v=oOaiIZjw7IE
JJ'PAPLAY - TALES RUSH! (EP2) อาลีบาบา เจ้าหนุ่มมีดบินนน!!,9,2019_12_02,2,0,JJ' PAPLAY,1,https://www.youtube.com/watch?v=yvqqVfyMqc8
알리바바 고민하지 말고 꼭 사세요!!! #테일즈러쉬 #TalesRush!,481,2019_12_02,0,0,다이기는 다이노TV,16,https://www.youtube.com/watch?v=TOremTVOb_A
JJ'PAPLAY - TALES RUSH! (EP1) อลิสสาวแกร่งยอดนักดาบบบ!!,18,2019_12_02,2,0,JJ' PAPLAY,1,https://www.youtube.com/watch?v=j7o_t6xVCBc
JJ'PAPLAY - TALES RUSH! (EP3) หนูน้อยจอมระเบิดดด!!,36,2019_12_03,2,0,JJ' PAPLAY,1,https://www.youtube.com/watch?v=ivVkOZC5b5w
Tales Rush! 1.2.8 (Mod Money/Energy) Apk for android,33,2019_12_03,1,0,Gwyneth Lagarde,0,https://www.youtube.com/watch?v=Wcsc4xENzcs
테일즈러쉬 알리바바,55,2019_12_04,2,0,청월검TV,133,https://www.youtube.com/watch?v=njsYiuKcRK0
Tales Rush - Gameplay - Alibaba clear Chapter 6: Pumpkin Cemetery (Stage 1 - 50),112,2019_12_05,1,0,Kuu Moe,44,https://www.youtube.com/watch?v=t4vcQCmZjbE
ALICE IS OP - COMPLETED - TALES RUSH CHAPTER 2,42,2019_12_05,0,0,Minerva Glass,19,https://www.youtube.com/watch?v=uP_BROnYt9Y
Tales Rush Game stage 1-50 Try to Fun Game 😊,10,2019_12_05,1,0,Putera Arrow,195,https://www.youtube.com/watch?v=xIVExuux9eE
Tales Rush - BETTER THAN ARCHERO? UNIQUE ROGUELIKE RPG WITH TOP-DOWN ACTION GAMEPLAY | MGQ Ep. 426,527,2019_12_06,22,0,NimbleThor,6180,https://www.youtube.com/watch?v=PbshhGUtCnI
Tales Rush - Gameplay - Little Red clear Chapter 5: Candy House (Stage 1 - 50),86,2019_12_08,2,0,Kuu Moe,44,https://www.youtube.com/watch?v=_aedeSby0Xg
Tales Rush!をやった,12,2019_12_08,1,0,iOS&Android Game Play,2830,https://www.youtube.com/watch?v=JZULasTaFj0
