title,count,date,good_count,bad_count,youtuber,subscriber,url
"[게임공략, 방법] pes2019 패치! 모아모아 v4 설치 및 적용 방법까지!","9,676",2019_02_08,27,4,승우,23,https://www.youtube.com/watch?v=SLtv1DVy92A
190224 프리파라 게임 v4.0 업데이트 「Girl's Fantasy」 판타지 타임 블루 샤이니네온 코디 プリパラ 韓国 pripara,"14,932",2019_02_24,258,15,Generation 2 LORNA,16900,https://www.youtube.com/watch?v=9nNTZPzAr5E
[게임메카] 'V4' 나이트 로비 영상,"1,240",2019_08_13,1,0,게임메카 아카이브,1160,https://www.youtube.com/watch?v=cKkeikl_MGw
[게임메카] 'V4' 오픈필드 영상,843,2019_08_13,0,0,게임메카 아카이브,1160,https://www.youtube.com/watch?v=wDvHta25TyM
넥슨 신작 MMORPG 'V4' 플레이 영상,"41,964",2019_08_13,102,27,디스이즈게임 자료실,25299,https://www.youtube.com/watch?v=uIwGnmrwZa0
PROJECT V4 - NEW GAME MMORPG OPEN WORLD FROM NEXON!!,386,2019_08_15,3,0,Hira Michi,85,https://www.youtube.com/watch?v=mcGrjFgZuyQ
넥슨 신작 V4 티저사이트 오픈! - 브이포 게임 특징 정리 [사키엘TV],"1,536",2019_08_30,19,6,사키엘 TV,44600,https://www.youtube.com/watch?v=VPftI_qgVeY
ONE PUNCH - Game movie v4,"98,905",2019_09_01,40,2,SPRING TOAST,53,https://www.youtube.com/watch?v=r7QBaMButig
리니지2M 대 V4 브이포 비교 분석 - 과연 승자는? [사키엘TV],"4,396",2019_09_02,28,9,사키엘 TV,44600,https://www.youtube.com/watch?v=N35OHVSJfkI
[제이] 넥슨 v4 실제 플레이 영상 대박! 리니지2M 긴장해라!,"29,215",2019_09_02,170,46,제이,29000,https://www.youtube.com/watch?v=4OqPr3BveMg
"넥슨신작, V4[브이포] 원테이크 인게임 플레이 영상 공개 및 코멘트!","1,555",2019_09_02,14,1,윤쿵쿵TV,6400,https://www.youtube.com/watch?v=KkB1DmoDDLg
넥슨 V4 대규모 전쟁씬 게임플레이 전격공개!! 리니지2m처럼 때쟁 1000:1000 가능?!! V4 출시일확정! 리니지2m V4 때쟁빅매치 예상!! v4 캐릭터직업 길드카페팁,"1,230",2019_09_02,11,0,놀자킹,0,https://www.youtube.com/watch?v=VfjJtDqzaQU
"넥슨의 V4 초대작 MMORPG 플레이영상! 드디어 모바일게임 끝판왕 등장 리니지2m 비켜!! 9월27일 쇼케이스 개최 (펫, 소환수, 날탈, 대규모전투, PVP, 오픈월드, )",280,2019_09_02,3,0,샤킬TV,0,https://www.youtube.com/watch?v=im11Gxg2jPM
V4[브이포] 원테이크 인게임 플레이 영상,"16,497,640",2019_09_02,1000,565,V4[브이포],3220,https://www.youtube.com/watch?v=Z3EOL9GDO18
V4 넥슨 신작 브이포 플레이 영상 공개 - 리니지2M 뛰어넘을까? [사키엘TV],"2,706",2019_09_03,12,7,사키엘 TV,44600,https://www.youtube.com/watch?v=lH2MF0Ohea0
"[v4] 리니지2m을 뛰어넘는 소름돋는 실제 게임 플레이 영상 (직업정보, 소환수,탈것,세공사,마석,대규모전쟁pvp)","48,385",2019_09_03,118,62,쵸튜브[쵸피],0,https://www.youtube.com/watch?v=dHQ7GlOzFu8
넥슨 V4 신작 모바일 게임 원테이크 인게임 플레이 영상 대공개!!,"4,761",2019_09_03,13,4,대써남후후,1780,https://www.youtube.com/watch?v=5I5AUjY2t8U
[V4] 넥슨 신작 모바일게임! 인게임 영상 최초공개 쇼케이스 예고 서버대항전 실화냐? 검은사막M과 비교해보자,"13,635",2019_09_03,0,0,액티브TV[액튜브],14700,https://www.youtube.com/watch?v=StUv0NIiT8s
V4 (KR) - Official gameplay trailer,"5,891",2019_09_03,0,0,MMO Culture,0,https://www.youtube.com/watch?v=11NEaWFiR24
[V4] 리니지2M 보다 좀더 기대작일거 같은 이유!! 모바일게임 리뷰 엉아,"13,660",2019_09_03,156,17,엉아 TV,15500,https://www.youtube.com/watch?v=RPMYbRPkl7U
리니지2M]사전예약 준비각! 넥슨 V4보다 먼저 게임 출시일 공개될듯!,"1,372",2019_09_04,11,5,윤쿵쿵TV,6400,https://www.youtube.com/watch?v=KlbtH9Em730
'리니지' 개발 주역들의 '마지막 승부'…'리니지2M·달빛조각사·V4' 게임대전 / 머니투데이방송 (뉴스),666,2019_09_05,4,0,MTN 머니투데이방송,181000,https://www.youtube.com/watch?v=kXLaT8bvbKw
"[프리뷰] V4, A3, 세븐나이츠2, 리니지2m 한 번에 보자","42,871",2019_09_07,170,12,꾸스TV,7400,https://www.youtube.com/watch?v=j8LEdX6YOB4
V4[브이포] 미디어 시연회 - 오픈필드 영상,"6,584",2019_09_08,23,1,V4[브이포],3220,https://www.youtube.com/watch?v=8nFvXTGzkwM
모바일게임 V4 원테이크 인게임 플레이 영상,78,2019_09_09,1,1,Play민수르,103,https://www.youtube.com/watch?v=uMjf05FFCpQ
"리니지2m vs V4 여러분의 선택은?? (달빛조각사도 있어요!! ) - 출시일, 게임정보","16,475",2019_09_09,64,13,쵸튜브[쵸피],0,https://www.youtube.com/watch?v=1QeDJS5kxfw
[제이] 넥슨 V4 클래스 공개! 무소과금에게 좋은 직업은?,"8,468",2019_09_10,70,16,제이,29000,https://www.youtube.com/watch?v=Uxt0oGAYvLM
[v4] 무과금 직업 추천 완벽정리 (6가지 직업 분석),"27,555",2019_09_11,92,19,쵸튜브[쵸피],0,https://www.youtube.com/watch?v=Oys-GOhycF8
"V4[브이포] 정보 총 정리, 직업 클래스 공개! 리니지2M을 넘어설 것인가? 넥슨 MMORPG 모바일 게임 [휘재TV - V4]","18,968",2019_09_11,0,0,휘재TV,6230,https://www.youtube.com/watch?v=TAXNHdKHDnw
2019년 가장 기대되는 게임은?? 리니지2M vs V4 vs 달빛조각사vs바람의나라,"16,495",2019_09_17,50,8,TV용느님,70600,https://www.youtube.com/watch?v=C7zJA2nx9D8
달빛조각사 정보 총 정리 / 리니지2M과 V4사이에서 살아남으려나? MMORPG 모바일 게임 [휘재TV],"9,028",2019_09_17,0,0,휘재TV,6230,https://www.youtube.com/watch?v=s8w6fdhbwvk
"[난닝구] 넥슨 V4 난닝구가 직접 V4 쇼케이스 갑니다. 후기 500% 기대!! | 500만 사전예약!? 달빛조각사 뭔데 이거 (V4, 달빛조각사 동시 리뷰)","18,729",2019_09_18,180,15,난닝구TV,0,https://www.youtube.com/watch?v=bwtqX19HfeU
V4 [브이포] 실제 폰 플레이 영상 및 건슬링어 사냥 모습 공개!,"5,258",2019_09_20,23,1,윤쿵쿵TV,6400,https://www.youtube.com/watch?v=p7SRbMEKKmc
넥슨 V4[브이포] 건슬링어 자동사냥 및 인터서버(?) 전투가 공개됐다!!,"2,576",2019_09_20,14,1,겜오링,693,https://www.youtube.com/watch?v=YOpBjs2b2t8
넥슨 V4[브이포] 레이드 실제 플레이영상 놀라운 게임구현을 보여주다 샤키의 모바일큐브,239,2019_09_20,3,0,샤킬TV,0,https://www.youtube.com/watch?v=LGF5S0y6Gws
V4 게임플레이 영상 넥슨 신작 스크린샷 모바일 게임 그래픽 감상하기 게임 정보,488,2019_09_20,4,3,게임 놀이터,1100,https://www.youtube.com/watch?v=zZ7-iGs6W48
V4[브이포] 추가 정보 공개 / NC소프트 긴장해라! 넥슨 MMORPG 모바일 게임 [휘재TV - V4],"13,101",2019_09_21,0,0,휘재TV,6230,https://www.youtube.com/watch?v=kYarqBWeYpg
[제이] 넥슨 v4 나이트 스킬 플레이 영상 최초공개! 이거 검은사막 상위 호환 버전인데요!,"20,690",2019_09_25,116,38,제이,29000,https://www.youtube.com/watch?v=RrwzbqmhD_A
V4[브이포] 클래스 소개 - 매지션,"14,652",2019_09_27,21,5,V4[브이포],3220,https://www.youtube.com/watch?v=5mYK2IZ3kvk
"브이포 [V4] 동료컨텐츠 과금요소 최초공개. 보유효과! 역시 소환수,탈것처럼 등급별 차이가 존재합니닷!","2,146",2019_09_27,12,4,윤쿵쿵TV,6400,https://www.youtube.com/watch?v=ENcA5kchkCA
V4[브이포] 콘텐츠 소개 - 길드,"5,267",2019_09_27,21,1,V4[브이포],3220,https://www.youtube.com/watch?v=0Q46RvUbulg
V4[브이포] 콘텐츠 소개 - 인터서버,"10,655",2019_09_27,21,3,V4[브이포],3220,https://www.youtube.com/watch?v=np5IYvVz0qA
"[V4] 무과금이 할수없는 게임 ""브이포"" (미친 3중과금 시스템)","123,483",2019_09_27,308,69,쵸튜브[쵸피],0,https://www.youtube.com/watch?v=W0jyEcXtIBM
"[게임조선] V4, 초반부 플레이 영상",983,2019_09_27,4,1,겜조TV,3900,https://www.youtube.com/watch?v=AmS4zS-F0x4
"넥슨 V4 (Victory 4) 쇼케이스 / 게임, 캐릭터 소개 / Q&A | 리하RIHA",582,2019_09_27,7,0,리하RIHA,1390,https://www.youtube.com/watch?v=EOakMjCMHu0
