title,count,date,good_count,bad_count,youtuber,subscriber,url
계급장키우기 계급을 끝까지 올려서 보스 탱크 한 번 잡아야 보세요 심심할 때 즐기기 좋은 게임추천 mobile games sara han,721,2019_01_01,5,0,사라한,966,https://www.youtube.com/watch?v=3jGNZXA2Ri8
사관학교의 비밀,"10,826",2019_01_04,32,6,럭키찬,1310,https://www.youtube.com/watch?v=5xqSbCl9pK0
미국계급장은 어떻게 생겼을까?,"3,226",2019_01_04,16,2,럭키찬,1310,https://www.youtube.com/watch?v=hXbsiQpp-WI
원수 다음 계급이 뭘까?,"120,594",2019_01_04,79,10,럭키찬,1310,https://www.youtube.com/watch?v=_GDwMZ4j53A
이등병이 보면 기분이 좋아지는 영상 [계급장 키우기],"885,690",2019_01_04,30,6,럭키찬,1310,https://www.youtube.com/watch?v=LK7t-c5bL9M
부사관학교의 비밀,"3,132",2019_01_04,15,1,럭키찬,1310,https://www.youtube.com/watch?v=UU9qR_d8meg
럭키박스! 계급장을 뽑아봅시다!,"4,056",2019_01_04,11,2,럭키찬,1310,https://www.youtube.com/watch?v=pK_B3BR6YWM
계급장이 쏟아진다! 동원령 선포,"75,412",2019_01_04,11,1,럭키찬,1310,https://www.youtube.com/watch?v=jBazIK2AjBE
힐러부터 제거하세요,"8,026",2019_01_05,16,3,럭키찬,1310,https://www.youtube.com/watch?v=nkmKhSCVA54
탱크가 탱커네요,"35,513",2019_01_07,28,3,럭키찬,1310,https://www.youtube.com/watch?v=QIibSraT4yY
하사가 보면 기분이 좋아지는 영상 [계급장 키우기],"297,750",2019_01_11,16,8,럭키찬,1310,https://www.youtube.com/watch?v=z6-DijrqWB0
소위가 보면 기분이 좋아지는 영상 [계급장 키우기],"415,345",2019_01_23,12,3,럭키찬,1310,https://www.youtube.com/watch?v=FAnBp0ohN5Y
상어가족 들으며 소위 키우기,"145,657",2019_01_24,9,1,럭키찬,1310,https://www.youtube.com/watch?v=SVNCLtukaag
대령이 보면 기분이 좋아지는 영상 [계급장 키우기],"930,674",2019_01_26,29,7,럭키찬,1310,https://www.youtube.com/watch?v=DBhjskr_GVg
신비아파트 군대버전? 대물량 탱크 다 부셔버리기!! [계급장 키우기],"24,172",2019_02_01,182,11,동동 TV,236000,https://www.youtube.com/watch?v=DrW4d0UjoSI
계급장키우기 - 15초영상 1화 (정사각형 화면),888,2019_02_03,0,0,Lucky Chan,464,https://www.youtube.com/watch?v=nxYgv_upZlI
계급장 키우기(1탄),43,2019_02_05,3,0,임경채,5,https://www.youtube.com/watch?v=RKNJuzQt29Y
이병에서 원수되기,"2,252",2019_02_10,9,1,럭키찬,1310,https://www.youtube.com/watch?v=Jd5rZJgbcSs
다이아로 다이아 만들기 [계급장 키우기],"161,539",2019_02_13,14,3,럭키찬,1310,https://www.youtube.com/watch?v=-48cLNIO2bQ
SSS급 탱크 같이 파괴시킬분들 들어오세요! 총 30만원 이벤트 까지!! [계급장 키우기],"38,257",2019_02_16,298,20,동동 TV,236000,https://www.youtube.com/watch?v=RPoV5HqrY98
소용돌이 만들기 [계급장 키우기],"600,013",2019_02_19,21,10,럭키찬,1310,https://www.youtube.com/watch?v=eACMoT1tju0
현질로 SS급 만들었습니다ㅋㅋ 현질 이벤트까지 또?! [계급장 키우기],"87,217",2019_02_26,596,57,동동 TV,236000,https://www.youtube.com/watch?v=qfn1i_el1pA
3.1운동 100주년 기념 영상 [계급장 키우기],"4,625",2019_03_01,20,0,럭키찬,1310,https://www.youtube.com/watch?v=4hDuixkTRXU
이제 포탄 발사가 쉬워졌어요! [계급장 키우기],"1,413",2019_03_04,7,4,럭키찬,1310,https://www.youtube.com/watch?v=qmJEyFZCLQQ
하사 만들기 [계급장 키우기],"40,446",2019_03_08,7,1,럭키찬,1310,https://www.youtube.com/watch?v=L80EOHLAqbs
계급장 키우기 입대&진급 자동 오토마우스,878,2019_03_09,14,3,ALEX Park,88,https://www.youtube.com/watch?v=c8Gn0QuFIMs
계급장 키우기 오토마우스 (자동 진급),"5,383",2019_03_09,15,3,ALEX Park,88,https://www.youtube.com/watch?v=lbNOKFHmLXw
계급장 키우기 오토마우스 시연,"1,276",2019_03_09,12,1,ALEX Park,88,https://www.youtube.com/watch?v=Od2nbfVxBQw
오늘도 스마일 [계급장 키우기],"3,472",2019_03_13,10,3,럭키찬,1310,https://www.youtube.com/watch?v=fvEBMITq86I
[노랭몬] 요즘 인기많은 노가다 게임을 해봤습니다ㅋㅋ [계급장 키우기],109,2019_03_15,4,1,노랭몬,118,https://www.youtube.com/watch?v=SPVdFTe5G0M
계급장 키우기 오토마우스 매크로 사용법 💂 by 몽고몽TV,"8,645",2019_03_19,31,5,몽고몽TV,42,https://www.youtube.com/watch?v=LExB_3vSMik
계급장키우기 꿀팁 알려드립니다!,989,2019_03_23,0,4,남강우,102,https://www.youtube.com/watch?v=UWK-aLIgBkk
빠져든다 [계급장 키우기],"26,802",2019_03_23,8,0,럭키찬,1310,https://www.youtube.com/watch?v=xhMjTWGMBss
계급장 키우기 버그가 걸렸다!!,"1,097",2019_03_30,2,4,멀티펀,131,https://www.youtube.com/watch?v=Ef2KQZvX6s8
소위 무한리필 [계급장 키우기],"1,003",2019_03_31,5,0,럭키찬,1310,https://www.youtube.com/watch?v=aqrDALU_BOk
초군반에서 고급지휘관 참모과정까지 한번에 수료하기 [계급장 키우기],"6,042",2019_04_05,9,1,럭키찬,1310,https://www.youtube.com/watch?v=onFDqdqspPM
계급장 제거가 가능하다?! [계급장 키우기],"10,711",2019_04_09,22,2,럭키찬,1310,https://www.youtube.com/watch?v=ioqafw3ZMB4
미군 계급장으로 하트 만들기 [계급장 키우기],757,2019_04_16,8,0,럭키찬,1310,https://www.youtube.com/watch?v=8psFqlEUmSM
금빛 은빛 단풍놀이 [계급장 키우기],867,2019_04_18,8,1,럭키찬,1310,https://www.youtube.com/watch?v=ZPCGkCqOaDs
전세계 계급장을 모두 모아봤습니다! [계급장 키우기],"13,833",2019_04_23,23,3,럭키찬,1310,https://www.youtube.com/watch?v=IBIA2hcpDcM
