title,count,date,good_count,bad_count,youtuber,subscriber,url
내가 좋아했던 남사친시리즈/꽃피는날해#님 영상/암호있음/달빛낭자,109,2019_07_28,13,1,달빛낭자,36,https://www.youtube.com/watch?v=oNHo-hgd5tY
'꽃피는 달빛' 01화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"8,766",2019_10_13,32,3,겜생,0,https://www.youtube.com/watch?v=ZAwtx9K9jiE
"꽃피는달빛, 재미있게 하고 말았습니다","7,408",2019_10_13,42,4,디야TV,0,https://www.youtube.com/watch?v=K2net9_CLcM
'꽃피는 달빛' 02화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"2,915",2019_10_14,12,2,겜생,0,https://www.youtube.com/watch?v=0-mDuj7-r10
꽃피는 달빛 플레이/궁중암투 드라마/모바일게임,"1,139",2019_10_15,5,2,게임똥 보고서,1520,https://www.youtube.com/watch?v=X9HOkGqUWTM
모바일 게임(*꽃피는 달빛)플레이 영상~💜💟 Game play movie,461,2019_10_15,4,0,서아리별,8,https://www.youtube.com/watch?v=chSuKF9J9ow
'꽃피는 달빛' 03화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"1,874",2019_10_16,10,0,겜생,0,https://www.youtube.com/watch?v=eT7rzErdNfc
"꽃피는달빛, 또 했습니다",670,2019_10_19,4,0,디야TV,0,https://www.youtube.com/watch?v=9ClwxFybo_8
'꽃피는 달빛' 04화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"1,021",2019_10_19,3,0,겜생,0,https://www.youtube.com/watch?v=B1BR-cEBueU
꽃피는 달빛 앞부분미리보기편,81,2019_10_20,0,0,남형,20,https://www.youtube.com/watch?v=HzvKPwIt_PA
꽃피는달빛 제1장,283,2019_10_20,1,1,남형,20,https://www.youtube.com/watch?v=DxQCqYVfMow
꽃피는달빛 1부뒷부분,35,2019_10_20,0,0,남형,20,https://www.youtube.com/watch?v=g7KUzniHqEI
갑자기 과거로 넘어가는 모바일 게임 - 꽃피는달빛 - MOBILE화면용,28,2019_10_22,0,0,객설TV,17,https://www.youtube.com/watch?v=WXA_u3w2OV0
꽃피는 달빛 동료 콘텐츠,116,2019_10_22,1,2,꽃피는 달빛,56,https://www.youtube.com/watch?v=PmdQ4MgG8EM
꽃피는 달빛 옷장 콘텐츠,400,2019_10_22,1,4,꽃피는 달빛,56,https://www.youtube.com/watch?v=h2FCo0B1GGo
꽃피는 달빛 진보각 콘텐츠,175,2019_10_22,2,4,꽃피는 달빛,56,https://www.youtube.com/watch?v=V6MSZVxOZeA
꽃피는 달빛 메인 스토리,430,2019_10_22,3,4,꽃피는 달빛,56,https://www.youtube.com/watch?v=MP-iHB0h9FM
[꽃피는 달빛]뀨,44,2019_10_23,0,0,로뎀나무TV,27,https://www.youtube.com/watch?v=aFR6UE2XmGQ
'꽃피는 달빛' 05화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),996,2019_10_23,4,0,겜생,0,https://www.youtube.com/watch?v=BDwcvhfQf44
'꽃피는 달빛' 06화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),904,2019_10_26,6,0,겜생,0,https://www.youtube.com/watch?v=vmDZQFyE2Xo
꽃피는달빛 지기 콘텐츠,178,2019_10_31,0,8,꽃피는 달빛,56,https://www.youtube.com/watch?v=XdIxR9FG2NQ
꽃피는달빛 제자 콘텐츠,193,2019_10_31,0,2,꽃피는 달빛,56,https://www.youtube.com/watch?v=QivfQEGuXZM
꽃피는 달빛 궁투 콘텐츠,29,2019_10_31,0,0,yuqing zhang,0,https://www.youtube.com/watch?v=GxZvTHTbUsU
꽃피는 달빛 제자 콘텐츠,19,2019_10_31,0,0,yuqing zhang,0,https://www.youtube.com/watch?v=6diKqY1f24M
꽃피는 달빛 궁투 콘텐츠,117,2019_10_31,0,2,꽃피는 달빛,56,https://www.youtube.com/watch?v=zVoFEYTm850
'꽃피는 달빛' 07화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),721,2019_11_01,5,1,겜생,0,https://www.youtube.com/watch?v=pRgUruyAWmo
꽃피는달빛 1부,176,2019_11_03,2,0,게임주주,2,https://www.youtube.com/watch?v=tm94Uc0etP4
갑자기 과거로 넘어가는 모바일 게임 - 꽃피는달빛 - PC화면용,13,2019_11_03,1,0,객설TV,17,https://www.youtube.com/watch?v=XfbNAyN4NHM
꽃피는 달빛 박민영 TV CF 30S 선택형 궁중스토리 모바일 게임,"49,530",2019_11_07,57,14,꽃피는 달빛,56,https://www.youtube.com/watch?v=pmg0J4UB7hA
꽃피는 달빛 박민영 TV CF 60S 선택형 궁중스토리 모바일 게임,"2,147",2019_11_07,34,4,꽃피는 달빛,56,https://www.youtube.com/watch?v=yQQfgt2nNmY
'꽃피는 달빛' 08화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),713,2019_11_08,3,0,겜생,0,https://www.youtube.com/watch?v=FvLINKlWnb0
꽃피는 달빛 초반 게임 플레이 영상,970,2019_11_08,11,0,게임셋 Gameset,0,https://www.youtube.com/watch?v=8Fu7JYhsChc
#박민영 꽃피는 달빛,"2,822",2019_11_09,27,1,kophilfamily코필가족,1260,https://www.youtube.com/watch?v=rI53ODxBXZg
'꽃피는 달빛' 09화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),788,2019_11_10,10,0,겜생,0,https://www.youtube.com/watch?v=eNL48ymLuI8
꽃피는 달빛첫번째,950,2019_11_10,2,0,성미,222,https://www.youtube.com/watch?v=6Gh3-yhJB7U
'꽃피는 달빛' 10화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"1,121",2019_11_12,10,1,겜생,0,https://www.youtube.com/watch?v=zWUrlr94eMA
꽃피는 달빛 - 박민영 TV CF,59,2019_11_13,0,0,정보공유,880,https://www.youtube.com/watch?v=zJOOc6Rljq4
꽃피는 달빛1장,160,2019_11_14,0,0,성미,222,https://www.youtube.com/watch?v=96jrIjDFIM0
꽃피는달빛 2부,26,2019_11_20,0,0,게임주주,2,https://www.youtube.com/watch?v=rM46X9EoXS0
"[꽃피는 달빛] 타임슬립으로 낯선 세상에 떨어진 여자 주인공, 그리고 그녀를 둘러싼 왕들... 연애 시뮬레이션 게임 | 김덕구 게임리뷰",253,2019_11_24,0,0,장작TV 게임리뷰,1730,https://www.youtube.com/watch?v=RlLBQpJa1NI
'꽃피는 달빛' 11화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),555,2019_11_29,4,0,겜생,0,https://www.youtube.com/watch?v=9scoGBPakH0
화질 굿!!! 꽃피는 달빛,8,2019_11_30,0,0,코카콜라tv,15,https://www.youtube.com/watch?v=VUTzQpfjI6g
[꽃피는 달빛] Play (No Sound),8,2019_12_03,0,0,Play Games Library,0,https://www.youtube.com/watch?v=K_wjB7r493c
꽃피는 달빛 TV CF 60S 박민영,102,2019_12_05,3,0,꽃피는 달빛,7,https://www.youtube.com/watch?v=UeNdANTkrdA
꽃피는 달빛 TV CF 30S 박민영,92,2019_12_05,3,0,꽃피는 달빛,7,https://www.youtube.com/watch?v=FZ9xHysneCY
'꽃피는 달빛' 12화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),267,2019_12_06,5,0,겜생,0,https://www.youtube.com/watch?v=DZDmM5ZgpG4
'꽃피는 달빛' 13화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),332,2019_12_08,10,0,겜생,0,https://www.youtube.com/watch?v=RZ8VIPuSIag
꽃피는 달빛광고와 궁정계 광고가 왜 거기서 나와 ???????,15,2019_12_09,0,0,tv 혜원,3,https://www.youtube.com/watch?v=Eb8A6BGJ3NI
