title,count,date,good_count,bad_count,youtuber,subscriber,url
Gardenscapes 1648,391,2019_01_02,1,0,대아르신,0,https://www.youtube.com/watch?v=xOrztj1Rbwk
Gardenscapes 1651,531,2019_01_02,1,0,대아르신,0,https://www.youtube.com/watch?v=EyS-fkGNL5U
Gardenscapes 1649,70,2019_01_02,0,0,대아르신,0,https://www.youtube.com/watch?v=cpvvJUKUI6c
[꿈의정원] Gardenscapes level 1107,21,2019_01_29,0,0,BBO Hacks Gamer,32,https://www.youtube.com/watch?v=UQxHU-O0kEI
가든 스케이프 3451 꿀팁 마음이 시원해지는 영상 gardenscape,1,2019_02_02,0,0,김gardenscape,5,https://www.youtube.com/watch?v=HMUgbROWnPo
🌵[퍼즐] 꿈의 정원 Gardenscapes [level 1231-1240],75,2019_02_02,1,0,zamuzzang,365,https://www.youtube.com/watch?v=y8PmDs_KZU8
🌵[퍼즐] 꿈의 정원 Gardenscapes [level 1311-1320],45,2019_02_03,1,1,zamuzzang,365,https://www.youtube.com/watch?v=JEus9UOHc6Y
Gardenscapes 1659,144,2019_02_07,0,0,대아르신,0,https://www.youtube.com/watch?v=qQf81FVeHfk
Gardenscapes 1671,284,2019_02_15,0,0,대아르신,0,https://www.youtube.com/watch?v=_s8hd7gY3T4
🌵[퍼즐] 꿈의 정원 Gardenscapes [level 1341-1350],153,2019_02_17,1,0,zamuzzang,365,https://www.youtube.com/watch?v=QI-BJKi-E8Q
꿈의정원 공략 (Gardenscapes) LEVEL 21 - 30 편집영상 (가든스케이프),312,2019_02_22,3,0,boy Ma,3,https://www.youtube.com/watch?v=GjbQpja1Fmw
꿈의정원 공략 (Gardenscapes) LEVEL 211 - 220 편집영상 (가든스케이프),211,2019_02_27,0,0,boy Ma,3,https://www.youtube.com/watch?v=Rke3NCu0nVI
꿈의정원 공략 (Gardenscapes) LEVEL 261 - 270 편집영상 (가든스케이프),94,2019_03_01,0,0,boy Ma,3,https://www.youtube.com/watch?v=ievwnD-ReXk
꿈의정원 공략 (Gardenscapes) LEVEL 501 - 510 편집영상 (가든스케이프),178,2019_03_30,2,0,boy Ma,3,https://www.youtube.com/watch?v=izNf8PnjGfQ
Gardenscapes 4040 Level 꿈의 정원 4040 공략 this week last level 이번주 마지막 레벨 만렙,"1,582",2019_04_06,6,0,책팽팽,6,https://www.youtube.com/watch?v=erTe5oMPPUU
Gardenscapes 4038 Level 꿈의 정원 4038 공략,63,2019_04_06,3,0,책팽팽,6,https://www.youtube.com/watch?v=IEyn8iaaEJI
gardenscapes level 2932 꿈의정원,8,2019_05_08,0,0,리루스,5,https://www.youtube.com/watch?v=mJoHVFEItT8
Gardenscapes 1696,70,2019_06_17,0,0,대아르신,0,https://www.youtube.com/watch?v=HXBuG8iMsts
Gardenscapes 1695,456,2019_06_17,1,0,대아르신,0,https://www.youtube.com/watch?v=PUF-8r8DoQ0
Gardenscapes 1736,13,2019_06_20,0,0,대아르신,0,https://www.youtube.com/watch?v=9-uqarT9z5k
🌵[퍼즐] 꿈의 정원 Gardenscapes [level 1391-1400],227,2019_08_03,2,0,zamuzzang,365,https://www.youtube.com/watch?v=5oTaLjtHrXM
여자친구 은하의🌌짜장라면 레시피 &🎮꿈의 정원 I 은하의 #개인플레이 인터뷰 I Google Play,"108,630",2019_08_09,10000,123,Google Play Korea,90200,https://www.youtube.com/watch?v=JFcu1_ks36A
Gardenscapes 1790,75,2019_08_20,0,0,대아르신,0,https://www.youtube.com/watch?v=-MIk6Knb9CA
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1431-1440,9,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=7zmvlLm7LiI
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1471-1480,14,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=omyqt9eQeo8
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1421-1430,10,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=63POTy7VHJs
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1441-1450,12,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=QpdjOIO5vL0
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1481-1490,8,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=vNay41Qqut4
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1461-1470,7,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=xHL44HiY6dw
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1501-1510,20,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=yX9kWBeZy94
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1401-1410,24,2019_09_03,1,0,zamuzzang,365,https://www.youtube.com/watch?v=3aGYdipL4Fs
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1491-1500,15,2019_09_03,1,1,zamuzzang,365,https://www.youtube.com/watch?v=_83RQ3kheHk
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1571-1580,28,2019_09_06,2,0,zamuzzang,365,https://www.youtube.com/watch?v=onY5MIS-ml8
🍍꿈의 정원 Gardenscapes Walkthrough 레벨 1561-1570,14,2019_09_06,2,0,zamuzzang,365,https://www.youtube.com/watch?v=GQ0mi8VqKMs
