title,count,date,good_count,bad_count,youtuber,subscriber,url
"드디어 출시! 넥슨의 대작 ""마기아: 카르마 사가"" 이건 진짜 갓겜이라구요!!!!",382,2019_03_06,1,0,Tap TV,837,https://www.youtube.com/watch?v=6rJDP8blZck
Magia Charma Saga android game first look gameplay español,352,2019_03_06,4,1,perezzdb channel,20900,https://www.youtube.com/watch?v=01bdva5IchQ
"넥슨 신작 ""마기아 : 카르마 사가"" 영문 버전 실제 영상! 꼭 한번 플레이 해보시길 바랍니다! 꿀잼 보장!",525,2019_03_07,1,1,Tap TV,837,https://www.youtube.com/watch?v=_kKNo8Nq9p0
Betah Ngejomblo Gara-Gara Game Ini! Magia Charma Saga (Android/iOS),"7,707",2019_03_08,245,9,Kepo Gaming,225000,https://www.youtube.com/watch?v=hLK2L7xCpcU
넥슨 신작 마기아 : 카르마사가,125,2019_03_08,3,0,적백화,182,https://www.youtube.com/watch?v=1GeH_Ne6dyE
"넥슨, 신작 ‘마기아 : 카르마 사가’ 올해 상반기 출시",235,2019_03_11,4,1,뉴스웨이TV,1660,https://www.youtube.com/watch?v=Tgf5AwwWOwg
"크아부터 바람의나라, 마기아, 고질라까지. 넥슨 2019 상반기 라인업","2,343",2019_03_11,2,0,디스이즈게임 자료실,25400,https://www.youtube.com/watch?v=AxGJeYCgvGI
넥슨 신작 '마기아: 카르마 사가' 관련 최신 공식 영상 모음,"2,296",2019_03_11,9,4,디스이즈게임 자료실,25400,https://www.youtube.com/watch?v=lUscyXpUvFg
넥슨 스페셜데이 2019년 상반기 모바일게임 라인업 소개영상,"1,988",2019_03_11,10,1,겜조TV,3890,https://www.youtube.com/watch?v=V_LogP4yBzk
넥슨 신작 '마기아 카르마 사가' 인게임 그래픽 소개 영상,"1,722",2019_03_11,1,3,디스이즈게임 자료실,25400,https://www.youtube.com/watch?v=n5WbT14hWqs
Magia: Charma Saga Mobile Gameplay (마기아: 카르마 사가),66,2019_03_12,0,0,KK Mobile Gameplay,165,https://www.youtube.com/watch?v=cLWj30rmPgY
넥슨 RPG 신작 「마기아 : 카르마사가」 게임 미리보기 영상! ( Nexon New Mobile Game 「Magia : Charma Saga」 Preview ),510,2019_03_12,0,0,흐콰,122,https://www.youtube.com/watch?v=d_R6xw0tTLA
[게임메카] 마기아: 카르마 사가 프롤로그 영상,563,2019_03_12,4,0,게임메카 아카이브,1160,https://www.youtube.com/watch?v=hNO53QiS7dU
[마기아 : 카르마 사가] 프롤로그 영상,15,2019_03_13,2,0,리뷰맨,445,https://www.youtube.com/watch?v=sdOh5VXNUJ4
