title,count,date,good_count,bad_count,youtuber,subscriber,url
무한의 계단 오치의 MVP 타자 칭호 도전기 (자막 있음),"143,935",2019_02_23,899,62,오치,66000,https://www.youtube.com/watch?v=09Vr49G2H2I
"무한의 계단 실버 마스크 (3.1배속 편집, 자막 있음)","19,736",2019_02_28,227,13,오치,66000,https://www.youtube.com/watch?v=9oj3YDksWU4
무한의 계단 버튼 스킨 등장 (자막 있음),"18,812",2019_02_28,195,9,오치,66000,https://www.youtube.com/watch?v=-xPrDm0OaZo
무한의 계단 다이소 터치펜으로 1000계단 오르기 (자막 있음),"52,502",2019_03_02,557,34,오치,66000,https://www.youtube.com/watch?v=s7Uyf4w2SZ4
"무한의 계단 오치가 목소리 공개를 안 하는 이유 (1.5배속, 자막 있음)","52,550",2019_03_04,540,19,오치,66000,https://www.youtube.com/watch?v=G5FYOyPGKLY
"무한의 계단 일일 미션 (자막 있음, 배속 편집)","18,078",2019_03_06,220,10,오치,66000,https://www.youtube.com/watch?v=_E6---P-4GI
무한의 계단 달의 요정 (자막 있음),"14,849",2019_03_08,197,5,오치,66000,https://www.youtube.com/watch?v=q9cH7jhVKyA
무한의 계단 3000계단 오르기 교실 (자막 있음),"7,870",2019_03_09,204,5,오치,66000,https://www.youtube.com/watch?v=q88O1lcTtu8
무한의계단 칭호 긴 생머리,57,2019_03_09,2,0,톨토씨,29,https://www.youtube.com/watch?v=vSVCAVbhTvs
무한의 계단 얼리어답터 늑대소녀 (자막 있음),"13,498",2019_03_13,143,5,오치,66000,https://www.youtube.com/watch?v=v2eGkt7oyBs
[오치손] 무한의 계단 약지로 1000계단 오르기 (자막 있음),"14,568",2019_03_15,174,8,오치,66000,https://www.youtube.com/watch?v=uFpA2DXPW7Y
무한의 계단 맨인블랙 외계로봇 (자막 있음),"7,523",2019_03_18,114,5,오치,66000,https://www.youtube.com/watch?v=nHmw4OWOZcQ
무한의 계단 200타임모드 신기록!! (11초대!),"1,465",2019_03_20,17,1,CS Healer,2640,https://www.youtube.com/watch?v=pbjZkD0G0Go
무한의 계단 한정판 새학기 세트 (자막 있음),"103,485",2019_03_22,863,36,오치,66000,https://www.youtube.com/watch?v=3WaK1Um2VYk
무한의계단남학생/여학생/골드마스크,391,2019_03_22,0,0,라디현질러,11,https://www.youtube.com/watch?v=ow5EB5Jg1cE
무한의 계단 여고생 바니걸 (자막 있음),"13,513",2019_03_23,208,11,오치,66000,https://www.youtube.com/watch?v=FspORO9eLvE
무한의 계단 한정판 새학기 세트 보상 싹쓸이,"20,088",2019_03_23,273,12,오치,66000,https://www.youtube.com/watch?v=FNoF4-9p07o
무한의계단#1)-초보,202,2019_03_27,6,0,제왕YouTuber,0,https://www.youtube.com/watch?v=7dMvSqIYZg0
무한의 계단 골드 마스크 (자막 있음),"36,136",2019_03_29,308,15,오치,66000,https://www.youtube.com/watch?v=qvF31gHRhMQ
오치가 생각하는 무한의 계단 고수 점수 (자막 있음),"137,116",2019_03_29,1100,63,오치,66000,https://www.youtube.com/watch?v=7IiZhkMFiVo
미스 무한의 계단 선발 대회 예선 1조 (자막 있음),"10,612",2019_03_30,181,5,오치,66000,https://www.youtube.com/watch?v=gGvN64ZsZng
