title,count,date,good_count,bad_count,youtuber,subscriber,url
게임하다 정지를 당해서 펍지에 전화를 했습니다... : [배틀그라운드 깨박이],"898,068",2018_12_23,3800,528,깨박이,573000,https://www.youtube.com/watch?v=YqwEoTH1_94
[Touche_Tv] 투셰의 게임방송 PUBG 배틀그라운드 오늘이 이브 라고?,156,2018_12_23,6,0,투셰TV,0,https://www.youtube.com/watch?v=iVahO94gk54
[배틀그라운드] 이상형만났습니다... 설레네요.. |월메TV 랜듀오 (BattleGround),"192,285",2018_12_25,1400,45,월메 [WallMaeTV],61500,https://www.youtube.com/watch?v=eHeUVC4XeEk
[브롤스타즈] 3:3 대전부터 10인 배틀그라운드까지!!! 재미있는 싸움이에요!!! 간단 리뷰 & 플레이 영상,"660,784",2018_12_25,2200,352,돼지저금통,535000,https://www.youtube.com/watch?v=bzFIYXRQJfU
[SGETHER] 배틀그라운드  The Game SGETHER 스트리밍!,26,2018_12_25,0,0,TV유게임,1300,https://www.youtube.com/watch?v=e45Jc5WQszY
[배틀그라운드] 배그 속 M416의 원래 이름은 무엇일까?! / 5탄을 대표하는 총기 M416! / 배그 단편 | 롤큐 배그,"136,543",2018_12_26,2000,83,배틀그라운드 롤큐,235000,https://www.youtube.com/watch?v=2_lDPYy2WiU
배틀그라운드 현프로 1위 로자르가 핵으로 실시간정지 당한 영상.. PUBG Pro Rozar Solo Squad 19kills Chicken,"1,198,772",2018_12_26,4500,529,로자르TV,63600,https://www.youtube.com/watch?v=h5vvfz0qeY4
라이브] 배틀그라운드 (GTA 샷발로 가능할려나..?) 12/26(수) GAME 생방송,34,2018_12_26,0,0,시린,1540,https://www.youtube.com/watch?v=lrg20_VRT_k
[Touche_Tv] 투셰의 게임방송 PUBG 배틀그라운드 가즈아~!,71,2018_12_28,4,0,투셰TV,0,https://www.youtube.com/watch?v=Q7J__U4hKYw
절대 안죽는 '무적핵' 이게 게임이냐..?[배틀그라운드],"194,901",2018_12_29,1000,146,김승희 KIMSEUNGHEE,83400,https://www.youtube.com/watch?v=kgY49m_CDbQ
천상계 실전 꿀팁 10가지 100% '실력 상승' 개이득[배틀그라운드],"552,401",2018_12_31,9600,198,김승희 KIMSEUNGHEE,83400,https://www.youtube.com/watch?v=rLQWcgKWxN8
요즘 배틀그라운드가 어려워졌다? 근데 다른 게임 보단..🤔,"18,808",2018_12_31,384,9,하얀귤,129000,https://www.youtube.com/watch?v=cFgD8oA6WMY
실제 배틀그라운드 하고 왔습니다ㅋㅋㅋ 리얼 서바이벌!! (꿀잼ㅋㅋ) // 코너 Korner,"346,315",2018_12_31,3800,236,코너Korner,729000,https://www.youtube.com/watch?v=JKVtJGiwC8Y
[화재의게임] Snowball.io 눈싸움 배틀그라운드? - 플레이영상,16,2019_01_01,1,0,잼킴TV,1350,https://www.youtube.com/watch?v=FKKf4pbmER4
[배틀그라운드]보급이 게임에 미치는 영향.. 광대스쿼드 ㅋㅋ ┃ 전하 깨박이 박사장 대휘,"3,562",2019_01_02,59,2,전하TV,6420,https://www.youtube.com/watch?v=Qp1AtwKdn_8
"한성 게이밍 노트북 TFG176 게임 플레이 후기(배틀그라운드, 오버워치)","7,331",2019_01_04,47,2,김땍이의 놀이터,1980,https://www.youtube.com/watch?v=kknBhyNmDac
【게임 읽어주는 남자】 설원솔큐 집중분석! | 배틀그라운드 더헬 VOD,"8,432",2019_01_04,204,3,더헬TheHell,180000,https://www.youtube.com/watch?v=KX-8082KBro
라이브] 배틀그라운드 (샷발이 참 xx네) 01/06(일) GAME 생방송,13,2019_01_05,1,0,시린,1540,https://www.youtube.com/watch?v=jIS-FKB2Ego
【배틀그라운드】이제 핵쓰면 게임도중 추방당함 ㅋㅋㅋㅋㅋㅋㅋ,"1,256",2019_01_06,37,0,정수삼촌,9400,https://www.youtube.com/watch?v=W_J0aIDSydA
[배틀그라운드]게임하는 남자 꼬시는법 (남친 만들기) 솔로인 여자들 다봅니다/아가릿TV,360,2019_01_10,9,0,아가릿TV,2740,https://www.youtube.com/watch?v=Z0y-Bx1QwI0
조끼 없이 판단 하나로 게임을 뒤집었습니다 [배틀그라운드],"1,344",2019_01_10,22,0,코쟁이,5900,https://www.youtube.com/watch?v=REBbVip2FpM
배틀그라운드 및 고사양 게임 원컴 송출 설정! 배그 프레임도 30이상 올려보자!,620,2019_01_10,11,1,정우입니다,1070,https://www.youtube.com/watch?v=p9OLNXASH2g
"어려웠던 게임이였는데 핵쟁이까지?ㅣPUBG,배틀그라운드,라마파크ㅣ",305,2019_01_11,11,0,라마파크[LamaPark],1210,https://www.youtube.com/watch?v=Nqy0XR_Btr4
싸코 모바일게임 전용 게임패드 배틀그라운드(모바일),99,2019_01_12,0,0,nwt419,1,https://www.youtube.com/watch?v=DlfSLxB1nsc
배틀그라운드 이길 갓겜🥇,"44,494",2019_01_13,435,44,스팀러,24400,https://www.youtube.com/watch?v=op1DuItyGSo
웃음참기 챌린지 1탄 ㅋㅋㅋㅋㅋ - [배틀그라운드],"1,154,491",2019_01_13,27000,881,재민TV,268000,https://www.youtube.com/watch?v=7VVvKFfplfM
[배틀그라운드] 배그가 이렇게 무서운게임이었나.. 극한미션!,93,2019_01_13,8,0,고솜GOSOM,29,https://www.youtube.com/watch?v=6EAjFggme_M
"[배틀그라운드 모기tv] 이퀄라이저 주파수 설정 및 설명, 게임 플레이 설정 꿀팁 공유합니다","24,491",2019_01_14,141,4,모기TV,734,https://www.youtube.com/watch?v=nXTM7Gk1DiQ
#더헬! #100만원 #도전_미션_성공! -배틀그라운드 카카오게임TV,"2,438",2019_01_14,15,0,카카오게임TV,1140,https://www.youtube.com/watch?v=tnTUmFtbc2c
