title,count,date,good_count,bad_count,youtuber,subscriber,url
엑소스 히어로즈 - EXOS HEROES(엑소스 히어로즈) 와.... : 한시의 게임리뷰,172,2019_01_29,2,0,YouTube한시,119,https://www.youtube.com/watch?v=cr1HVz4yol0
라인게임즈 엑소스히어로즈 Android Emulator PEAKAPPPLAYER Mobile world enjoying on your PC!,22,2019_01_29,0,0,PEAK,0,https://www.youtube.com/watch?v=fepM0B6s2Mo
Exos Heroes First Gameplay !!!! Part 2!!! Best anime Game Cbt !!!!!!,50,2019_01_29,0,0,Ios_android Gaming,262,https://www.youtube.com/watch?v=j8sw1y7Nl6k
해보고 한다 시리즈 엑소스 히어로즈 편,93,2019_01_29,2,0,즈튜브,77,https://www.youtube.com/watch?v=gLcGibgyVnw
Exos Heroes / 엑소스 히어로즈 (KR) (Gameplay) - LINE Games (CBT Testing) - New Strategy Android 2019 -,60,2019_01_29,0,0,Cat Rock,84,https://www.youtube.com/watch?v=BNAhOQuaR94
Exos Heroes First Gameplay !!!! Part 1!!!! Best anime Game Cbt !!!!!!,93,2019_01_29,1,0,Ios_android Gaming,262,https://www.youtube.com/watch?v=wTKCfNvrIg4
Exos Heroes [엑소스 히어로즈] CBT Gameplay,83,2019_01_30,2,0,OXSI,166,https://www.youtube.com/watch?v=OK-b4bfM6Nw
엑소스 히어로즈 (Exos Heroes) 간단플레이,44,2019_01_30,0,0,Gamer Meoru,301,https://www.youtube.com/watch?v=3bTXb_ooW-E
Exciter source Heroes Android Emulator PEAK APPPLAYER Mobile world enjoying on your PC!,7,2019_01_30,0,0,PEAK,0,https://www.youtube.com/watch?v=3BcI-48bs64
엑소스 히어로즈 Exos Heroes,42,2019_02_01,0,0,VJ알로힘,1,https://www.youtube.com/watch?v=eIVxQTL9DbQ
Exos Heroes Trailer (android/ios),161,2019_08_14,1,0,Lengame Gameplay,32,https://www.youtube.com/watch?v=bhKwBwAn1PQ
EXOS HEROES - GAMEPLAY#1 #anime,45,2019_08_28,13,0,s K s,85,https://www.youtube.com/watch?v=h76SA4Eu1Ko
엑소스 히어로즈 (Exos Heroes) [CBT] - Premium Recruit,89,2019_08_29,2,1,Globalizer AGAIN,140,https://www.youtube.com/watch?v=Xig6ncHNBgc
EXOS HEROES Gameplay Android (2nd CBT) by Line Games,"2,247",2019_08_29,50,2,Mike Fringe,37400,https://www.youtube.com/watch?v=oJsqFBawPO8
엑소스히어로즈 (Exos heroes) 운명 (5성)캐릭 스킬 및 궁극기 영상 / 좋아요!! 구독 부탁드립니다~,"29,801",2019_08_29,72,7,라임하우스,38,https://www.youtube.com/watch?v=R3eZqEkv6IQ
Exos Heroes Android Gameplay || HD RPG Game,68,2019_08_29,0,1,GamoFlage Hub of the Gameplay,327,https://www.youtube.com/watch?v=4Jqsc2NebL8
[똥이] 급하게 해본 엑소스히어로즈 2차 CBT 선별 30뽑기~~!~,"1,867",2019_08_29,3,1,똥이,48,https://www.youtube.com/watch?v=vd7JCt5uDjU
🕸️Asa試玩🕸️「Exos Heroes(엑소스 히어로즈)」角色/收集/RPG！Android,78,2019_08_29,0,0,AsaM,0,https://www.youtube.com/watch?v=PtXN9uO8FLU
"Exos Heroes: 3,4,5 Star Characters Moves and Specials","25,583",2019_08_29,379,27,Scion Storm,39500,https://www.youtube.com/watch?v=F2LScA4lw9Q
Exos Heroes: First Impressions/Should You Play It?/Demo CBT/30 Practice Rerolls,"26,424",2019_08_29,356,31,Scion Storm,39500,https://www.youtube.com/watch?v=ZBgfo0MgLtc
[똥이] 에픽세븐/FGO일그오/엑소스히어로즈2차 CBT 날것그대로 풀영상,41,2019_08_29,0,0,똥이,48,https://www.youtube.com/watch?v=1WNf_eqnoYE
엑소스히어로즈 2차CBT] 2일차! 좀 더 많은 콘텐츠 같이 살펴 봅시다!,"1,664",2019_08_29,11,1,윤쿵쿵TV,6400,https://www.youtube.com/watch?v=2PNbTx6v068
엑소스히어로즈(Exos Heroes) 플레이 영상 (2차 CBT),"1,713",2019_08_30,2,1,겜조TV,3890,https://www.youtube.com/watch?v=RyfZoKcCxZo
