title,count,date,good_count,bad_count,youtuber,subscriber,url
"동방 저승과 서양 지옥의 대결, 차원이 다른 모바일 턴제 RPG ""염왕이 뿔났다""!","574,675",2019_10_06,128,24,염왕이 뿔났다,468,https://www.youtube.com/watch?v=f_Tz2jWpe_A
"역대급 재미 보장 모험 RPG, 동서양의 신과 악마의 대난투!","6,870",2019_10_09,20,2,염왕이 뿔났다,468,https://www.youtube.com/watch?v=Skp00hoEWx4
[다운링크]염왕이 뿔났다(閻王不高興/THE FURIOUS YAMA)플레이/국내 사전예약 중/수집형RPG/모바일게임(MobileGame),"3,472",2019_10_14,10,0,게임똥 보고서,1520,https://www.youtube.com/watch?v=4A1eqAXeV84
"""염왕이 뿔났다"" 맹파 필살기: 피안화 바다","4,590",2019_10_15,29,2,염왕이 뿔났다,468,https://www.youtube.com/watch?v=f98vSEM3MFo
"“염왕이 뿔났다"" 몰렉 필살기: 악마의 불","12,808",2019_10_15,59,5,염왕이 뿔났다,468,https://www.youtube.com/watch?v=FRuvCfhoMLo
[염왕이 뿔났다] 만의 독특하면서도 중요한 전투 내의 특수 요소!!,"3,030",2019_10_16,6,3,염왕이 뿔났다,468,https://www.youtube.com/watch?v=Eqn6ky_xsAs
[염왕이 뿔났다] XD 글로벌의 오늘도 우라라 다음 신작!! 게임 모바일게임 리뷰 엉아,"8,484",2019_10_20,118,7,엉아 TV,15500,https://www.youtube.com/watch?v=_Y5LUunKKcY
모바일게임 염왕이 뿔났다 원작게임인 염왕부고흥 (閻王不高興 / The Furious Yama) 플레이영상 by. 민수르,944,2019_10_21,3,1,Play민수르,103,https://www.youtube.com/watch?v=F8Q-_ZV2ZvE
"“염왕이 뿔났다"" 나타 필살기: 구룡신화조","3,917",2019_10_21,16,0,염왕이 뿔났다,468,https://www.youtube.com/watch?v=gmjMaDRWMnw
[염왕이뿔났다] CBT 후기 국내 게임사분들 반성 좀 합시다. 못하는거 아니자나요? 안할 뿐이지 지금 사전 등록 사전 예약 중!,"4,111",2019_10_23,23,6,겜뚜껑,1560,https://www.youtube.com/watch?v=dp4yjBm-wVE
[염왕이뿔났다] 이러니 염왕이 뿔이났지!! ㅋㅋ 모바일게임 리뷰 엉아,"33,806",2019_10_23,224,42,엉아 TV,15500,https://www.youtube.com/watch?v=bA_bgUW1A0A
염왕이뿔났다 cbt 초반플레이(스토리),"3,847",2019_10_23,19,2,님얼굴비매너,12,https://www.youtube.com/watch?v=5uy9p7atTCM
시작!!!!염왕이 뿔났다 CBT,354,2019_10_24,0,0,우킹,2,https://www.youtube.com/watch?v=zacEcyIEjMQ
[閻王不高興] 웹툰 원작 IP를 활용해서 만든 명계 세계관 중국산 모바일 신작 수집형 2D 애니메이션 게임 염왕이 뿔났다 CBT 플레이 해보는 영상. (XD글로벌 신작),375,2019_10_25,3,0,밀크박스,59,https://www.youtube.com/watch?v=ewXF45w_bW4
"""염왕이 뿔났다""를 함ㅎ 설명칸 꼭보기^ ^",247,2019_10_26,2,1,악라,32,https://www.youtube.com/watch?v=HtO3XW1byAU
"울먹좌의 에픽세븐 아레나마감(3회차)-실패, 염왕이 뿔났다 하러감",405,2019_10_27,1,2,아키하당주-AKIHAdangju,89,https://www.youtube.com/watch?v=5Al1rJ6x2BI
[염왕이 뿔났다] 범무구 SSR중 사기캐..?,268,2019_10_27,0,0,Kang M,9,https://www.youtube.com/watch?v=cg8zvFH8PGo
"""염왕이 뿔났다"" 타나토스 필살기: 영혼의 만찬","3,405",2019_10_28,16,1,염왕이 뿔났다,468,https://www.youtube.com/watch?v=kvrh3J8MtAg
중국의 에픽세븐? 염왕이 뿔났다,"8,964",2019_10_29,30,6,라프TV,6300,https://www.youtube.com/watch?v=Fq7EmUvwLW4
"""염왕이 뿔났다"" 드라큘라 필살기: 피의 포옹","3,842",2019_10_29,19,0,염왕이 뿔났다,468,https://www.youtube.com/watch?v=GuSbsIU9roM
염왕이 뿔났다영상,340,2019_10_30,0,1,겜북이,2,https://www.youtube.com/watch?v=qt83eJqOCP4
2부 염왕이 뿔났다!,226,2019_11_04,1,3,악라,32,https://www.youtube.com/watch?v=7Qpv6IsiomE
염왕이 뿔났다 Hack Android iOS,47,2019_11_15,1,0,ninmija,0,https://www.youtube.com/watch?v=RZGrIdEvnrE
[2019 지스타] XDG 코스프레 무대행사,877,2019_11_17,10,0,이웃집 대학원생,15,https://www.youtube.com/watch?v=8OgKVpoZKTc
[지스타2019] 엑스디글로벌(X.D Global) 신작 '염왕이 뿔났다' 시연 영상,157,2019_11_18,2,0,겜조TV,3900,https://www.youtube.com/watch?v=QntxyTAAI3k
웹툰원작? 망겜아냐? 염왕이 뿔났다는 과연 어떨까?,"3,402",2019_11_18,21,2,야자냐,85,https://www.youtube.com/watch?v=iCLYLPHxXsw
신작 모바일게임 염왕이 뿔났다 스트리밍!,"2,103",2019_11_19,21,3,온옹,1330,https://www.youtube.com/watch?v=r8oSAw1pGgo
모바일 게임 염왕이 뿔났다.,75,2019_11_19,2,0,수행사제이선생,683,https://www.youtube.com/watch?v=NZsai1ExNYM
"오늘 출시한 중화풍 에픽세븐 '염왕이 뿔났다' 개발사:Lingtu 배급사:소녀전선,벽람향로,붕괴3,제5인격의 XD글로벌",144,2019_11_19,0,0,유희적좀비,40,https://www.youtube.com/watch?v=O2ZVgT9WNX0
[염왕이 뿔났다] 게임 실행부터 튜토리얼 끝까지,24,2019_11_19,0,0,Cloto K,41,https://www.youtube.com/watch?v=CUTn5MKTkrc
『신작 모바일게임』염왕이 뿔났다 『튜토+챕터 1까지』,"1,502",2019_11_19,12,0,지옥의문,522,https://www.youtube.com/watch?v=6hawDhyBhZA
『신작 모바일게임』염왕이 뿔났다 『챕터2』,966,2019_11_19,5,0,지옥의문,522,https://www.youtube.com/watch?v=Ly7ZCoGVQPQ
염왕이 뿔났다 초반 2,3,2019_11_19,0,0,만수랑,1,https://www.youtube.com/watch?v=eiuslNfBjJE
『신작 모바일게임』염왕이 뿔났다 『챕터3』,763,2019_11_19,5,0,지옥의문,522,https://www.youtube.com/watch?v=9gT0pEA-bhI
염왕이 뿔났다 초반 1,9,2019_11_19,0,0,만수랑,1,https://www.youtube.com/watch?v=CiI_lXA89pw
염왕이 뿔났다 - 모바일 게임 (초반 플레이 인게임),13,2019_11_19,0,0,무풍,103,https://www.youtube.com/watch?v=EI8pIEHUQUs
염왕이 뿔났다 간단리뷰!,"3,072",2019_11_19,9,3,온옹,1330,https://www.youtube.com/watch?v=2e8_ms_7QJk
염왕이 뿔났다 초반 3,8,2019_11_19,0,0,만수랑,1,https://www.youtube.com/watch?v=ZZwNkwmLOJE
[염왕이 뿔났다] 애니메이션이 미쳤습니다...,823,2019_11_19,7,1,이애사카,0,https://www.youtube.com/watch?v=A536NRxTs5M
『염왕이 뿔났다. BGM』,58,2019_11_19,0,0,괴짜C,0,https://www.youtube.com/watch?v=Re64F6v7k-8
염왕이 뿔났다~! 어떤게임? 리세는?,"1,171",2019_11_19,2,2,하늘두덕,13,https://www.youtube.com/watch?v=KGCWPBYZC2s
The Furious Yama - 염왕이 뿔났다 (KR) [ Android APK ] Gameplay,197,2019_11_19,4,0,Free2PlayMMOs Gaming Channel,9720,https://www.youtube.com/watch?v=4ISINYBeSKk
염왕이뿔났다 모바일RPG 초반플레이!!,100,2019_11_20,1,0,리얼파일,1980,https://www.youtube.com/watch?v=9OdGio_U60U
[린린닷컴님 Live]염왕이 뿔났다2019.11.20],21,2019_11_20,2,0,린린닷컴TV,248,https://www.youtube.com/watch?v=lmOLe3KxYec
염왕이 뿔났다 - 1챕터 스테이지 전투,14,2019_11_20,0,0,무편집게임플레이,1050,https://www.youtube.com/watch?v=y-WxGtLUXeQ
염왕이 뿔났다?! 웹툰 기반 턴제 RPG게임 초반 튜토리얼 플레이 영상,110,2019_11_20,19,0,틈천tv,1120,https://www.youtube.com/watch?v=_BGXCwBuUHU
염왕이뿔났다 간단 리뷰 + 플레이 영상,424,2019_11_20,3,0,겜조TV,3900,https://www.youtube.com/watch?v=rKqF63fmfyY
염왕이 뿔났다 - 초반 스토리ㆍ전투,244,2019_11_20,1,0,무편집게임플레이,1050,https://www.youtube.com/watch?v=o6WVFs1NPoE
'염왕이 뿔났다' 웹툰 원작 모바일게임을 해봄 | 겜생(GAMELIFE),534,2019_11_20,4,0,겜생,0,https://www.youtube.com/watch?v=817m7bEu3Uw
염왕이 뿔났다 - 영웅 정보ㆍ고급 소환 7회,633,2019_11_20,1,1,무편집게임플레이,1050,https://www.youtube.com/watch?v=WtMg2TRMc8M
염왕이 뿔났다 - 신작 나와서 플레이 중...,24,2019_11_20,0,0,심심할때뽑기 돌리는 찬호,20,https://www.youtube.com/watch?v=O1Ci_dJwAW0
염왕이 뿔났다/악신,10,2019_11_20,1,0,악신,249,https://www.youtube.com/watch?v=5PdW94bCLGM
모바일게임 신작) 염왕이뿔났다 초반17분 플레이영상,7,2019_11_20,0,0,솜카롱,0,https://www.youtube.com/watch?v=YIur_uOYj6U
『신작 모바일게임』염왕이 뿔났다 『챕터5』,"1,403",2019_11_20,14,0,지옥의문,522,https://www.youtube.com/watch?v=R8Rw2TDC-08
[지스타 2019] 염왕이 뿔났다 특별 공개 애니메이션 직촬 영상!,90,2019_11_20,2,0,제이팍,82,https://www.youtube.com/watch?v=78S9A6rrQtE
염왕이 뿔났다 - 1챕터 스토리,291,2019_11_20,3,0,무편집게임플레이,1050,https://www.youtube.com/watch?v=JDMRNqN-aLU
