title,count,date,good_count,bad_count,youtuber,subscriber,url
워너비챌린지 초반 플레이 영상,854,2019_10_21,7,0,겜조TV,3890,https://www.youtube.com/watch?v=dFlS1fmsovQ
워너비챌린지CBT! 여러분 저랑 같이해요 ㅎㅎ,163,2019_10_21,3,0,스파크TV,124,https://www.youtube.com/watch?v=aoQ7dN_2uhU
신작게임 워너비 챌린지 CBT 스트리밍,987,2019_10_22,28,2,온옹,1330,https://www.youtube.com/watch?v=oW5VfPZDtxY
'워너비챌린지' #01 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),405,2019_11_26,8,0,겜생,0,https://www.youtube.com/watch?v=BiO7yGQNfT8
국내 여성향게임! 워너비챌린지 오늘 모바일게임출시!,66,2019_11_27,0,0,게임모두,0,https://www.youtube.com/watch?v=BP5UhdevYtQ
워너비챌린지 간단 리뷰 + 게임 플레이,663,2019_11_27,15,0,겜조TV,3890,https://www.youtube.com/watch?v=8N1Vtbmas8U
워너비 챌린지 - 챕터1(상)(Wannabe Challenge)~Kai TV(Dub),"4,788",2019_11_28,0,0,카이Voice,0,https://www.youtube.com/watch?v=WWN8j12o2v0
워너비 챌린지 - 챕터1(하)(Wannabe Challenge)~Kai TV(Dub),"3,113",2019_11_28,0,0,카이Voice,0,https://www.youtube.com/watch?v=KahYNw8I9Wo
[MV] 오마이걸 (OH MY GIRL) - 기억해 [워너비챌린지 OST Part.1 (Wannabe Challenge OST Part.1)],"123,067",2019_11_28,7700,31,VLENDING 블렌딩,65800,https://www.youtube.com/watch?v=-joCEeohVOc
[워너비챌린지][MV] WannabeChallenge '기억해' OST 뮤직비디오,"29,907",2019_11_28,1500,4,Com2uS Corp,29800,https://www.youtube.com/watch?v=TcLDF2VbUV4
OH MY GIRL (오마이걸) – 기억해 / Wannabe Challenge (워너비챌린지) OST Part 1,"15,287",2019_11_28,461,1,JULY EGG,0,https://www.youtube.com/watch?v=BgL41v_b1jE
'워너비챌린지' #02 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),273,2019_11_28,4,0,겜생,0,https://www.youtube.com/watch?v=jZyW8nA6FFU
OH MY GIRL (오마이걸) - 기억해 (Remember) (워너비챌린지 Wannabe Challenge OST Part 1),313,2019_11_28,14,0,재이,114,https://www.youtube.com/watch?v=OF3FhjSQYss
[워너비챌린지][원곡 Full ver.] WannabeChallenge '기억해' Full 음원 영상,"1,140",2019_11_29,78,0,Com2uS Corp,29800,https://www.youtube.com/watch?v=h0ar1m80W10
'워너비챌린지' #03 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),365,2019_11_30,5,1,겜생,0,https://www.youtube.com/watch?v=F6xmRdi58iA
[워너비챌린지] 까칠한 여자가 잘생긴 남자 만나면 생기는 일ㅋㅋㅋ - 아매킹,100,2019_11_30,3,0,아매킹TV,466,https://www.youtube.com/watch?v=bU6VpHszmqk
[워너비 챌린지]신규 모바일 게임❤,13,2019_12_01,0,0,로뎀나무TV,27,https://www.youtube.com/watch?v=6dURyb-O6zw
[워너비 챌린지]❤좋다 좋다❤신규 모바일 게임❤,26,2019_12_01,0,0,로뎀나무TV,27,https://www.youtube.com/watch?v=hjfUbY4wyfU
'워너비챌린지' #04 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),278,2019_12_02,3,0,겜생,0,https://www.youtube.com/watch?v=CBraRm6O1iQ
[워너비 챌린지]상콤하게💋꿀보이스💋연애게임,26,2019_12_03,0,0,로뎀나무TV,27,https://www.youtube.com/watch?v=4TKlwWyp9Nc
'워너비챌린지' #05 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),197,2019_12_04,3,0,겜생,0,https://www.youtube.com/watch?v=08hiqnGlWyY
[워너비 챌린지]심쿵샷💋달달하게 다가오는💋찡끗🌹,57,2019_12_05,0,0,로뎀나무TV,27,https://www.youtube.com/watch?v=e7qAq2j02jA
'워너비챌린지' #06 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),155,2019_12_06,3,2,겜생,0,https://www.youtube.com/watch?v=Urwx416RUCg
'워너비챌린지' #07 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),99,2019_12_07,3,0,겜생,0,https://www.youtube.com/watch?v=2LQjRWqTHiI
[워너비 챌린지]❤오늘도 달달한 목소리❤연애중💋🌹,61,2019_12_07,0,0,로뎀나무TV,27,https://www.youtube.com/watch?v=4jJX9B4NbJc
'워너비챌린지' #08 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),84,2019_12_09,2,0,겜생,0,https://www.youtube.com/watch?v=GTCm-dD1G9A
[KY 금영노래방] 기억해 (게임'워너비챌린지') - 오마이걸 (KY.21305),41,2019_12_12,1,1,금영 노래방 공식 유튜브 채널,34900,https://www.youtube.com/watch?v=5SF8qwoDp5c
[연애시뮬] 워너비챌린지 2-1. 김태희와의 첫 갈등,20,2019_12_12,0,0,펭귄TV #게임 #연애,0,https://www.youtube.com/watch?v=o2jZeM7KiUk
