title,count,date,good_count,bad_count,youtuber,subscriber,url
닥터메가소녀진화!,1,2019_04_04,1,0,돌맹이,0,https://www.youtube.com/watch?v=3jJIWaalbPc
고양이 소녀의 라이벌 등장?! 3단진화 했더니 누구냐 넌... [냥코대전쟁],"109,658",2019_04_17,734,32,동동 TV,235000,https://www.youtube.com/watch?v=AKusaNsEV8Q
(Fan-made) 울트라 슈퍼 레어 3단진화 - 스페이스 메카소녀 진 [냥코 대전쟁],71,2019_07_30,3,1,동설,488,https://www.youtube.com/watch?v=ru2RYxPWVMw
[진화소녀] 진화소녀 Official Teaser (90 Sec.),"1,960",2019_10_20,10,2,THUMBAGE,257,https://www.youtube.com/watch?v=CQL2HPS4RvM
[진화소녀] 역시!! 미소녀는 실망시키지 않는군!! ㅋㅋ 모바일게임리뷰 엉아,"28,126",2019_10_22,215,25,엉아 TV,15400,https://www.youtube.com/watch?v=0u9ZmbW35Dg
진화소녀(CBT) 초반 플레이 영상,"5,568",2019_10_22,13,0,겜조TV,3890,https://www.youtube.com/watch?v=ak9nlDNKyXs
Evolution Girl 진화 소녀 Gameplay (Android),434,2019_10_23,7,3,RyoXIII Gaming,3790,https://www.youtube.com/watch?v=XvW7l8-kjXA
[진화소녀]3-2 보스:아직 오려면 3분은 있어야../ [보스 스테이지로 순간이동] 아이템 확인 /보스:?,66,2019_10_23,1,0,T Werewolf,0,https://www.youtube.com/watch?v=FudtsIfBAWU
[진화소녀]3-1 이 카멜레온 보스는 피가 깎이면 자기 부하를 먹어요,66,2019_10_23,1,0,T Werewolf,0,https://www.youtube.com/watch?v=h-gS9D_BF_o
[진화소녀]2-5,659,2019_10_23,2,0,T Werewolf,0,https://www.youtube.com/watch?v=YaWWBNIHXSM
새로운 미소녀 수집형 모바일 (진화소녀 CBT),"2,717",2019_10_24,11,0,라프TV,6300,https://www.youtube.com/watch?v=LcY3EYmNxMY
진화소녀 CBT플레이/미소녀 수집RPG/퍼즐형 전투/모바일게임(MobileGame),"1,166",2019_10_24,8,0,게임똥 보고서,1520,https://www.youtube.com/watch?v=JikpHWaKSTQ
(진화소녀) 역사속 위인들이 미소녀로 부활! 캐릭터 소개/스킬 영상,"2,131",2019_10_24,22,3,노병Tv,0,https://www.youtube.com/watch?v=eaTXBg_mwtI
신작모바일게임) 진화소녀 한번 해봅시다.,768,2019_10_24,5,1,갓카우TV,117,https://www.youtube.com/watch?v=BFpRrjJ7iac
역사속 위인들을 모에화 시킨 미소녀들이 좀비 아포칼립스 세계에서 세상을 구원하는 신작 모바일 RPG 게임 '진화소녀' 플레이. (CBT(클베)입니다. 11월 오픈 예정 신작 게임),564,2019_10_25,3,1,밀크박스,58,https://www.youtube.com/watch?v=c4ZpMddP6UQ
Akhirnya rilis juga - Evolution Girl[진화소녀],37,2019_10_26,0,0,Elsea,12,https://www.youtube.com/watch?v=0hpuEW7LVW4
진화소녀,155,2019_10_28,0,1,이밴을하자,47,https://www.youtube.com/watch?v=t9FbC24pPrU
[진화소녀] 진화소녀 Official Trailer (30 Sec.),"86,610",2019_10_29,2,1,THUMBAGE,257,https://www.youtube.com/watch?v=IjGgfrF_Idw
[진화소녀] 진화소녀 Official Trailer (90 Sec.),"204,215",2019_10_29,113,16,THUMBAGE,257,https://www.youtube.com/watch?v=5J8JJimAQPg
모바일게임기대작으로 손꼽히는 최고의 미소녀RPG 진화소녀 지금 사전예약중!,99,2019_11_03,0,0,담body밤,0,https://www.youtube.com/watch?v=JHSyWX4KleA
미소녀RPG 진화소녀 공식 PV 영상 등장! 모바일게임기대작!,61,2019_11_05,0,0,KoriKono,1,https://www.youtube.com/watch?v=tzYPAMeLazQ
미소녀RPG 중 역대 모바일게임기대작으로 손꼽히는 진화소녀! 공식PV영상도 보자~,37,2019_11_07,0,0,닥터수라만,2,https://www.youtube.com/watch?v=xKCvjBEYCZ0
[진화소녀] 진화소녀 Illustration Making Film Rojo Ver.,998,2019_11_10,13,0,THUMBAGE,257,https://www.youtube.com/watch?v=n-UH4z3ZgZo
[진화소녀] 진화소녀 Illustration Making Film Olygod Ver.,"2,670",2019_11_10,31,0,THUMBAGE,257,https://www.youtube.com/watch?v=iO-VZDopJAs
[진화소녀] 진화소녀 Illustration Making Film PiKA Ver.,"2,700",2019_11_10,44,0,THUMBAGE,257,https://www.youtube.com/watch?v=L51t5XKzA_Q
[진화소녀] 진화소녀 Illustration Making Film Gomzi Ver.,"3,037",2019_11_10,33,0,THUMBAGE,257,https://www.youtube.com/watch?v=uzVtAkqdX2E
[진화소녀] 진화소녀 OST Making Film Fin Ver.,"278,613",2019_11_10,350,5,THUMBAGE,257,https://www.youtube.com/watch?v=-xbocq-O5ZE
[진화소녀] 진화소녀 Illustration Making Film HxxG Ver.,"1,593",2019_11_10,47,0,THUMBAGE,257,https://www.youtube.com/watch?v=58GkHlCYNyQ
