title,count,date,good_count,bad_count,youtuber,subscriber,url
콜오브듀티 모바일 출시일? 최저사양? Q&A로 대답 해드립니다,"8,854",2019_09_01,91,3,쎄이티비[SsayTV] 게임채널,1730,https://www.youtube.com/watch?v=iY5URGoKADs
LG V50 ThinQ로 「콜 오브 듀티」모바일 해봤습니다ㅋㅋㅋ[넬킨],812,2019_09_01,5,2,넬킨,88,https://www.youtube.com/watch?v=NtLiovEhZV0
콜오브듀티®: 모바일 한글판 신규 트레일러 Full ver,"1,455,423",2019_09_05,921,281,콜 오브 듀티: 모바일,2610,https://www.youtube.com/watch?v=4vcRP57OqMQ
브롤스타즈 바운티의 실사판? 콜오브듀티 모바일! [진우링][콜 오브 듀티],129,2019_09_07,4,2,진우링,37,https://www.youtube.com/watch?v=n1-7geMH-S0
콜오브듀티®: 모바일 한글판 신규 영상 공개,"18,158",2019_09_08,156,7,콜 오브 듀티: 모바일,2610,https://www.youtube.com/watch?v=WmzAabKkw2Q
콜오브듀티 모바일 사전예약 소식 - 모바일게임 / 슈팅게임 [사키엘TV],740,2019_09_09,7,2,사키엘 TV,44600,https://www.youtube.com/watch?v=jIhrucRjL9A
콜오브듀티 모바일 | 아이패드로 하는 풀옵션 배틀로얄 모드 곧 한국도 출시 된다던데?,"2,571",2019_09_13,21,1,ChabunDY 이동연,0,https://www.youtube.com/watch?v=N-tmQSW-MCw
콜오브 듀티 모바일 | 스나와 라플로 50킬을 먼저해라!! 멀티플레이 모드,663,2019_09_16,7,0,ChabunDY 이동연,0,https://www.youtube.com/watch?v=tix3FkITn5M
콜오브듀티 모바일 베타테스트로 남들보다 먼저 플레이하는 방법 (안드로이드 ver),"5,814",2019_09_16,46,3,쎄이티비[SsayTV] 게임채널,1730,https://www.youtube.com/watch?v=q14x2vKsoQQ
[콜 오브 듀티 모바일] 우리가 하던 pc 콘솔 게임 콜오브듀티가 모바일로 나온다고? 모바일에서 제대로 플레이 될까? 지금 사전 등록(예약)중!,136,2019_09_17,6,0,겜뚜껑,1560,https://www.youtube.com/watch?v=wJACrXSVBk8
콜오브듀티®: 모바일 한글판 고퀄리티 영상 공개,"8,132",2019_09_18,87,1,콜 오브 듀티: 모바일,2610,https://www.youtube.com/watch?v=cykMSDAPcws
콜오브 듀티 모바일 10월 2일 출시예정?? 사전예약도 합시다!!,"1,226",2019_09_18,12,0,ChabunDY 이동연,0,https://www.youtube.com/watch?v=Jts6FPDYfRk
콜 오브 듀티 모바일 3인칭,202,2019_09_25,7,1,Rainy luck무뚝뚝한 정민,21,https://www.youtube.com/watch?v=GerdoWhM78o
[콜오브듀티 모바일] CBT 배틀패스 최초 237 레벨 달성! + AK - 47 역대급 스킨!(레드 액션),"1,180",2019_09_25,12,6,최성철[모바일 게임 크리에이터],0,https://www.youtube.com/watch?v=u982wlNVb1U
모바일FPS게임 콜오브듀티 모바일(CBT) 해봤습니다./콜옵모바일『임달푸』,"1,088",2019_09_25,17,2,-임달푸,7770,https://www.youtube.com/watch?v=v2RyiYSWegE
[콜오브듀티 : 모바일] 《CBT 상자깡+로얄패스 구매》+ 짧은 끌어치기 영상,"1,200",2019_09_25,13,7,최성철[모바일 게임 크리에이터],0,https://www.youtube.com/watch?v=OGN9zJeV0aw
콜오브듀티 모바일 | 점령을 해야만 킬 카운트가 증가한다?? 개꿀잼 멀티플레이 모드 '하드 포인트',492,2019_09_26,10,0,ChabunDY 이동연,0,https://www.youtube.com/watch?v=s5X0U8jz9e0
콜 오브 듀티 모바일 리뷰 클로즈 베타 인게임 영상 공개,475,2019_09_26,7,1,대써남후후,1780,https://www.youtube.com/watch?v=Q-PMIcUFijo
콜오브듀티 모바일 특별 보상 받는법! 사전예약 100만 돌파! 신작 흥행예감!,430,2019_09_26,2,0,잼따,3160,https://www.youtube.com/watch?v=-5Vs1VpE7lQ
[콜오브듀티 모바일] CBT 체험기! AK-47 레드 액션 플레이영상!! 스킨 간지 좔좔..,"1,613",2019_09_26,11,9,최성철[모바일 게임 크리에이터],0,https://www.youtube.com/watch?v=1a-JF_Bk6GI
콜오브듀티®: 모바일 시네마틱 영상 공개,"22,789",2019_09_26,130,2,콜 오브 듀티: 모바일,2610,https://www.youtube.com/watch?v=zhZLfz3QGq0
[콜 오브 듀티:모바일] CBT 체험! 감도맞추는중..,167,2019_09_26,0,0,BZone Reas,15,https://www.youtube.com/watch?v=4ZuCi5vlTKY
