title,count,date,good_count,bad_count,youtuber,subscriber,url
실력 죽지 않았다... [클래시로얄] 허팝게임,"76,378",2019_01_25,889,83,HeopopGames 허팝게임,362000,https://www.youtube.com/watch?v=g5__L8vhWcI
[클래시로얄] 4300점 쉽게 가는덱,686,2019_01_26,6,0,Paper Story,14,https://www.youtube.com/watch?v=4-WEyNzMU_0
신규카드 돌격 해골병에 대해 알아보자! (업데이트 미리보기) [클래시로얄-Clash Royale] [June],"219,485",2019_01_27,2100,82,JUNE,471000,https://www.youtube.com/watch?v=_gzdDG0T1qs
클래시로얄과 비슷한 지도안코 비슷한 게임,39,2019_01_28,0,1,김미영,1,https://www.youtube.com/watch?v=wRsJoyPEO7E
드디어 클래시로얄 덱 올 만렙 찍었습니다... 어디까지 올라갈 수 있을까?｜클래시로얄-Clash Royale｜DailyBean,571,2019_01_28,8,5,DailyBean 데일리빈,1690,https://www.youtube.com/watch?v=_NRYBwsUNfg
이러다 게임 망합니다 (게임 튕기게 만드는 핵 만남) [클래시로얄],"11,223",2019_02_01,153,12,헤마군CR,32300,https://www.youtube.com/watch?v=hDgUS8Jpuj4
삼총사가 10엘릭서라고? 밸패 리뷰 & 분석 (밸런스 패치 업데이트) [클래시로얄-Clash Royale] [June],"172,926",2019_02_02,2100,79,JUNE,471000,https://www.youtube.com/watch?v=JCK4grEQkm4
시즌 마지막은 발키리 무빙덱과 함께 클래시로얄 clash royale valkyrie graveyard deck play,"3,929",2019_02_03,57,1,워리어 오락실,6710,https://www.youtube.com/watch?v=v-zQMGqqQ7A
클래시로얄 최신 2019 버그판 링크 (버전2.6) 설명란,"95,451",2019_02_04,307,274,현수,274,https://www.youtube.com/watch?v=PugMquKZEfU
삼총사는 사실 11엘릭서다! 진실을 알려드립니다. [클래시로얄-Clash Royale] [June],"189,931",2019_02_05,2100,83,JUNE,471000,https://www.youtube.com/watch?v=xpB8Ao_Oekk
[클래시로얄] 호그레이스는 이 꿀덱으로 6승 고고씽?!,"2,242",2019_02_06,7,6,YongssTV,850,https://www.youtube.com/watch?v=AzTOz1CmBCI
"[클래시로얄] ""돈까스 좋아하세요 ~~?"" 10명중 9명은 바로 넘어오는 냉동돈까스덱 Clash Royale [뻥튀기소년]",73,2019_02_07,4,0,남세향,0,https://www.youtube.com/watch?v=N0MkVPeYLYE
무덤이 부활했다~~ [클래시로얄-Clash Royale] [June],"160,972",2019_02_12,1600,50,JUNE,471000,https://www.youtube.com/watch?v=XyT9cHPGvLI
무덤덱으로 라바 잡기![클래시로얄],"2,134",2019_02_14,55,1,Sunny CR,9480,https://www.youtube.com/watch?v=RyKI8OQKG_4
아빠와 게임하기! 클래시로얄,136,2019_02_15,2,0,유쾌한 지니,953,https://www.youtube.com/watch?v=qq-NwLddQwE
뭔가 이상한 클래시로얄 광고 페러디,"288,078",2019_02_17,0,0,PPAP YT 플라위 TV BJ 언더테일 DJ 샌즈박스,1990,https://www.youtube.com/watch?v=1EK9PrlAhAA
오랜만에 클래시로얄 4100점 전설 실력을 보여준다!!! 허팝게임,"30,163",2019_02_19,422,28,HeopopGames 허팝게임,362000,https://www.youtube.com/watch?v=o_--ZAECtJ4
앞으로 해골 무시하지마라! 해골돌격병을 사용해보았다! [클래시로얄] 허팝게임,"150,827",2019_02_20,1100,81,HeopopGames 허팝게임,362000,https://www.youtube.com/watch?v=_7qFBKLwS7c
클래시로얄 잘생긴 순위 TOP8 (Clash Royale),"1,770",2019_02_21,24,6,로한 LOHAN,516,https://www.youtube.com/watch?v=037zw1fC5i8
무덤덱으로 석궁 잡기![클래시로얄],"2,792",2019_02_22,59,0,Sunny CR,9480,https://www.youtube.com/watch?v=7MsgmHPJt2U
클래시 로얄: 미니 페카 - 모든 것이 팬케이크! 🥞 🥞 🥞,"1,201,394",2019_02_22,7800,363,클래시 로얄,325000,https://www.youtube.com/watch?v=YIhZAeLvE2A
해골돌격병 왜 안쓰는지 분석 완료! [클래시로얄-Clash Royale] [June],"117,028",2019_02_22,1300,45,JUNE,471000,https://www.youtube.com/watch?v=tY_q-ahgMus
(병맛) 뭔가 잘못된 클래시로얄 미니페카 팬케이크 광고 페러디 (구독자 200기념),"4,337",2019_02_22,0,0,PPAP YT 플라위 TV BJ 언더테일 DJ 샌즈박스,1990,https://www.youtube.com/watch?v=oauGfmabFrk
클래시로얄 예쁘게 생긴 미녀 순위 TOP8 (Clash Royale),617,2019_02_23,14,4,로한 LOHAN,516,https://www.youtube.com/watch?v=nsvKEhm5WkI
[게임] 클래시로얄 상자깡 영상 (무슨전설이?) (슈마상+마상),91,2019_02_27,14,0,JIN TUBE장진장진,2000,https://www.youtube.com/watch?v=edUpkBo1p_k
"""세계랭커 1위""의 시즌말 소름돋는 천상계 플레이 [클래시로얄]","63,369",2019_02_27,629,48,헤마군CR,32300,https://www.youtube.com/watch?v=kqVD0wOTfSw
[클래시로얄] 서든데스 꿀덱 2배속으로 12승 가즈아!! (clash royale sudden death tip video),"2,014",2019_02_27,20,0,위드만TV,522,https://www.youtube.com/watch?v=sxzf1HPs1Tw
[Clash Royale] 클래시로얄 일렉트로 마법사 고수 되는 법 3가지,"3,350",2019_02_27,43,2,로한 LOHAN,516,https://www.youtube.com/watch?v=kPa4OclZDqc
[클래시로얄] 뇌박 버리고 기블린으로 그챔 갔습니다!,"20,282",2019_02_28,211,12,채널신효,3310,https://www.youtube.com/watch?v=8lgZ-4giyL4
써니CR 목소리 공개[클래시로얄],"4,213",2019_03_01,63,2,Sunny CR,9480,https://www.youtube.com/watch?v=pTpbONVkvv8
