title,count,date,good_count,bad_count,youtuber,subscriber,url
투명크리퍼 1000마리 VS 킹 오브 장돌하우스ㅋㅋㅋㅣ마인크래프트 타워디펜스[김짱돌],"63,938",2019_01_18,980,27,김짱돌,246000,https://www.youtube.com/watch?v=9IGGWXo7RcM
타격감 좋은 킹오브더파이터올스타 타워 7층부터 도전 영상,27,2019_05_26,0,0,잼킴TV,1350,https://www.youtube.com/watch?v=0JoV6OFnaCI
킹 오브 타워,977,2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=DlqFTX3whVg
킹 오브 타워,"5,700",2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=lRbbeSnjWhs
킹 오브 타워,"1,098",2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=qLjIb3zpT84
킹 오브 타워,385,2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=ArABmtEMnbg
킹 오브 타워,"1,231",2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=ePYy02vDVqI
킹 오브 타워,564,2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=u9Hh-pRWTcM
킹 오브 타워,81,2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=K8pDQ7pmOXI
킹 오브 타워,"1,707",2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=xmTHjag4mDQ
킹 오브 타워,"14,806",2019_10_18,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=PZYg-rTVr4Y
"킹 오브 타워, 오랜만에 디펜스게임 즐겼습니다","1,991",2019_10_20,8,1,디야TV,0,https://www.youtube.com/watch?v=XIUY7DmHgzE
킹 오브 타워 첫 플레이,367,2019_10_21,0,0,그냥올려봄,7,https://www.youtube.com/watch?v=qsxXIKvV_og
킹 오브 타워,4,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=TPN--90ndMY
킹 오브 타워,16,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=WjFzkWPnBro
킹 오브 타워,6,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=EYY1wbgjcOY
킹 오브 타워,"18,616",2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=Ac2BUt2MLBw
삼국지 영웅들로 하는 타워 디펜스 모바일 게임 - 킹 오브 타워,517,2019_10_24,1,0,객설TV,17,https://www.youtube.com/watch?v=9WVUtLDJ3Gs
킹 오브 타워,114,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=2bMQvmb81tA
킹 오브 타워,10,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=VZHJXt6F_7E
킹 오브 타워,4,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=FoRWih1cXUY
킹 오브 타워,4,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=FaJp27T5ces
킹 오브 타워,4,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=mPv8rxM2JaY
킹 오브 타워,15,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=ZOee4E8LNns
킹 오브 타워,6,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=279EJLzV9KE
킹 오브 타워,8,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=yJxyuDQKtUE
킹 오브 타워,13,2019_10_24,1,0,킹 오브 타워,12,https://www.youtube.com/watch?v=rYqsd09LWwo
킹 오브 타워,53,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=SVLTkiyj62c
킹 오브 타워,51,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=KlkGX1jVZKQ
킹 오브 타워,18,2019_10_24,0,0,킹 오브 타워,12,https://www.youtube.com/watch?v=BswRd8rfGTY
