title,count,date,good_count,bad_count,youtuber,subscriber,url
"""킹 오브 파이터 올스타"" 넷마블에서 나온 킹오파...한번 해 봤습니다...","61,435",2019_04_26,268,74,갓존슨,20400,https://www.youtube.com/watch?v=20Be6Yj8FdQ
[킹 오브 파이터 올스타 프리뷰] 넷마블 킹오파 혀 한번 대보기!! KOF | 김냥코 게임리뷰,"1,371",2019_04_27,15,1,장작TV 게임리뷰,1720,https://www.youtube.com/watch?v=VekHytoKWzA
[KOF 올스타 챌린지] 같이 봐요~,"23,261",2019_04_27,141,19,정질의 NL TV,30000,https://www.youtube.com/watch?v=Nu0b1U-1OGw
킹 오브 파이터 올스타 챌린지,"7,375",2019_04_27,51,6,넷마블 TV,124000,https://www.youtube.com/watch?v=BmHGsgFu8Ds
"[플레이] 진모짱과 킹 오브 파이터 올스타 체험판, 올스타팀(시라누이 마이, 쿠사나기 쿄, 야가미 이오리) 스피드런",111,2019_04_27,1,0,진모짱,1760,https://www.youtube.com/watch?v=lKellSwmwoY
[19.04.28] 4강 2경기 Game 1-3 『 난닝구크루 vs 킹오파 』 - 킹오파 올스타 챌린지,"3,836",2019_04_28,27,2,OGN,525000,https://www.youtube.com/watch?v=_L9K24Su2i0
"[플레이] 진모짱과 킹 오브 파이터 올스타 체험판, 한국팀(김갑한, 최번개, 장거한) 스피드런",41,2019_04_28,0,0,진모짱,1760,https://www.youtube.com/watch?v=1VmQIF0aew8
[19.04.28] 결승전 Game 1-3 『 걸크러쉬 vs 킹오파 』 - 킹오파 올스타 챌린지,"16,446",2019_04_28,83,10,OGN,525000,https://www.youtube.com/watch?v=BEedPUaAvzU
신작 킹오브파이터 올스타 모바일 체험판(King of Fighters All star),281,2019_04_29,9,0,제투Jetu,1080,https://www.youtube.com/watch?v=LrdL2hUIoSE
4강 2경기 『 난닝구크루 vs 킹오파 』 - 킹 오브 파이터 올스타 챌린지,612,2019_04_29,0,1,킹 오브 파이터 올스타,7390,https://www.youtube.com/watch?v=hzK_UZtATcQ
순위결정전 『 난닝구크루 vs 개그 팀 』 - 킹 오브 파이터 올스타 챌린지,514,2019_04_29,1,0,킹 오브 파이터 올스타,7390,https://www.youtube.com/watch?v=bRBT_4jMg3Q
결승전 『 걸크러쉬 팀 vs 킹오파 팀』 - 킹오브 파이터 올스타 챌린지,"5,170",2019_04_29,18,2,킹 오브 파이터 올스타,7390,https://www.youtube.com/watch?v=JO7I7SX4izk
