title,count,date,good_count,bad_count,youtuber,subscriber,url
[스트라이커즈 1945-3] 1주차,조회수 64회,2018. 12. 25.,3,0,Han Hee Lee,구독자 1.68천명,https://www.youtube.com/watch?v=EDi4aCmG9cM
1945k III 원코인,"조회수 1,267회",2019. 1. 10.,7,2,DOMAWE,구독자 8.28천명,https://www.youtube.com/watch?v=V7qz6T_pzOY
[Strikers 1945 PLUS]오락실1999 고전 레트로게임 켠왕 공략,"조회수 1,249회",2019. 1. 11.,41,2,이빨맨 TV,구독자 1.16천명,https://www.youtube.com/watch?v=YNIhoc06HNw
타도의고전게임 744.1945k III 1945k III 무한코인 Infinite coin 난이도:4,조회수 133회,2019. 1. 21.,0,0,타도의고전게임,,https://www.youtube.com/watch?v=BhoBE85mhjo
자낙 (1986): 추억의게임_MSX 재믹스V,조회수 169회,2019. 1. 23.,2,1,Funny Play,구독자 795명,https://www.youtube.com/watch?v=pQpgXRNnb9g
[고전게임] 1945보다 재밌는 비행슈팅게임 텐가이 - 범자의 텐가이 (TENGAI),조회수 211회,2019. 1. 5.,1,0,범자ᄏ,구독자 25명,https://www.youtube.com/watch?v=v8Lt37iBd2Y
우리의 추억이랑 뭔가 다른 슈팅 모바일 게임 - 1945 Air Force - MOBILE화면용,조회수 12회,2019. 10. 18.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=ubkoTznFLkQ
"[워 썬더] 이것은 워썬더인가 스트라이커즈 1945인가, 독일제 플라잉 순양함 BV238","조회수 7,128회",2019. 10. 22.,112,4,제디,구독자 4.2천명,https://www.youtube.com/watch?v=BdG06JAIu5g
고전게임 원코인)1945K 슈팅게임 시리즈(ORIENTAL 2000)원코인 한판하기,조회수 22회,2019. 10. 28.,0,0,후니훈TV,구독자 1.44천명,https://www.youtube.com/watch?v=Q9Dw2Br9zdE
고전게임 원코인)스트라이커즈 1945 Psikyo(Strikers 1945 1995)원코인 한판하기,조회수 19회,2019. 10. 29.,0,0,후니훈TV,구독자 1.44천명,https://www.youtube.com/watch?v=vb2osGM32zw
1945 - 모바일 게임 (초반 플레이),조회수 59회,2019. 10. 3.,좋아요,싫어요,무풍,구독자 103명,https://www.youtube.com/watch?v=iDLG5v7rdMU
오락실 그대로 돌아온 슈팅 모바일 게임 - 스트라이커즈1945 2 - MOBILE화면용,조회수 7회,2019. 10. 30.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=GsY27CX0t4c
오락실 그대로 돌아온 슈팅 모바일 게임 - 스트라이커즈1945 2 - PC화면용,조회수 2회,2019. 10. 30.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=zDqr7gMW6Ug
