title,count,date,good_count,bad_count,youtuber,subscriber,url
This block costed me the game!!| Clash Royale,조회수 19회,2019. 1. 14.,6,0,PotKiller 1,구독자 47명,https://www.youtube.com/watch?v=80ysMUXUsVE
"Block Craft 3D, Clash Survival, ROBLOX, Block Shooting Hero, Pixel Gun 3d, Minecraft","조회수 634,336회",2019. 10. 20.,3.5천,477,AndromalicPlay1337,구독자 8.68만명,https://www.youtube.com/watch?v=7PTC1mTvs1g
Clash of Blocks Level 1-150 Walkthrough,"조회수 1,303회",2019. 10. 31.,4,9,TheGameAnswers,구독자 2.6만명,https://www.youtube.com/watch?v=m0HyXFOKUOs
Clash of Blocks 1 - 100 Levels,"조회수 3,754회",2019. 11. 1.,33,19,daydreamz studio,구독자 845명,https://www.youtube.com/watch?v=GiRE3796DMk
Clash of Blocks,조회수 13회,2019. 11. 1.,0,0,Gamer360XD 2,구독자 923명,https://www.youtube.com/watch?v=qTP-AUVAfbQ
Popcore Clash Of Blocks (Read Description),조회수 2회,2019. 11. 10.,0,0,MegaGamer2008RJ,구독자 9명,https://www.youtube.com/watch?v=kbL4zPu2JgU
Clash Of Blocks,조회수 13회,2019. 11. 10.,2,0,Mr. Booga,구독자 17명,https://www.youtube.com/watch?v=9yqf3Qa3Dv4
Clash of Blocks! Game 3 Star Walkthrough Level 51-100,조회수 345회,2019. 11. 10.,2,0,Top Games Walkthrough,구독자 2.75만명,https://www.youtube.com/watch?v=29_79F_FV0c
Clash Of Blocks Game Level 70-100,조회수 2회,2019. 11. 10.,0,0,Bigundes World,구독자 524명,https://www.youtube.com/watch?v=M1XqpagiJzs
Clash of Blocks,조회수 18회,2019. 11. 11.,3,0,XxTRY- HARDxX,구독자 5명,https://www.youtube.com/watch?v=rW8XPq_dCrY
Clash of blocks,조회수 없음,2019. 11. 11.,0,0,DY 2007,구독자 4명,https://www.youtube.com/watch?v=ItG3fNvVX7M
Clash of Blocks ANDROID GAMES 2020 / RATE THE ANDROID GAME,조회수 47회,2019. 11. 11.,3,0,Google Play Games,구독자 3.94천명,https://www.youtube.com/watch?v=IFek5h4Gfwc
