title,count,date,good_count,bad_count,youtuber,subscriber,url
Hello Neighbor Shopping Challenge! Hello Neighbor Act 3 is CRAZY HARD! KIDCITY GAMING,"조회수 1,086,964회",2019. 1. 29.,4.9천,380,KidCity Gaming,구독자 33.5만명,https://www.youtube.com/watch?v=8-EastSh6l0
Crazy Shopping vs Drop & Smash Gameplay and Review,"조회수 1,050회",2019. 10. 16.,25,3,Family Review Show,구독자 5.4천명,https://www.youtube.com/watch?v=l8IvMbGVXsA
Crazy Shopping iOS Gameplay Part 2-HD,조회수 502회,2019. 10. 17.,1,2,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=qbtssBPfKNc
Crazy Shopping | iOS / Android Mobile Gameplay,"조회수 6,193회",2019. 10. 17.,65,15,Rise of Mobile Games,구독자 6.85천명,https://www.youtube.com/watch?v=JO51EfnMYy4
Crazy Shopping-New Store ios Gameplay Part 6-HD,조회수 644회,2019. 10. 18.,5,1,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=vIrUJEoG97U
Crazy Shopping New Store ios Gameplay Part 5-HD,"조회수 21,571회",2019. 10. 18.,231,40,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=jtoOpxsUsZY
Crazy Shopping New Store Ios Gameplay Part 4-HD,조회수 395회,2019. 10. 18.,2,3,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=hT3HWxkEcco
Crazy Shopping ios Gameplay Part 3-HD,조회수 657회,2019. 10. 18.,12,1,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=_LhDgT_UIbI
Crazy Shopping-New Store ios Gameplay Part 7-HD,조회수 220회,2019. 10. 18.,0,0,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=hatDsjOjIlg
"Real Racing 3,Drop & Smash,Bike Race,Crazy Shopping",조회수 201회,2019. 10. 19.,1,1,Mister Gameplay,구독자 3.46천명,https://www.youtube.com/watch?v=IUh2be0BtUg
"Draw Race, Crazy Shopping, Icing On The Cake, Sticky Block, Spinner.io, I Peel Good, Golf Battle",조회수 911회,2019. 10. 19.,7,0,Dr.Racing,구독자 7.08천명,https://www.youtube.com/watch?v=Sb-51-NIZb8
Crazy Shopping New Store ios Gameplay Part 8-HD,조회수 222회,2019. 10. 19.,5,0,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=LGih1bQzr2g
"Crazy Shopping - Gameplay Trailer (iOS, Android)","조회수 19,184회",2019. 10. 20.,272,34,KuGo,구독자 14.9만명,https://www.youtube.com/watch?v=EarryTf7icI
Crazy Shopping New Store ios Gameplay Part 10-HD,조회수 244회,2019. 10. 20.,2,0,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=CJAh1fd2M_c
"PvZ, Run Race 3D, Stickman Hook, Crazy Shopping, Sticky Block, Stickman Epic Archer, Stack Jump",조회수 812회,2019. 10. 20.,31,0,MobAMGames,,https://www.youtube.com/watch?v=gt4iIdgLxog
Crazy Shopping New Store ios Gameplay Part 9-HD,조회수 398회,2019. 10. 20.,3,0,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=savYqOnIbgU
Crazy Shopping - Gameplay IOS & Android,조회수 39회,2019. 10. 21.,0,1,MediaTech - Gameplay Channel,,https://www.youtube.com/watch?v=vIg6scPZDnk
Crazy Shopping - Gameplay Walkthrough Part 4 - gameplay HD,조회수 724회,2019. 10. 21.,5,0,Gaming K,구독자 1.2천명,https://www.youtube.com/watch?v=K26Dz35Qovo
"Crazy Shopping - Gameplay Walkthrough Part 3 ( ios, android game )",조회수 581회,2019. 10. 21.,4,0,Gaming K,구독자 1.2천명,https://www.youtube.com/watch?v=697bGhg2Xfs
Crazy Shopping Gameplay || ios/android,조회수 343회,2019. 10. 22.,10,0,Hot Games Unlimited,,https://www.youtube.com/watch?v=NeTs05dhxaY
Crazy Shopping Прохождение Часть 1 Безумные Покупки | Андроид/iOS Геймплей,"조회수 1,873회",2019. 10. 23.,56,2,000ArmGamer000,구독자 53.9만명,https://www.youtube.com/watch?v=yhXfzPxS-JU
Crazy Shopping New Store ios Gameplay Part 12-HD,조회수 102회,2019. 10. 23.,1,0,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=FLAEtDmo1bU
Crazy Shopping New Store ios Gameplay Part 13-HD,조회수 368회,2019. 10. 23.,2,0,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=9MH9b4elEk4
Crazy Shopping Gameplay,"조회수 3,726회",2019. 10. 24.,72,8,Gamers Unbounded,구독자 443명,https://www.youtube.com/watch?v=Xc7ItYtfx3c
"Crazy Shopping - Gameplay Walkthrough Part 5 ( ios, android game )","조회수 1,636회",2019. 10. 25.,28,0,Gaming K,구독자 1.2천명,https://www.youtube.com/watch?v=GFajd6_nfzU
"Crazy Shopping - Gameplay Part 1 (Android,IOS)","조회수 2,508회",2019. 10. 25.,50,2,Zerw Gameplay,구독자 3.1만명,https://www.youtube.com/watch?v=YxKEHaLDu2E
"Crazy Shopping - Gameplay Part 3 (Android,IOS)","조회수 1,463회",2019. 10. 25.,21,1,Zerw Gameplay,구독자 3.1만명,https://www.youtube.com/watch?v=rkstcFTPXDc
"Crazy Shopping - Gameplay Part 2 (Android,IOS)","조회수 1,470회",2019. 10. 25.,13,5,Zerw Gameplay,구독자 3.1만명,https://www.youtube.com/watch?v=-aRwcTzSN1Y
"Run Race 3D, Drop & Smash, Kick The Buddy, Crazy Shopping, Stickman Epic Archer, The Catapult",조회수 261회,2019. 10. 27.,4,0,Dr.Racing,구독자 7.08천명,https://www.youtube.com/watch?v=tBa5138OJY4
Crazy Shopping New Store ios Gameplay Part 16-HD,조회수 308회,2019. 10. 27.,7,0,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=4Gfg-s6h1gc
Crazy Shopping Прохождение Часть 2 Много Бонусов | Андроид/iOS Геймплей,"조회수 1,465회",2019. 10. 28.,59,2,000ArmGamer000,구독자 53.9만명,https://www.youtube.com/watch?v=Z4eCj9dngK4
"Crazy Shopping - Gameplay Walkthrough Part 6 ( ios, android game )",조회수 374회,2019. 10. 29.,6,1,Gaming K,구독자 1.2천명,https://www.youtube.com/watch?v=AUliKE6Kovg
Crazy Shopping v1.1.2 (Mod),조회수 443회,2019. 10. 31.,0,4,amazing android,구독자 162명,https://www.youtube.com/watch?v=2gRnaVUN8Os
"Animal Escape, Zooba, Mario Run, Crazy Shopping, New Red Ball, Sandwich, Bad Piggies, Fit The Fat 3",조회수 587회,2019. 11. 1.,25,1,MobAMGames,,https://www.youtube.com/watch?v=UrnVVe9W76I
Crazy Shopping New store ios Gameplay Part 18-HD,"조회수 7,341회",2019. 11. 1.,63,12,Taply Gameplay,구독자 96명,https://www.youtube.com/watch?v=ngznSzfj81U
Crazy shopping 🛒,조회수 30회,2019. 11. 1.,1,0,I Play,구독자 2명,https://www.youtube.com/watch?v=ABloutBpjFI
Crazy Shopping Прохождение Часть 3 Ювелирный Магазин | Андроид/iOS Геймплей,"조회수 1,370회",2019. 11. 1.,41,1,000ArmGamer000,구독자 53.9만명,https://www.youtube.com/watch?v=6_2PvSoifW4
Crazy Shopping (by Kwalee) - iOS / ANDROID GAMEPLAY,조회수 144회,2019. 11. 1.,3,0,Puzzlegamesolver,구독자 2.03만명,https://www.youtube.com/watch?v=n0P0K2ZVsKM
Crazy Shopping v1.1.2 New Update Mod ||KJ,조회수 355회,2019. 11. 1.,9,2,Sát Thủ Killer J,구독자 10명,https://www.youtube.com/watch?v=wAJW0lMnhOU
Crazy Shopping New Game 2019 Gameplay Part 1,조회수 25회,2019. 11. 1.,1,1,KHELIYO KHELIYO,구독자 21명,https://www.youtube.com/watch?v=pP8xRa_PjjM
crazy robbery I mean shopping,조회수 18회,2019. 11. 1.,5,0,Ali vlogs/gaming,구독자 54명,https://www.youtube.com/watch?v=tI6fWKfEZfE
Lets Play Crazy Shopping,조회수 없음,2019. 11. 10.,0,0,Jeric Ahrqie Prudente,,https://www.youtube.com/watch?v=m64YzUOdsIc
크레이지 쇼핑 강도인가?!쇼핑인가?!,조회수 118회,2019. 11. 10.,11,0,tv윈드준,구독자 56명,https://www.youtube.com/watch?v=xWp2a7N1hFs
Crazy Shopping Spinning Level (Level 5) - GETTING IN THE MIDDLE!!! 🤯,조회수 91회,2019. 11. 10.,1,0,Noob Gamer,구독자 6명,https://www.youtube.com/watch?v=MNiJmeES0wU
Crazy Shopping at Game at Game,조회수 5회,2019. 11. 10.,0,0,Unicorn Puppet the Unicorn Puppet,,https://www.youtube.com/watch?v=ASAUDkXEgxA
ITS TIME TO GO SHOPING!!!(crazy shopping),조회수 4회,2019. 11. 10.,2,0,Thegamingraptorchicken,구독자 6명,https://www.youtube.com/watch?v=M4PvgfgqYRE
Crazy shopping game,조회수 5회,2019. 11. 10.,0,0,Azaan Khan,구독자 2명,https://www.youtube.com/watch?v=LhgYc0YzVfE
Crazy Shopping Прохождение Часть 5 Очень много Людей в Магазине | Андроид/iOS Геймплей,조회수 364회,2019. 11. 10.,26,0,000ArmGamer000,구독자 53.9만명,https://www.youtube.com/watch?v=EKDfxwe5_k4
