title,count,date,good_count,bad_count,youtuber,subscriber,url
로블록스TV ROBLOX TV 루미큐브(Rummikub) 보드게임 하는방법,조회수 68회,2018. 12. 24.,1,0,로블록스TV,,https://www.youtube.com/watch?v=R4nkfjvjubc
루미큐브 게임 설명,조회수 23회,2018. 12. 28.,0,0,나나,구독자 21명,https://www.youtube.com/watch?v=bAw-vjj8coo
"190101,새해,새해 첫 날,루미큐브,엄마이모이모부,게임한판,1월1일",조회수 15회,2019. 1. 1.,1,0,권맥스,구독자 18명,https://www.youtube.com/watch?v=zEjn0EprY_w
Rummikub 루미큐브 하는법 스킬 모바일게임 류미큐브 동수르,"조회수 3,702회",2019. 1. 13.,10,1,동수르,구독자 12명,https://www.youtube.com/watch?v=jucfiZ2zi8g
Bower's Game Corner: Rummikub Review,조회수 646회,2019. 1. 17.,8,2,Bower's Game Corner,구독자 6.01천명,https://www.youtube.com/watch?v=74g8vmO6A6c
Rummikub game가족과 루미큐브 한 판 .대회규칙으로 ㅡ재미있는 루미큐브 가족게임으로 추천합니다.,조회수 88회,2019. 1. 2.,5,0,쭌TV/쭌티비,구독자 199명,https://www.youtube.com/watch?v=wgtFEgWAFzU
【汤米酱】Board Game 桌游教学095 Rummikub Review 拉密 变脸版 介绍,조회수 191회,2019. 1. 20.,1,0,Tommy Jiang,구독자 605명,https://www.youtube.com/watch?v=DUVcIv6GqxA
Rummikub Winner!,조회수 564회,2019. 1. 23.,9,0,michi kool,구독자 21명,https://www.youtube.com/watch?v=wnSvlVLj92A
루미큐브게임,조회수 73회,2019. 1. 23.,13,1,연TV,구독자 82명,https://www.youtube.com/watch?v=bIiOeu3jSb4
머리가 좋아지는 보드게임????루미큐브 어플게임 리뷰 (rummikub game app review),"조회수 1,615회",2019. 1. 29.,66,1,마스터G MasterG,구독자 1.22천명,https://www.youtube.com/watch?v=iyEXMop7MTo
Rummikub 루미큐브 레벨8되었어요.젤 좋아하는 보드게임.온라인게임승리한영상,조회수 580회,2019. 1. 5.,6,0,교구수학전문강사Tina,구독자 169명,https://www.youtube.com/watch?v=8aCrcd0Vttg
Rummikub Game Commercial,"조회수 2,560회",2019. 1. 9.,좋아요,싫어요,pressmantoy,구독자 1.09만명,https://www.youtube.com/watch?v=0kvvmlYY-yw
루미큐브 (Rummikub) 보드게임 룰 설명,조회수 33회,2019. 10. 1.,2,0,밀본윤평,구독자 45명,https://www.youtube.com/watch?v=Uyquvf9PyyU
