title,count,date,good_count,bad_count,youtuber,subscriber,url
샌드위치게임,조회수 6회,2019. 10. 19.,0,0,상추,구독자 4명,https://www.youtube.com/watch?v=jgs3DmnM7Ys
아빠와크는나무(4편:샌드위치게임/찌부짜부),조회수 123회,2019. 10. 19.,17,0,아빠와크는나무,구독자 110명,https://www.youtube.com/watch?v=qJcpzB8Po9I
[리얼심즈] 스탑모션 구운치즈샌드위치 / cooking sims food grilled cheese sandwich,조회수 12회,2019. 10. 21.,2,0,리얼심즈,구독자 10명,https://www.youtube.com/watch?v=BTzeha4QoH0
쉬운 공간지각능력 모바일 게임 - Sandwich - MOBILE화면용,조회수 2회,2019. 10. 22.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=MreJv8jpRWI
플래시게임 샌드위치 만들기 게임,조회수 654회,2019. 10. 30.,45,0,더빙걸,,https://www.youtube.com/watch?v=PehAUXlE4NQ
오늘은새로운게임 샌드위치게임 깅깅tv,조회수 1회,2019. 11. 27.,0,0,깅깅tv,구독자 4명,https://www.youtube.com/watch?v=BTFiu4MHyBw
쉬운 공간지각능력 모바일 게임 - Sandwich - PC화면용,조회수 1회,2019. 11. 3.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=e_R1P1lZ09A
단국대학교 대학 기초 SW 입문 (공학) 파이썬 샌드위치 게임 7조 명캐리조,조회수 20회,2019. 12. 4.,0,0,박경민,구독자 2명,https://www.youtube.com/watch?v=7hdEdHR4444
(요리 게임 먹방) 계란 양배추 토스트 샌드위치 + 신짱구 과자 & 바나나식초 & 롯데마트 비피더스 사과 요구르트 & 호박즙 먹방,조회수 48회,2019. 4. 10.,4,0,TV 김성도 Steven,구독자 725명,https://www.youtube.com/watch?v=JQXnefk8teU
[추억을 되감기] 요리설명게임 '샌드위치만들기',조회수 574회,2019. 4. 12.,4,0,아이온 유튜브,구독자 174명,https://www.youtube.com/watch?v=6BC2HGotkzQ
