title,count,date,good_count,bad_count,youtuber,subscriber,url
[틀벤져스] 모바일게임 하반기 기대작 V4(브이포) 사전등록! (인게임 그래픽ㅎㄷㄷ;;) 191010 #1,"조회수 4,565회",2019. 10. 10.,좋아요,싫어요,ZICO TV커맨더지코 풀영상,,https://www.youtube.com/watch?v=RDMhNDW2NFI
"V4 , 리니지M2 하반기 신작게임 관련주",조회수 70회,2019. 10. 10.,1,0,쉽게하는 주식 대박경제TV,구독자 154명,https://www.youtube.com/watch?v=CfB8B1SG_PU
[만만] 넥슨 V4 의자에서 쪽잠자면서 기다렸습니다,"조회수 129,816회",2019. 10. 14.,364,57,만만,구독자 21.6만명,https://www.youtube.com/watch?v=S7fpHURwDQQ
[ Just 1 Min ] 하반기 초대작 MMORPG V4 상한가 직행 게임 대장주 !,조회수 131회,2019. 10. 14.,좋아요,싫어요,전지적 경제 시점,구독자 2.01천명,https://www.youtube.com/watch?v=B_d9h2bkmL4
V4 최종 정보 공개 넥슨의 사활을 건 모바일게임,조회수 469회,2019. 10. 16.,16,0,겜알이TV,구독자 1.35천명,https://www.youtube.com/watch?v=cia7sdaq6BI
[V4] V4를 위한 넥슨의 칼춤은 아직 끝나지 않았다!! 그렇다면..쫌.. 모바일게임 리뷰 엉아,"조회수 9,949회",2019. 10. 16.,142,7,엉아 TV,구독자 1.55만명,https://www.youtube.com/watch?v=J595ieutxMs
V4[브이포] 개발 빌드 엿보기 - 매지션,"조회수 23,863회",2019. 10. 18.,52,1,V4[브이포],구독자 3.22천명,https://www.youtube.com/watch?v=39Ko5GPgRtM
V4[브이포] 개발 빌드 엿보기 - 워로드,"조회수 18,350회",2019. 10. 18.,40,2,V4[브이포],구독자 3.22천명,https://www.youtube.com/watch?v=AxvEFPVm9j4
V4[브이포] 개발 빌드 엿보기 - 블레이더,"조회수 20,319회",2019. 10. 19.,43,3,V4[브이포],구독자 3.22천명,https://www.youtube.com/watch?v=Q2ZHN4YE51w
V4[브이포] 개발 빌드 엿보기 - 액슬러,"조회수 24,302회",2019. 10. 19.,44,4,V4[브이포],구독자 3.22천명,https://www.youtube.com/watch?v=B_2T1gqpU8w
[제이] V4(브이포) 블레이더 개간지 1티어! 액슬러 V4 마스코트!,"조회수 7,795회",2019. 10. 19.,56,15,제이,구독자 2.9만명,https://www.youtube.com/watch?v=BhxDRa3SioA
V4[브이포] 모든 직업 분석 / 어떤 클래스가 사기일까? 넥슨 MMORPG 모바일 게임 [휘재TV - V4],"조회수 28,906회",2019. 10. 20.,좋아요,싫어요,휘재TV,구독자 6.23천명,https://www.youtube.com/watch?v=6yV8TkxzVqA
[V4] 최신 인터뷰 소식!! 리니지2M 보다는 나을려나?? 모바일게임 리뷰 엉아,"조회수 10,814회",2019. 10. 21.,163,8,엉아 TV,구독자 1.55만명,https://www.youtube.com/watch?v=hTrfl1Ier64
[v4] 브이포 직업 선택 더이상 고민하지마세요 (전 직업 분석 최종본),"조회수 187,736회",2019. 10. 22.,481,72,쵸튜브[쵸피],,https://www.youtube.com/watch?v=1fKvfWFR0_U
V4 추천직업 분석 전직업 최종정리 (과금/무과금),"조회수 31,058회",2019. 10. 23.,193,11,겜알이TV,구독자 1.35천명,https://www.youtube.com/watch?v=cMnc4RWpsyg
V4 게임영상. 11월 7일 출시.,조회수 508회,2019. 10. 23.,6,1,집 지키는 도깨비수영,구독자 44명,https://www.youtube.com/watch?v=qtKuzNcAPvg
"V4 사전예약 하면 게임쿠폰을준다고??? 완전 혜자네ㅋㅋㅋㅋ [메이플스토리,바람의나라,마비노기,크레이지아케이드,던전앤파이터,엘소드,카트라이더,서든어택]",조회수 298회,2019. 10. 24.,20,1,틈천tv,구독자 1.12천명,https://www.youtube.com/watch?v=5r-p8ljq-gI
V4[브이포] 게임 전문 기자 한줄평 리뷰,"조회수 4,298회",2019. 10. 24.,35,3,V4[브이포],구독자 3.22천명,https://www.youtube.com/watch?v=QbZPZfQBfuY
V4 게임전문 기자들의 리뷰 영상,조회수 41회,2019. 10. 24.,2,0,김택견,구독자 168명,https://www.youtube.com/watch?v=L8K99hk3G-Q
"V4, 리니지2M을 기다릴 겸 잠깐 즐길 수'도' 있는 게임 / 소울시커R 리뷰",조회수 979회,2019. 10. 25.,4,0,쑤쯔 SSOOZZ,구독자 338명,https://www.youtube.com/watch?v=uMGw2tehhCo
"[제이] V4(브이포) 인터서버 모든것(대결구도, 보스는 딜량 기여도,서버 대항전)","조회수 3,313회",2019. 10. 25.,50,8,제이,구독자 2.9만명,https://www.youtube.com/watch?v=Cj-wcr2Nn_Y
"[V4] 브이포 게임전 알고 가야할 8가지 필수정보 최종정리(자율 경매장,길드 시스템, 인터서버, 커맨더 모드, 3중 과금, 아이템등)","조회수 64,631회",2019. 10. 27.,178,33,쵸튜브[쵸피],,https://www.youtube.com/watch?v=3YhxOBt3h2E
V4 출시 전 잠깐 할만한 모바일게임 소울시커R,조회수 74회,2019. 10. 28.,1,1,스콜튜브,,https://www.youtube.com/watch?v=9oz7gkvMtxU
[마기아:카르마사가] 넥슨 나 버리고 V4 잘되나 두고보자!! ㅋ 모바일게임 리뷰 엉아,"조회수 14,298회",2019. 10. 29.,166,7,엉아 TV,구독자 1.55만명,https://www.youtube.com/watch?v=ADbxbk6J_10
V4 정식 출시일 공개 게임 특징 사전 예약 보상 발매전 게임 특징 알아보기,조회수 175회,2019. 10. 3.,3,0,게임 놀이터,구독자 1.1천명,https://www.youtube.com/watch?v=WrFttN6TOu8
V4【브이포】대형 유튜버들이 극찬한 V4!! 플레이 전에 꿀팁 공략 꼭보세요 [V4한정프리미엄쿠폰 이벤트],"조회수 83,248회",2019. 10. 3.,797,37,빅대디,구독자 9.68천명,https://www.youtube.com/watch?v=Zrf9oFqFcHY
넥슨 V4 '액슬러' 전투 영상 클립 1,"조회수 2,703회",2019. 10. 3.,3,0,디스이즈게임 자료실,구독자 2.53만명,https://www.youtube.com/watch?v=yaAvku-XFLQ
V4 무과금을 위한 분석 최종정리,"조회수 38,349회",2019. 10. 30.,242,17,겜알이TV,구독자 1.35천명,https://www.youtube.com/watch?v=-LizizbCGfw
v4(브이포) 액슬러 직업 스킬 정보 공략! 클래스 분석[비범],"조회수 2,046회",2019. 10. 31.,7,2,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=UfwV93_kLws
V4[브이포] 반전에 반전,"조회수 4,453,260회",2019. 10. 6.,316,74,V4[브이포],구독자 3.22천명,https://www.youtube.com/watch?v=9yXhhxBH4Ag
린2M과 차별화? V4 핵심 콘텐츠 '커맨더 모드'에 대한 기대와 우려,"조회수 12,849회",2019. 10. 7.,73,9,디스이즈게임,구독자 2.3만명,https://www.youtube.com/watch?v=GPSaa0UKS6M
[V4] 넷게임즈는 유저의 답을 해줘라!!~~ 모바일게임 리뷰 엉아,"조회수 18,664회",2019. 10. 8.,165,11,엉아 TV,구독자 1.55만명,https://www.youtube.com/watch?v=Qo02IzBKBig
[난닝구] 넥슨 V4 1천만원 무과금 됐습니다..... 이게 머선일이고..... NEXON 브이포 v4,"조회수 57,412회",2019. 11. 10.,223,60,난닝구TV,,https://www.youtube.com/watch?v=uILRxB5sZRc
[V4 브이포] 여러의미로 무과금으로 할만한게임!! ㅋ 모바일게임 리뷰 엉아,"조회수 13,593회",2019. 11. 10.,183,18,엉아 TV,구독자 1.55만명,https://www.youtube.com/watch?v=K9XGG9sHnIY
넥슨 V4 너무 화나네요 오늘부터 무과금 사냥터 통제합니다 과금하세요 v4 [기뉴다],"조회수 36,363회",2019. 11. 10.,156,136,기뉴다GINEWDA,구독자 10.9만명,https://www.youtube.com/watch?v=Tzzf2f4G1gU
V4 넥슨 모바일게임 5일차의 솔직한 리뷰 장점과 단점들,조회수 33회,2019. 11. 10.,0,0,강초록TV,구독자 325명,https://www.youtube.com/watch?v=mBEwqJvTdoU
V4 무과금 전투력 올리는 방법 생산 채집 제작 NEXON rpg game play,"조회수 1,147회",2019. 11. 10.,3,0,연주튜브까리한 연주아빠 일상,구독자 777명,https://www.youtube.com/watch?v=gkiJWS_u90A
[종겜쿠마]V4 안보면 손해!! 게임꿀팁공개 댓글도 확인하세요,조회수 84회,2019. 11. 10.,7,2,종겜쿠마TV,구독자 1.26천명,https://www.youtube.com/watch?v=mGw4oqpRbac
"v4 직업추천, 이 직업을 선택했다면 당장 갈아타세요.","조회수 54,704회",2019. 11. 10.,93,22,G-Man지맨,구독자 3.09천명,https://www.youtube.com/watch?v=wareTpA-5wo
[v4] 브이포 현실적으로 일반인 월급 정도만 써봐습니다! 절대 현질하지 마세요(리니지2M),"조회수 7,377회",2019. 11. 10.,119,32,제이,구독자 2.9만명,https://www.youtube.com/watch?v=wadbcQnaVTI
[브이포] v4 희귀 영웅 장비 먹는 방법! 희귀에 목메지 마셔요(리니지2M),"조회수 7,713회",2019. 11. 10.,42,22,제이,구독자 2.9만명,https://www.youtube.com/watch?v=pR8Qe3BqYmc
[넥슨 v4] 무과금러의 전투력 올리기 어렵지 않아요~(bj무닉),조회수 50회,2019. 11. 10.,3,0,스페셜민,구독자 14명,https://www.youtube.com/watch?v=nXTMSS-AqwA
'V4' 브이포 3화 몽환의틈 길드창설 등 해봄 | 겜생(GAMELIFE),조회수 139회,2019. 11. 10.,1,0,겜생,,https://www.youtube.com/watch?v=xW6XmtzwW3I
넥슨 V4/브이포 - ' 골드벌이 & 중반부 공략 ' 매지션편,"조회수 10,428회",2019. 11. 10.,30,4,아티튜브아티스트훈이,,https://www.youtube.com/watch?v=z2M0DZLg7p4
"[V4] 넥슨의 대작 ""브이포"" 게임 후 솔직한 평가","조회수 60,364회",2019. 11. 10.,222,61,쵸튜브[쵸피],,https://www.youtube.com/watch?v=XoiAT8imJkY
"V4/리니지2레볼루션 ""브이포"" 무과금으로 가능한게임일까?! ( 잠간 다녀와봤습니다 )","조회수 1,389회",2019. 11. 11.,11,2,현튜브HYEONTUBE,구독자 3.58천명,https://www.youtube.com/watch?v=kHRMnSmAXu4
[V4]국민 노가다 복장인 영광셋트를 위해 결국 하나 질렀습니다...,"조회수 21,218회",2019. 11. 11.,208,9,도비,구독자 1.99만명,https://www.youtube.com/watch?v=2GXH0CD5xS4
[v4] 넥슨아.. 그냥 모바일은 때려치고 pc게임이나 만들자.. 이건 아닌거 같다 남은건 리니지2m 뿐인가..브이포,조회수 481회,2019. 11. 11.,14,4,겜뚜껑,구독자 1.56천명,https://www.youtube.com/watch?v=5EN9lPL6Vng
V4무과금 유저에게 필요한 필수 팁 완벽정리,"조회수 9,480회",2019. 11. 11.,34,5,잼따,구독자 3.16천명,https://www.youtube.com/watch?v=b5LuWgCcFB0
V4[브이포] VS 달빛조각사 전격 비교 리뷰 / 어떤 게임을 해야할까? [휘재TV - MMORPG 모바일 게임],"조회수 5,853회",2019. 11. 11.,좋아요,싫어요,휘재TV,구독자 6.23천명,https://www.youtube.com/watch?v=xYuc1XYSX3U
[신작게임 인스턴트 3분리뷰] #27 V4 - 식상함 타파 위해 애쓰지 않은 신선함,조회수 157회,2019. 11. 11.,5,0,노닥TV 노재웅,구독자 1.43천명,https://www.youtube.com/watch?v=y6HN1Pojj9k
"[가미] 넥슨 V4 블레이더 스킬트리 !! 이 영상하나로 게임끝 (보스,사냥) NEXON v4 브이포","조회수 4,247회",2019. 11. 11.,18,2,가미가미,,https://www.youtube.com/watch?v=2qsSza-K95E
V4 공략 [ 무과금 및 초반에 유용한 꿀팁 Top 14 ] - 흑백게임,"조회수 2,800회",2019. 11. 11.,11,3,흑백게임TV,,https://www.youtube.com/watch?v=azIrtKzRe4w
V4 브이포 필드 보스 완벽 가이드 - 등장 위치 & 채널 이동 [사키엘TV],"조회수 4,099회",2019. 11. 12.,28,3,사키엘 TV,구독자 4.46만명,https://www.youtube.com/watch?v=cLRxSnRKd6I
[종합게임방송]티렉TV 넥슨 게임회사 맞죠?넥센 아니죠?V4,"조회수 1,016회",2019. 11. 12.,7,1,티렉TV,구독자 1.99만명,https://www.youtube.com/watch?v=qtXqrCYlmLo
V4리뷰 나오면 안되는 게임,조회수 27회,2019. 11. 12.,좋아요,싫어요,[youtube]씽탱,구독자 88명,https://www.youtube.com/watch?v=lybIrP4q4wU
"[유림] V4 (브이포) 무과금,초보자팁 5가지!! 알고 시작하면 좋은정보",조회수 75회,2019. 11. 12.,8,0,유림이네,구독자 44명,https://www.youtube.com/watch?v=pMCO8x7PUcs
V4 50레벨이상 무과금 유저 '생산 연금술 선택이 아닌 필수입니다' [모바일게임/브이포/류썸],"조회수 5,947회",2019. 11. 12.,31,2,류썸RyuSSum,구독자 6.78천명,https://www.youtube.com/watch?v=_C5osVj4-Jo
V4 로리로리 엑슬러 사냥스킬 고민이신가요?! 데미지 분석해왔습니다 [란마],"조회수 2,416회",2019. 11. 12.,9,0,란마,구독자 6.31만명,https://www.youtube.com/watch?v=mxTPwSmp71o
녹스(NOX)앱플레이어 V4(브이포) 최적화 플레이 영상,조회수 66회,2019. 11. 12.,0,0,DW.S GAME,구독자 5명,https://www.youtube.com/watch?v=8miMGJ6eHqk
[[모바일 게임]]넥슨 V4 테스트 영상 1편,조회수 27회,2019. 11. 13.,2,0,혼놀마스터,구독자 5명,https://www.youtube.com/watch?v=NQ2AU5sEZ8s
First Summoner / PvP DECK / Fast Game V4.2 / BATTLEFIELD / Gameplay #62,조회수 520회,2019. 11. 13.,16,0,GongBotTo,구독자 1.06천명,https://www.youtube.com/watch?v=SvZprwdNHFk
V4 무과금 보스잡아서 스펙업 고고 !,조회수 16회,2019. 11. 13.,0,0,"아탱TV, 종합게임채널",구독자 7명,https://www.youtube.com/watch?v=RIC4OhW3q-M
[유화연] V4 하루만에 8만전투력 랭커캐릭환승,"조회수 1,219회",2019. 11. 13.,3,0,유화연TV,구독자 926명,https://www.youtube.com/watch?v=se79_yY0OxU
[V4] v4에서 하라는 게임은 안하고 여 캐릭터에게 작업을 걸었습니다 . 음매의 브이포 플레이 1회차! [롤큐 / 음매],조회수 700회,2019. 11. 13.,23,0,게임리뷰어 음매 Moo,구독자 2.45만명,https://www.youtube.com/watch?v=Q_Zenwgkm4k
V4[브이포] 망겜 이라면서 흥하는 이유! 넥슨 MMORPG 모바일 게임 [휘재TV - V4],"조회수 26,260회",2019. 11. 13.,좋아요,싫어요,휘재TV,구독자 6.23천명,https://www.youtube.com/watch?v=Sz2keuE6LZI
'V4' 브이포 4화 무기 방어구 등 장비 강화를 해봄 | 겜생(GAMELIFE),조회수 159회,2019. 11. 13.,2,0,겜생,,https://www.youtube.com/watch?v=OBRAhTpwR0A
