title,count,date,good_count,bad_count,youtuber,subscriber,url
2019년에 해보는 전설의 모바일게임 | 게임빌 프로야구 2010,"조회수 13,609회",2019. 1. 23.,39,10,달의향,구독자 906명,https://www.youtube.com/watch?v=WUNb9CfQHjo
[게임빌 프로야구 슈퍼스타즈] 잊혀져 가던 피쳐폰 게임 프로야구 2019년 새롭게 돌아오다! 지금 사전 등록 사전 예약 중!,"조회수 1,828회",2019. 10. 25.,13,3,겜뚜껑,구독자 1.55천명,https://www.youtube.com/watch?v=yBVPq6YcnGI
[학살의 흡혈귀] 게임빌 프로야구 슈퍼스타즈 사전예약 진행중...,조회수 27회,2019. 11. 13.,0,0,어둠의지배자,구독자 2명,https://www.youtube.com/watch?v=3846C7uLY-Q
[게임빌프로야구] 인터뷰 영상 - PD편,"조회수 1,211회",2019. 11. 18.,17,4,게임빌프로야구슈퍼스타즈,구독자 144명,https://www.youtube.com/watch?v=FDLa6htkD-U
[게임빌프로야구] 인터뷰 영상 - TD편,조회수 288회,2019. 11. 19.,4,0,게임빌프로야구슈퍼스타즈,구독자 144명,https://www.youtube.com/watch?v=PsKiUGfMPHQ
[게임빌프로야구] 인터뷰 영상 - AD편,조회수 662회,2019. 11. 19.,9,2,게임빌프로야구슈퍼스타즈,구독자 144명,https://www.youtube.com/watch?v=Ai_wTbCWjj8
[게임빌프로야구] 인터뷰 영상 - CD편,조회수 522회,2019. 11. 20.,12,4,게임빌프로야구슈퍼스타즈,구독자 144명,https://www.youtube.com/watch?v=xYQ5U2kVOsw
"""생각보다 어렵네..."" 게임빌 프로야구 슈퍼스타즈",조회수 776회,2019. 11. 25.,1,1,인벤,구독자 14.6만명,https://www.youtube.com/watch?v=NzCXRRBcs_8
게임빌프로야구 슈퍼스타즈,조회수 245회,2019. 11. 25.,0,1,KON SODA,구독자 101명,https://www.youtube.com/watch?v=SUzWWMOsujM
게임빌 프로야구 수퍼스타즈 플레이 영상,조회수 10회,2019. 11. 25.,0,0,이재덕,구독자 81명,https://www.youtube.com/watch?v=FJFPkdSe-4k
게임빌 프로야구 슈퍼스타즈가 개인적으로 실망스러웠던 이유,조회수 154회,2019. 11. 25.,2,1,COLD *,구독자 48명,https://www.youtube.com/watch?v=1q3PD3MLDsA
[게임빌 프로야구 슈퍼스타즈] 추억팔이로 역대급 똥망겜 출시했네.. 리뷰,"조회수 31,881회",2019. 11. 25.,277,37,짝태TV,구독자 6.72천명,https://www.youtube.com/watch?v=9oVyy76lAI0
게임빌 프로야구 슈퍼스타즈 본격 리뷰! 많이 기다리셨습니다~,"조회수 1,282회",2019. 11. 25.,8,5,Mr.탄산,구독자 21명,https://www.youtube.com/watch?v=LcxUxFxHqIY
게임빌 프로야구 슈퍼스타즈) 오늘 출시한 모바일 야구게임 소개합니다!,"조회수 2,296회",2019. 11. 25.,27,1,쥐도리날아라,구독자 5.26천명,https://www.youtube.com/watch?v=RXdneOcDjVE
바쁜사람을 위한 겜프야 슈즈(게임빌 프로야구 슈퍼스타즈) 리뷰!,조회수 232회,2019. 11. 25.,4,0,Mr.탄산,구독자 21명,https://www.youtube.com/watch?v=zrvuI7lGCqI
PROFESSİONAL BASEBALL SÜPERSTARS [ 게임빌프로야구 슈퍼스타즈 ] NEW MOBİLE GAME [ 2019 ],조회수 54회,2019. 11. 25.,2,1,YNR,,https://www.youtube.com/watch?v=hIpt4-GGX4Y
게임빌 프로야구 슈퍼스타즈.. 직구만 던지는 상남자 투수,조회수 319회,2019. 11. 25.,3,0,세상의 모든 특이폼 SEMOT,구독자 320명,https://www.youtube.com/watch?v=wFcjQgtppOA
[게임빌프로야구] 게임소개 영상,"조회수 3,562회",2019. 11. 25.,32,11,게임빌프로야구슈퍼스타즈,구독자 144명,https://www.youtube.com/watch?v=ko3T9a-8r24
[프로야구 슈퍼스타즈] 강타자편!! 공략/Tip 얼른 와~,"조회수 2,736회",2019. 11. 25.,6,12,홍브로,구독자 33명,https://www.youtube.com/watch?v=5vernRUCdlo
[리니지2m] 게임이 아니라 도박을 만들었네? 최악의 x망겜 리뷰,"조회수 335,234회",2019. 11. 26.,4.6천,163,짝태TV,구독자 6.72천명,https://www.youtube.com/watch?v=oTpCJoPtFGs
[신작] 와 7년만에 이 갓겜이 나올줄은 몰랐습니다ㄷㄷ 게임빌 프로야구 슈퍼스타즈 모바일게임 - 아매킹,조회수 76회,2019. 11. 26.,0,0,아매킹TV,구독자 466명,https://www.youtube.com/watch?v=_WTlR8zVGBY
신작 게임빌 프로야구-10년 서비스를 목표로??,조회수 19회,2019. 11. 26.,1,0,태효니네#의게임채널,구독자 14명,https://www.youtube.com/watch?v=QC7yOQudfCQ
게임빌 프로야구 슈퍼스타즈-야구겜인가? 연애게임인가...?,조회수 106회,2019. 11. 26.,1,0,티윤,,https://www.youtube.com/watch?v=Cez52CGkpak
게임빌 프로야구 슈퍼스타즈 간단 리뷰 + 게임 플레이,조회수 738회,2019. 11. 26.,3,0,겜조TV,구독자 3.89천명,https://www.youtube.com/watch?v=otz5BTyh8w0
'게임빌프로야구 슈퍼스타즈' 모바일 야구게임을 해봄 | 겜생(GAMELIFE),조회수 626회,2019. 11. 26.,3,2,겜생,,https://www.youtube.com/watch?v=E7oDNa7QMqc
[게임빌 프로야구 슈퍼스타즈] 리니지2M 생방 예정인데 와줄꼬야?ㅋ 모바일게임 리뷰 엉아,"조회수 5,655회",2019. 11. 26.,125,5,엉아 TV,구독자 1.54만명,https://www.youtube.com/watch?v=NlrkpYxbPpQ
게임빌 프로야구 슈퍼스타즈,조회수 83회,2019. 11. 26.,0,0,MrMJY8,구독자 2.25만명,https://www.youtube.com/watch?v=ECzEL0W6ZaQ
게임빌 프로야구 슈퍼스타즈) 쥐도리 3루수 키우기 1주차,조회수 364회,2019. 11. 27.,4,0,쥐도리날아라,구독자 5.26천명,https://www.youtube.com/watch?v=PufuycLSwL0
[게임빌 프로야구 슈퍼스타즈] 생각보다 할만한데요?,"조회수 5,189회",2019. 11. 27.,24,27,야삐TV,구독자 4.56천명,https://www.youtube.com/watch?v=pqH1Zg3luRs
게임빌 프로야구 슈퍼스타즈) 3루수키우기 2주차부터 6주차까지! 홈런도 칩니다!,조회수 849회,2019. 11. 27.,9,1,쥐도리날아라,구독자 5.26천명,https://www.youtube.com/watch?v=y6NWZISFUeI
[게임빌 프로야구 슈퍼스타즈] 레전드의 귀환! 나만의 선수가 6등분의 선수로 돌아왔다...,조회수 345회,2019. 11. 27.,5,0,잼둥,구독자 459명,https://www.youtube.com/watch?v=Bjnfjhw0RyM
게임빌프로야구 슈퍼스타즈 프리미엄 영입에서 0.1271%가 나왔다!!!,조회수 101회,2019. 11. 28.,2,0,play game,구독자 1명,https://www.youtube.com/watch?v=G8og3iWSSAk
[게임빌 프로야구 슈퍼스타즈 리뷰]모바일계 레전드 프로야구를 기억하시나요?,조회수 359회,2019. 11. 28.,15,0,콩천,,https://www.youtube.com/watch?v=-Z1z9r39it0
[게임빌 프로야구 슈퍼스타즈] 응퇴합니다. [박잔디],"조회수 1,710회",2019. 11. 28.,26,0,박잔디,구독자 1.18만명,https://www.youtube.com/watch?v=s7uNQE4NIz8
신작 모바일 야구게임 구경해보자! [게임빌 프로야구 슈퍼스타즈],"조회수 2,214회",2019. 11. 28.,46,2,모모88,구독자 3.93만명,https://www.youtube.com/watch?v=LlRGluMVGf8
[게임빌 프로야구 슈퍼스타즈]야구하라고,조회수 136회,2019. 11. 28.,1,1,김택견,구독자 164명,https://www.youtube.com/watch?v=JcZVIUse2IM
"게임빌 프로야구 슈퍼스타즈) 3루수 육성완료7주차, 플래닛 리그오픈",조회수 356회,2019. 11. 28.,5,1,쥐도리날아라,구독자 5.26천명,https://www.youtube.com/watch?v=PweEMuhci5c
[게임빌 프로야구 슈퍼스타즈] 내 동년배들은 다~ 이 게임했다.,조회수 515회,2019. 11. 28.,25,0,란란,구독자 2.82천명,https://www.youtube.com/watch?v=k3aCo9FDiHI
게임빌 프로야구 슈퍼스타즈로 이승엽을 키워보자!!,"조회수 1,894회",2019. 11. 28.,좋아요,싫어요,빠꿈 BGM,구독자 2.2만명,https://www.youtube.com/watch?v=tlRLxTyQhzw
드디어 후속작으로 나온 게임빌 프로야구 슈퍼스타 리뷰 및 평가,조회수 65회,2019. 11. 28.,7,0,GlaxyMaster,구독자 892명,https://www.youtube.com/watch?v=w8vBlbTlKZY
게임빌 프로야구 슈퍼스타즈 에서 0.0254%의 확률을 뜷었다!!!,조회수 52회,2019. 11. 29.,2,0,play game,구독자 1명,https://www.youtube.com/watch?v=H-HEbLiSKtw
