title,count,date,good_count,bad_count,youtuber,subscriber,url
계급장키우기 계급을 끝까지 올려서 보스 탱크 한 번 잡아야 보세요 심심할 때 즐기기 좋은 게임추천 mobile games sara han,조회수 721회,2019. 1. 1.,5,0,사라한,구독자 966명,https://www.youtube.com/watch?v=3jGNZXA2Ri8
하사가 보면 기분이 좋아지는 영상 [계급장 키우기],"조회수 297,750회",2019. 1. 11.,16,8,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=z6-DijrqWB0
소위가 보면 기분이 좋아지는 영상 [계급장 키우기],"조회수 415,345회",2019. 1. 23.,12,3,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=FAnBp0ohN5Y
상어가족 들으며 소위 키우기,"조회수 145,657회",2019. 1. 24.,9,1,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=SVNCLtukaag
대령이 보면 기분이 좋아지는 영상 [계급장 키우기],"조회수 930,674회",2019. 1. 26.,29,7,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=DBhjskr_GVg
이등병이 보면 기분이 좋아지는 영상 [계급장 키우기],"조회수 885,690회",2019. 1. 4.,30,6,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=LK7t-c5bL9M
부사관학교의 비밀,"조회수 3,132회",2019. 1. 4.,15,1,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=UU9qR_d8meg
럭키박스! 계급장을 뽑아봅시다!,"조회수 4,056회",2019. 1. 4.,11,2,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=pK_B3BR6YWM
계급장이 쏟아진다! 동원령 선포,"조회수 75,412회",2019. 1. 4.,11,1,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=jBazIK2AjBE
원수 다음 계급이 뭘까?,"조회수 120,594회",2019. 1. 4.,79,10,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=_GDwMZ4j53A
미국계급장은 어떻게 생겼을까?,"조회수 3,226회",2019. 1. 4.,16,2,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=hXbsiQpp-WI
사관학교의 비밀,"조회수 10,826회",2019. 1. 4.,32,6,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=5xqSbCl9pK0
힐러부터 제거하세요,"조회수 8,026회",2019. 1. 5.,16,3,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=nkmKhSCVA54
탱크가 탱커네요,"조회수 35,513회",2019. 1. 7.,28,3,럭키찬,구독자 1.31천명,https://www.youtube.com/watch?v=QIibSraT4yY
계급장 키우기1화,조회수 16회,2019. 10. 10.,0,0,핑거숙냅,,https://www.youtube.com/watch?v=fwW5s6ZbxkA
