title,count,date,good_count,bad_count,youtuber,subscriber,url
[기적의분식집] 요즘 핫한 게임이라해서 해봄 / PC 스팀 게임 리뷰,"조회수 63,754회",2019. 1. 13.,932,70,지존조세,구독자 11.5만명,https://www.youtube.com/watch?v=CEI2wW3pX-Q
[#16/최종화] [기적의분식집] - '필리아' 새드부터 진엔딩까지,"조회수 223,508회",2019. 1. 15.,1.4천,62,서농,구독자 11.9만명,https://www.youtube.com/watch?v=zMLcWO8-LT4
기적의 검,조회수 215회,2019. 10. 1.,0,3,이밴을하자,구독자 47명,https://www.youtube.com/watch?v=HUyNyfqNDMk
기적의검 플레이영상 양산형스웩,조회수 235회,2019. 10. 1.,0,0,전폴드,,https://www.youtube.com/watch?v=y-yt2OK7WXY
[기적의검 광고 모음 포함] 30초 스피드 리뷰,"조회수 60,735회",2019. 10. 1.,좋아요,싫어요,정뱀,구독자 512명,https://www.youtube.com/watch?v=iOAnE_4HgP4
기적의 검 광고 - 안젤리나 다닐로바,"조회수 3,026회",2019. 10. 14.,9,17,꼬깔콘,구독자 150명,https://www.youtube.com/watch?v=WW-YP6dR4fA
[기적의검 ] 그놈의 기적의검 제가 한번 해보겠습니다!,조회수 363회,2019. 10. 14.,15,1,황사부,구독자 165명,https://www.youtube.com/watch?v=nOG2HOYB9nc
기적의검,조회수 208회,2019. 10. 14.,1,1,한빛티비,구독자 1.18천명,https://www.youtube.com/watch?v=bPbv6w9Ee0g
중국산 기적의 검 한치도 예상에 벗어나지 않고 실망시키지 않았다. 역시 기대에 부흥하는 중국산 양산형 방치 RPG 게임,"조회수 22,583회",2019. 10. 15.,좋아요,싫어요,꼬무신TV,구독자 5.09천명,https://www.youtube.com/watch?v=eBPzXhPwL0g
기적의검 광고 모음 3탄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"조회수 31,986회",2019. 10. 16.,209,12,정뱀,구독자 512명,https://www.youtube.com/watch?v=Wbk7K_qMZYE
적당히 불편한 영화같은 자동 모바일 게임 - 기적의 검 - MOBILE화면용,조회수 81회,2019. 10. 18.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=goZY2mXnjm8
기적의검(정지훈),조회수 889회,2019. 10. 19.,4,3,정지훈바보멍청이,구독자 5명,https://www.youtube.com/watch?v=ijUx4WoJmMs
기좆의검,조회수 57회,2019. 10. 23.,2,0,센터와멜론,구독자 38명,https://www.youtube.com/watch?v=fi2JfG8obpc
고품격모바일리뷰 BJ천상천하-[기적의 검] -'또 돈은..뻘짓에 날린 게임이 추가 대는것인가 광고캐스팅에 반값이라도 더 게임에 투자해야할것을..ㅉㅉ'',조회수 383회,2019. 10. 28.,1,0,천상천하,,https://www.youtube.com/watch?v=2AE9cBf1UXg
2019 New Mobile game 기적의 검 feat.소지섭 게임맞나요?,조회수 133회,2019. 10. 28.,0,0,강초록TV,구독자 326명,https://www.youtube.com/watch?v=cHlRvzpd6Po
"모바일게임 글로리 리뷰! 2019 Hot Mobile game, Glory 구글 평점5점만점에 4.9!!",조회수 27회,2019. 10. 29.,1,0,강초록TV,구독자 326명,https://www.youtube.com/watch?v=-x7f-KBdYTk
기적의검을 해보았다......,조회수 18회,2019. 10. 29.,0,0,겜곰,구독자 29명,https://www.youtube.com/watch?v=F-6F52lkRtI
기적의검/악신,조회수 117회,2019. 10. 3.,0,0,악신,구독자 249명,https://www.youtube.com/watch?v=yify1WLoCYU
기적의검 직업별 플레이영상(세로모드게임) - 소지섭게임,조회수 592회,2019. 10. 30.,좋아요,싫어요,게임중독쟁이,,https://www.youtube.com/watch?v=rNq_DPs-oHs
4399 기적의검 방치형게임 플레이,조회수 417회,2019. 10. 31.,1,2,이재덕,구독자 82명,https://www.youtube.com/watch?v=6pI-GYu6nxQ
바이러스 감염으로 하반신 마비 기적의 치료법 등장,"조회수 2,092회",2019. 10. 6.,60,3,구당TV,구독자 8.26천명,https://www.youtube.com/watch?v=nMxyaYgll3g
[SM엔터테인먼트]레이 우롱 휴대폰의 모바일 게임 TV광고 [기적의 검 - 티저 편],조회수 61회,2019. 10. 6.,0,1,서울4호선469편성,구독자 283명,https://www.youtube.com/watch?v=VUpAVl52WAQ
[기적의검] 분명 리니지2M 인데 리니지2M이 아니다?! 모바일게임 리뷰 엉아 곽철용 화남 ㅋㅋ,"조회수 10,271회",2019. 10. 6.,141,12,엉아 TV,구독자 1.54만명,https://www.youtube.com/watch?v=VrMLzR8VcOk
[기적의검] 게임플레이,"조회수 7,208회",2019. 10. 7.,7,25,youTube칠피아,구독자 238명,https://www.youtube.com/watch?v=2iIIlVFpQ78
[기적의검] 경기장 랭킹 올리기,조회수 210회,2019. 10. 7.,2,0,youTube칠피아,구독자 238명,https://www.youtube.com/watch?v=bqEvT5xBPZM
'기적의 검' RPG 모바일게임을 해봄 | 겜생(GAMELIFE),"조회수 8,635회",2019. 10. 7.,13,27,겜생,,https://www.youtube.com/watch?v=2wAGEDOIbyc
소지섭이 광고하는 기적의검 갓겜인가?,조회수 311회,2019. 10. 8.,4,2,하경운,구독자 139명,https://www.youtube.com/watch?v=mKK3y6P9Qzg
[기적의검] 다같이 모여서 가즈아!! 보상!!,조회수 295회,2019. 10. 8.,2,0,youTube칠피아,구독자 238명,https://www.youtube.com/watch?v=1ww-praZbNk
기적의검 게임 플레이,조회수 286회,2019. 10. 9.,2,0,youTube칠피아,구독자 238명,https://www.youtube.com/watch?v=dZ6BuD9jpGc
기적의검 광고 모음2,"조회수 83,745회",2019. 10. 9.,446,94,정뱀,구독자 512명,https://www.youtube.com/watch?v=F05tg2vbFRo
모바일 오버워치 FPS 게임 / Ace Force 플레이 영상 / 중국 게임 너무 잘 만드네요,조회수 172회,2019. 11. 11.,5,0,경콩아,구독자 247명,https://www.youtube.com/watch?v=6Zpl7GPc3lk
기적의검 광고,"조회수 2,643회",2019. 11. 12.,16,3,도움!,구독자 25명,https://www.youtube.com/watch?v=Ow6pA4P51RU
[기적의검] 광고부터 갓겜이네?? 열받게 하지마라,"조회수 36,554회",2019. 11. 12.,362,28,짝태TV,구독자 6.73천명,https://www.youtube.com/watch?v=hydEvssiqcQ
기적의검 광고 ㅋㅋㅋㅋㅋ,조회수 606회,2019. 11. 14.,15,1,RUNI YOUTUBE,구독자 800명,https://www.youtube.com/watch?v=AxICSUdBVbQ
"기적의검 s1서버 닉:개 인성(화면가로) 쓰레기 공유,Miracle Sword S1Server Personality Waste Sharing,奇迹之剑s1服务器共享人性垃圾",조회수 294회,2019. 11. 15.,3,0,판텡,구독자 1.12천명,https://www.youtube.com/watch?v=hDJuzkGepMw
기적의 검!!!!,조회수 43회,2019. 11. 16.,1,1,박수박tv,구독자 1명,https://www.youtube.com/watch?v=dbMpilgaJZs
아직도 기적의검 하는흑우없제? 양산형본격리뷰,조회수 62회,2019. 11. 16.,1,0,행보케,,https://www.youtube.com/watch?v=zSzDVGZgMn8
하는게 기적같은 기적의검 플레이 해보았다!,조회수 182회,2019. 11. 16.,2,0,Y.R이랑,구독자 30명,https://www.youtube.com/watch?v=Sb3b8vGsJs4
기적의 검 광고 모음,"조회수 1,135회",2019. 11. 16.,3,3,규량인_RIN_TAR_ LOVE,구독자 97명,https://www.youtube.com/watch?v=9N-s7kEq8_c
기적의검,조회수 71회,2019. 11. 17.,1,0,TV보자,구독자 3명,https://www.youtube.com/watch?v=q16H1HCMO-M
기적의 검 광고 - 안젤리나 다닐로바,조회수 327회,2019. 11. 17.,5,3,꼬깔콘,구독자 150명,https://www.youtube.com/watch?v=6KaHhP-tBsA
#기적의검#시간때우기#시간가는줄모름 시간때우기 좋은게임 시작붙어 바쁩니다 정신없이 퀘스트 완료 정신없이 보스가나옵니다,조회수 29회,2019. 11. 18.,2,2,미친불소,구독자 16명,https://www.youtube.com/watch?v=XSxxw7b5Dj4
기적의 검 리뷰,조회수 53회,2019. 11. 18.,4,0,에드업,구독자 18명,https://www.youtube.com/watch?v=wdgCGLcGJY8
기적의 그 게임 280렙을 찍고 2탄을 찍어보았다!,조회수 291회,2019. 11. 19.,2,1,Y.R이랑,구독자 30명,https://www.youtube.com/watch?v=6m_U6NKkX5E
유튜브에서 맨날 보이는 그 광고 제가 해보겠습니다,조회수 85회,2019. 11. 2.,0,0,YouTube 더운,구독자 9명,https://www.youtube.com/watch?v=Z50TlSbz7Q0
어색한 한국어로 어떻게든 빨아보려는 중국 양산형 게임 기적의 검,"조회수 1,313회",2019. 11. 2.,53,0,하얀곰돌님,구독자 4.68천명,https://www.youtube.com/watch?v=yim6s8zo0AU
[기적의 검/RPG 게임] 요즘 핫한 게임을 해보았다.,조회수 40회,2019. 11. 20.,0,0,민윤,구독자 2명,https://www.youtube.com/watch?v=1UovYFW8n70
기적의 검 리뷰,조회수 59회,2019. 11. 20.,1,0,비케이g,구독자 13명,https://www.youtube.com/watch?v=HSOWDZdKd6o
기적의검 보스처치,조회수 43회,2019. 11. 21.,0,0,한빛티비,구독자 1.18천명,https://www.youtube.com/watch?v=MXBKSKySEb0
제가 직접 기적의검을 해봤습니다.,조회수 15회,2019. 11. 21.,2,0,겜푸리,구독자 3명,https://www.youtube.com/watch?v=HSaWoHBUUC4
기적의 검 제가 해보겠습니다,조회수 4회,2019. 11. 22.,0,0,ggumeei 8588,구독자 2명,https://www.youtube.com/watch?v=a1XV_ewjh-g
[기적의검 리뷰] 이게 매출 4위라고?,"조회수 7,773회",2019. 11. 22.,54,6,"엉기의 잡학사전, 시간 때우는 게임 채널",구독자 751명,https://www.youtube.com/watch?v=BDqR0aOAmls
너무 좆은 기적의검 플레이^^,조회수 16회,2019. 11. 22.,0,0,Korea [ASMR SOUND],구독자 2명,https://www.youtube.com/watch?v=Cqil1J1rnpE
[기적의검]바쁜분들을 위해서 요약해봤습니다,조회수 330회,2019. 11. 22.,4,0,Mr.탄산,구독자 21명,https://www.youtube.com/watch?v=iesszCz4D0c
[기적의검] 해보라고 해서 하고만든 사이다 가득담긴 리뷰입니다^^,조회수 91회,2019. 11. 23.,4,0,Mr.탄산,구독자 21명,https://www.youtube.com/watch?v=ToZUl--ksAI
기적의검,조회수 13회,2019. 11. 23.,0,0,임시현,구독자 3명,https://www.youtube.com/watch?v=tmpxSXeJp9c
기적의검 광고 4탄 ㅣ 역대 최다 광고 개수ㅋㅋㅋ,"조회수 9,959회",2019. 11. 23.,91,8,정뱀,구독자 512명,https://www.youtube.com/watch?v=roSH1rCOCHo
