title,count,date,good_count,bad_count,youtuber,subscriber,url
'꽃피는 달빛' 01화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"조회수 8,766회",2019. 10. 13.,32,3,겜생,,https://www.youtube.com/watch?v=ZAwtx9K9jiE
"꽃피는달빛, 재미있게 하고 말았습니다","조회수 7,408회",2019. 10. 13.,42,4,디야TV,,https://www.youtube.com/watch?v=K2net9_CLcM
'꽃피는 달빛' 02화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"조회수 2,915회",2019. 10. 14.,12,2,겜생,,https://www.youtube.com/watch?v=0-mDuj7-r10
꽃피는 달빛 플레이/궁중암투 드라마/모바일게임,"조회수 1,139회",2019. 10. 15.,5,2,게임똥 보고서,구독자 1.52천명,https://www.youtube.com/watch?v=X9HOkGqUWTM
모바일 게임(*꽃피는 달빛)플레이 영상~💜💟 Game play movie,조회수 461회,2019. 10. 15.,4,0,서아리별,구독자 8명,https://www.youtube.com/watch?v=chSuKF9J9ow
'꽃피는 달빛' 03화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"조회수 1,874회",2019. 10. 16.,10,0,겜생,,https://www.youtube.com/watch?v=eT7rzErdNfc
"꽃피는달빛, 또 했습니다",조회수 670회,2019. 10. 19.,4,0,디야TV,,https://www.youtube.com/watch?v=9ClwxFybo_8
'꽃피는 달빛' 04화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"조회수 1,021회",2019. 10. 19.,3,0,겜생,,https://www.youtube.com/watch?v=B1BR-cEBueU
꽃피는달빛 제1장,조회수 283회,2019. 10. 20.,1,1,남형,구독자 20명,https://www.youtube.com/watch?v=DxQCqYVfMow
꽃피는달빛 1부뒷부분,조회수 35회,2019. 10. 20.,0,0,남형,구독자 20명,https://www.youtube.com/watch?v=g7KUzniHqEI
꽃피는 달빛 앞부분미리보기편,조회수 81회,2019. 10. 20.,0,0,남형,구독자 20명,https://www.youtube.com/watch?v=HzvKPwIt_PA
갑자기 과거로 넘어가는 모바일 게임 - 꽃피는달빛 - MOBILE화면용,조회수 28회,2019. 10. 22.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=WXA_u3w2OV0
꽃피는 달빛 동료 콘텐츠,조회수 116회,2019. 10. 22.,1,2,꽃피는 달빛,구독자 56명,https://www.youtube.com/watch?v=PmdQ4MgG8EM
꽃피는 달빛 옷장 콘텐츠,조회수 400회,2019. 10. 22.,1,4,꽃피는 달빛,구독자 56명,https://www.youtube.com/watch?v=h2FCo0B1GGo
꽃피는 달빛 진보각 콘텐츠,조회수 175회,2019. 10. 22.,2,4,꽃피는 달빛,구독자 56명,https://www.youtube.com/watch?v=V6MSZVxOZeA
꽃피는 달빛 메인 스토리,조회수 430회,2019. 10. 22.,3,4,꽃피는 달빛,구독자 56명,https://www.youtube.com/watch?v=MP-iHB0h9FM
[꽃피는 달빛]뀨,조회수 44회,2019. 10. 23.,0,0,로뎀나무TV,구독자 27명,https://www.youtube.com/watch?v=aFR6UE2XmGQ
'꽃피는 달빛' 05화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 996회,2019. 10. 23.,4,0,겜생,,https://www.youtube.com/watch?v=BDwcvhfQf44
'꽃피는 달빛' 06화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 904회,2019. 10. 26.,6,0,겜생,,https://www.youtube.com/watch?v=vmDZQFyE2Xo
꽃피는 달빛 제자 콘텐츠,조회수 19회,2019. 10. 31.,0,0,yuqing zhang,,https://www.youtube.com/watch?v=6diKqY1f24M
꽃피는 달빛 궁투 콘텐츠,조회수 29회,2019. 10. 31.,0,0,yuqing zhang,,https://www.youtube.com/watch?v=GxZvTHTbUsU
꽃피는 달빛 궁투 콘텐츠,조회수 117회,2019. 10. 31.,0,2,꽃피는 달빛,구독자 56명,https://www.youtube.com/watch?v=zVoFEYTm850
꽃피는달빛 지기 콘텐츠,조회수 178회,2019. 10. 31.,0,8,꽃피는 달빛,구독자 56명,https://www.youtube.com/watch?v=XdIxR9FG2NQ
꽃피는달빛 제자 콘텐츠,조회수 193회,2019. 10. 31.,0,2,꽃피는 달빛,구독자 56명,https://www.youtube.com/watch?v=QivfQEGuXZM
'꽃피는 달빛' 07화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 721회,2019. 11. 1.,5,1,겜생,,https://www.youtube.com/watch?v=pRgUruyAWmo
꽃피는 달빛첫번째,조회수 950회,2019. 11. 10.,2,0,성미,구독자 222명,https://www.youtube.com/watch?v=6Gh3-yhJB7U
'꽃피는 달빛' 09화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 788회,2019. 11. 10.,10,0,겜생,,https://www.youtube.com/watch?v=eNL48ymLuI8
'꽃피는 달빛' 10화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),"조회수 1,121회",2019. 11. 12.,10,1,겜생,,https://www.youtube.com/watch?v=zWUrlr94eMA
꽃피는 달빛 - 박민영 TV CF,조회수 59회,2019. 11. 13.,0,0,정보공유,구독자 880명,https://www.youtube.com/watch?v=zJOOc6Rljq4
꽃피는 달빛1장,조회수 160회,2019. 11. 14.,0,0,성미,구독자 222명,https://www.youtube.com/watch?v=96jrIjDFIM0
꽃피는달빛 2부,조회수 26회,2019. 11. 20.,0,0,게임주주,구독자 2명,https://www.youtube.com/watch?v=rM46X9EoXS0
"[꽃피는 달빛] 타임슬립으로 낯선 세상에 떨어진 여자 주인공, 그리고 그녀를 둘러싼 왕들... 연애 시뮬레이션 게임 | 김덕구 게임리뷰",조회수 253회,2019. 11. 24.,좋아요,싫어요,장작TV 게임리뷰,구독자 1.73천명,https://www.youtube.com/watch?v=RlLBQpJa1NI
'꽃피는 달빛' 11화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 555회,2019. 11. 29.,4,0,겜생,,https://www.youtube.com/watch?v=9scoGBPakH0
꽃피는달빛 1부,조회수 176회,2019. 11. 3.,2,0,게임주주,구독자 2명,https://www.youtube.com/watch?v=tm94Uc0etP4
갑자기 과거로 넘어가는 모바일 게임 - 꽃피는달빛 - PC화면용,조회수 13회,2019. 11. 3.,1,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=XfbNAyN4NHM
화질 굿!!! 꽃피는 달빛,조회수 8회,2019. 11. 30.,0,0,코카콜라tv,구독자 15명,https://www.youtube.com/watch?v=VUTzQpfjI6g
꽃피는 달빛 초반 게임 플레이 영상,조회수 970회,2019. 11. 8.,11,0,게임셋 Gameset,,https://www.youtube.com/watch?v=8Fu7JYhsChc
'꽃피는 달빛' 08화 궁중 러브스토리 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 713회,2019. 11. 8.,3,0,겜생,,https://www.youtube.com/watch?v=FvLINKlWnb0
#박민영 꽃피는 달빛,"조회수 2,822회",2019. 11. 9.,27,1,kophilfamily코필가족,구독자 1.26천명,https://www.youtube.com/watch?v=rI53ODxBXZg
