title,count,date,good_count,bad_count,youtuber,subscriber,url
"[라이즈 오브 킹덤즈] 칼스루에 의식 , 최고의 집정관 ,최강의 지도자 이벤트. 어떻게 하면 유익하게 이벤트를 즐길수 있을까???이벤트 공략!!![말코]","조회수 7,400회",2019. 10. 1.,30,6,말코,구독자 1.49천명,https://www.youtube.com/watch?v=tewB8KawkVE
라이즈 오브 킹덤즈 - 무과금 생존기 9일차. 솔플은 불가. 무과금 OK!,조회수 226회,2019. 10. 1.,0,0,지나인,구독자 2.03천명,https://www.youtube.com/watch?v=KAWuBnW1P3I
[라이즈오브킹덤즈 - 라오킹] 리처드 뽑기 쉽네! 시간 별로 안걸리는데?ㅎㅎ 오늘은 뽑기만! 금방 업시켜야지!,"조회수 2,936회",2019. 10. 10.,37,4,BLUE DUST 푸른먼지,구독자 536명,https://www.youtube.com/watch?v=ukmoy2AmnTw
"라이즈오브킹덤즈] 5티어 100만 대군!! 서버 1등의 힘!! ""하도 맞아서 일렀습니다..."" 40세 일름보","조회수 63,297회",2019. 10. 10.,좋아요,싫어요,ZICO TV커맨더지코,구독자 14.5만명,https://www.youtube.com/watch?v=ThPrBTyEp-E
[라이즈 오브 킹덤즈]연맹원들과 서로 이득을 취하기 위한 두가지 약속!!연맹 리더가 알아두면 핵 꿀팁 성장 전략 두가지를 공개 합니다!!!,"조회수 2,667회",2019. 10. 10.,33,1,말코,구독자 1.49천명,https://www.youtube.com/watch?v=G7Dyk_xcSQI
[라이즈 오브 킹덤즈] 라오킹 논란에 대해 알아보자! | 김냥코 게임썰,"조회수 7,860회",2019. 10. 10.,좋아요,싫어요,장작TV 게임리뷰,구독자 1.72천명,https://www.youtube.com/watch?v=6VucmSNnthA
알고보니 이 게임 땅따먹기 게임이였어 I 노돌리 라이즈오브킹덤즈,"조회수 10,742회",2019. 10. 11.,121,227,노돌리,구독자 24만명,https://www.youtube.com/watch?v=5oNTrt9DrQ4
"광고로 말아먹는 ""그 게임"", 라이즈 오브 킹덤즈 심플 리뷰","조회수 3,679회",2019. 10. 11.,38,10,"엉기의 잡학사전, 시간 때우는 게임 채널",구독자 749명,https://www.youtube.com/watch?v=5604rvHfl-U
이 게임 하다가 매국노 될뻔 했던 이야기 I 노돌리 라이즈오브킹덤즈,"조회수 45,268회",2019. 10. 11.,536,465,노돌리,구독자 24만명,https://www.youtube.com/watch?v=X-Yig0WrA9k
[라이즈 오브 킹덤즈]연맹 요새 및 깃발 건설 및 전투 전략!!초소 점령 없이 다음 존으로 점프가 가능 하다고??[말코],"조회수 1,754회",2019. 10. 12.,13,0,말코,구독자 1.49천명,https://www.youtube.com/watch?v=Byl31daVSqw
