title,count,date,good_count,bad_count,youtuber,subscriber,url
"블루스택4 최초 64비트 버전 출시(리니지 레볼루션,리니지2M,블소 레볼루션,검은사막 모바일)","조회수 5,318회",2019. 1. 19.,34,14,제이,구독자 2.9만명,https://www.youtube.com/watch?v=3FVfn2jRLYY
[리니지2m] 무과금분들을 위한 최종 직업 추천 TOP5,"조회수 192,087회",2019. 10. 14.,393,138,쵸튜브[쵸피],,https://www.youtube.com/watch?v=4zzHbWbkhNQ
[리니지2M 쌈용] 드디어 캐릭터 생성! 힐러 클래스 분석해보겠습니다,"조회수 36,773회",2019. 10. 19.,138,25,쌈용BJ,구독자 4.74만명,https://www.youtube.com/watch?v=u8mPo_IeN-8
#Lineage2M #Character #REGINA #리니지2m,조회수 188회,2019. 10. 19.,9,0,201TV,,https://www.youtube.com/watch?v=Evp6IR4WQ6o
Lineage 2M - How to enhance Bow weapon.,조회수 446회,2019. 10. 19.,1,0,De'Marcus Aundre Official,구독자 8명,https://www.youtube.com/watch?v=ufCDrUNMCOg
[고씨형제]리니지2M 사전예약! 직업소개 11만원 준비완료 ㅋㅋㅋㅋㅋㅋㅋLineage2 Mobile Introduction,조회수 545회,2019. 10. 19.,9,0,고씨형제KO bros,구독자 73명,https://www.youtube.com/watch?v=QEeCxOyieOA
#리니지2M 을 색다르게 그 시작은 #퍼플#PURPLE,조회수 7회,2019. 11. 19.,1,0,kophilfamily코필가족,구독자 1.26천명,https://www.youtube.com/watch?v=tQccnYBXh-k
Lineage 2M (KR) - New logo reveal trailer,"조회수 1,223회",2019. 11. 19.,좋아요,싫어요,MMO Culture,,https://www.youtube.com/watch?v=nm_8Gs3RssI
[렌] [리니지2M] [리니지M] 11월 구독자 이벤트 설명 영상! 꼭 끝까지 들으세요! (12월 1일 이벤트 종료되었습니다) Lineage2M,"조회수 3,550회",2019. 11. 19.,363,1,렌 [리니지2M],구독자 734명,https://www.youtube.com/watch?v=bjWPSKlOQXg
"[PURPLE] Ep. 2 : 리니지2M을 색다르게, 그 시작은 퍼플(PURPLE)","조회수 5,604회",2019. 11. 19.,24,2,엔씨 퍼플,구독자 438명,https://www.youtube.com/watch?v=tGsjR9wgqmk
"[PURPLE] Ep. 2 : 리니지2M을 색다르게, 그 시작은 퍼플(PURPLE)","조회수 36,673회",2019. 11. 19.,148,37,엔씨소프트,구독자 10.5만명,https://www.youtube.com/watch?v=Mxm6vfsXSuc
[Lineage2M] 리니지2M 신규 B.I 공개,"조회수 31,507회",2019. 11. 19.,99,38,엔씨소프트,구독자 10.5만명,https://www.youtube.com/watch?v=NCbh5TJICb0
리니지2M 플레이 영상분석,"조회수 26,996회",2019. 11. 19.,121,20,겜알이TV,구독자 1.34천명,https://www.youtube.com/watch?v=S8Tr3j7BVp0
리니지2m 과금시스템 과연 얼마나 심하길래?,"조회수 5,789회",2019. 11. 19.,37,3,G-Man지맨,구독자 3.02천명,https://www.youtube.com/watch?v=uCOIdVyo7bk
"[PURPLE] 리니지2M을 색다르게, 그 시작은 퍼플(PURPLE)","조회수 4,908회",2019. 11. 19.,65,10,엔씨소프트,구독자 10.5만명,https://www.youtube.com/watch?v=tZQNtj5uYQ0
리니지 2M 직업추천 6가지만 알면 완벽하다!,"조회수 97,242회",2019. 11. 21.,299,76,잼따,구독자 3.01천명,https://www.youtube.com/watch?v=epiR5OJFUSg
[리니지2m] 어떤 직업이 가장 좋을까?(종족별 스텟 및 무기 총정리),"조회수 34,771회",2019. 11. 23.,137,19,G-Man지맨,구독자 3.02천명,https://www.youtube.com/watch?v=Dy4QuVXKAgs
리니지2M 미공개 영상! 무과금러가 과금러에게 덤비면 벌어지는 일ㅋㅋ NC MMORPG 모바일 게임 [휘재TV - Lineage2M],"조회수 66,810회",2019. 11. 23.,좋아요,싫어요,휘재TV,구독자 6.22천명,https://www.youtube.com/watch?v=CO2wycvH6Bs
리니지2M 25일 현재 사전 다운로드 시작~! (전용 앱플레이어 퍼플도 함께),조회수 149회,2019. 11. 24.,0,0,아이엠,,https://www.youtube.com/watch?v=CnPMwBnVK7U
Lineage 2m new High Graphics Game,조회수 106회,2019. 11. 24.,2,1,NOFAKE,,https://www.youtube.com/watch?v=L5FzAPyyDxg
Sudah Bisa di Download! - Lineage 2M (Android/iOS),"조회수 42,831회",2019. 11. 24.,695,24,Lein Xceed,구독자 20.9만명,https://www.youtube.com/watch?v=b8g72ww6zro
LINEAGE 2M - Grand Open 27/11/2019,조회수 32회,2019. 11. 24.,1,0,Center Game,,https://www.youtube.com/watch?v=JovCD2Plbe0
"리니지2M 클래스 선택 전 필독! 무기, 종족, 전직의 개념까지 / 직업 추천","조회수 18,675회",2019. 11. 25.,39,6,리니지2M - CH:NPC,구독자 1.37천명,https://www.youtube.com/watch?v=olURM7bCt5Q
Lineage 2M Pre-download starts now.,조회수 42회,2019. 11. 25.,2,0,ติดเกม by Vam,구독자 20명,https://www.youtube.com/watch?v=aICbicdeyJQ
리니지2M 오프닝 영상 리니지 2 모바일 출시임박 lineage2m,조회수 98회,2019. 11. 25.,9,0,일구형의 게임티비,구독자 444명,https://www.youtube.com/watch?v=EYG2NDG_2yg
리니지2m 퍼플 세계 최초로 접속했습니다 1억 준비 리니지2M Lineage2M [기뉴다],"조회수 42,006회",2019. 11. 25.,좋아요,싫어요,기뉴다GINEWDA,구독자 10.9만명,https://www.youtube.com/watch?v=dbtBo0lPi8s
Lineage 2 M - 리니지2M(19) - Trailer / mmorpg,조회수 314회,2019. 11. 25.,9,1,Gry Mobilne - Mobile Games Rev,,https://www.youtube.com/watch?v=sgw9ictvf6U
Lineage 2M: 19 (pre download) 27/11 Open game.,조회수 47회,2019. 11. 25.,1,1,Hsai Htaung,,https://www.youtube.com/watch?v=4MMO5XA9VLI
Lineage 2M Gameplay [Android/iOS] KR,조회수 339회,2019. 11. 26.,6,0,AKaMiKz,구독자 1.24만명,https://www.youtube.com/watch?v=XAB4GxuJANk
LINEAGE 2M (KR) Cinematic Trailler,조회수 1회,2019. 11. 26.,0,0,TapGameplay123,,https://www.youtube.com/watch?v=fukLlxaFvO4
Lineage 2M (19) - Grand Open | Android/IOS MMORPG Gameplay,조회수 31회,2019. 11. 26.,1,0,TapGameplay123,,https://www.youtube.com/watch?v=manNFTrkYe4
Sa Wakas Lineage 2M (Open World MMORPG) Ph Gameplay Review [Android/IOS/PC] Korean Ver.,"조회수 5,057회",2019. 11. 26.,27,3,PH MOBILE & PC GAMEPLAY REVIEW,구독자 1.26만명,https://www.youtube.com/watch?v=H3En_ILYDXI
Lineage 2M first impressions gameplay | 리니지2M19,조회수 54회,2019. 11. 26.,2,0,Onikiri Gaming,,https://www.youtube.com/watch?v=E2eijsdOx2Q
LINEAGE 2M : 19 (KR) | FULL GAMEPLAY (#1) HIGH GRAPHICS,"조회수 2,207회",2019. 11. 26.,61,2,X7studio,구독자 2.93만명,https://www.youtube.com/watch?v=aKtn_EX-gOg
Lineage 2M : 19 (18+) Adult Version [60fps] First Impressions and Gameplay,조회수 69회,2019. 11. 26.,1,0,dailyTube,,https://www.youtube.com/watch?v=iBUbMO4uPMk
리니지2M 다운로드 2가지 버전이 존재 12세or19세 Lineage2M,조회수 287회,2019. 11. 26.,2,0,Super K,,https://www.youtube.com/watch?v=vLOEQi3idHU
