title,count,date,good_count,bad_count,youtuber,subscriber,url
마기아 카르마 사가 에필로그,조회수 31회,2019. 10. 28.,1,0,아기팡팡,구독자 41명,https://www.youtube.com/watch?v=5cuYf05jjYc
신작 마기아 카르마 사가,조회수 428회,2019. 10. 28.,2,0,아기팡팡,구독자 41명,https://www.youtube.com/watch?v=uvBNnMyjO6s
마기아 : 카르마사가 모바일액션RPG 초반플레이!!,"조회수 1,757회",2019. 10. 28.,5,1,리얼파일,구독자 1.98천명,https://www.youtube.com/watch?v=PW7y0NTjvWg
[Magia] 마기아 카르마사가 초반플레이 25분 무편집 인게임,조회수 482회,2019. 10. 29.,4,0,외로이,구독자 2.54천명,https://www.youtube.com/watch?v=0N5EYawRaqo
[마기아:카르마사가] 넥슨 나 버리고 V4 잘되나 두고보자!! ㅋ 모바일게임 리뷰 엉아,"조회수 14,265회",2019. 10. 29.,166,7,엉아 TV,구독자 1.54만명,https://www.youtube.com/watch?v=ADbxbk6J_10
마기아 블랙샤크2 메르토아 윈 실룬 플레이,조회수 61회,2019. 10. 29.,0,0,InvenMovieA,구독자 45명,https://www.youtube.com/watch?v=-pXRG_iWdYg
마기아 카프마니엘 플레이,조회수 117회,2019. 10. 29.,0,0,InvenMovieA,구독자 45명,https://www.youtube.com/watch?v=RU-gBzo-is4
마기아 에델 루테란 플레이,조회수 74회,2019. 10. 29.,0,0,InvenMovieA,구독자 45명,https://www.youtube.com/watch?v=3_q46gQ2t14
마기아 로코아 이벨빈 플레이,조회수 87회,2019. 10. 29.,1,0,InvenMovieA,구독자 45명,https://www.youtube.com/watch?v=lnpLcA7035U
마기아 프롤로그,조회수 243회,2019. 10. 29.,0,0,InvenMovieA,구독자 45명,https://www.youtube.com/watch?v=1wyFBm3vusg
손맛 좋은 모바일게임! 마기아 카르마 사가,조회수 170회,2019. 10. 29.,1,0,스콜튜브,,https://www.youtube.com/watch?v=CdOOShNI3BQ
'마기아' 2D 횡스크롤 액션 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 728회,2019. 10. 29.,7,2,겜생,,https://www.youtube.com/watch?v=Q4PpT8B2NE8
시작!!!!마기아:카르마 사가,조회수 52회,2019. 10. 29.,2,0,우킹,구독자 2명,https://www.youtube.com/watch?v=ecy1b4qcJHU
마기아 직업별 플레이영상 Magia모바일,"조회수 1,973회",2019. 10. 29.,좋아요,싫어요,게임중독쟁이,,https://www.youtube.com/watch?v=YidV644YQJ8
마기아 메르토아 윈 실룬 플레이,조회수 111회,2019. 10. 29.,0,0,InvenMovieA,구독자 45명,https://www.youtube.com/watch?v=rf7NqQoe4_k
[Magia : Charma Saga/瑪吉亞：卡瑪傳說/마기아:카르마 사가] GAMEPLAY ゲームプレー,조회수 299회,2019. 10. 29.,59,0,K.C.K SHARE,,https://www.youtube.com/watch?v=_RQDe0sGh8k
신작 넥슨이 버린 게임 초반 스토리 위주 플레이 영상 스토리는 띵작? - 모바일 게임 마기아 카르마 사가,조회수 357회,2019. 10. 30.,5,0,꼬무신TV,구독자 5.08천명,https://www.youtube.com/watch?v=JuuIQeMeJRU
마기아:카르마 사가 를 해보았다 가..갓겜?(게임리뷰),조회수 169회,2019. 10. 30.,3,1,youTube칠피아,구독자 237명,https://www.youtube.com/watch?v=Dd63A5OtCqU
[마기아 카르마 사가] 아니 난이도가 너무 빡센데? 다크소울이야? 신작 2D 횡스크롤 rpg 모바일 게임,"조회수 3,705회",2019. 10. 30.,24,2,겜뚜껑,구독자 1.54천명,https://www.youtube.com/watch?v=39YcjO5kZ7Y
무과금도 할만한 게임/ 마기아 카르마사가 플레이영상~ 용족,조회수 184회,2019. 11. 1.,9,0,라임하우스,구독자 38명,https://www.youtube.com/watch?v=IGtdf9KgUUY
모바일 횡스크롤 액션 RPG?! 마기아 : 카르마사가는 과연 어떨까?,조회수 710회,2019. 11. 1.,18,0,야자냐,구독자 86명,https://www.youtube.com/watch?v=xcqsWiFNexI
마기아 카르마사가 법사 플레이영상입니다.,조회수 210회,2019. 11. 1.,10,0,라임하우스,구독자 38명,https://www.youtube.com/watch?v=1fSZ5H7X6J8
[New Game] MAGIA CHARMA SAGA / [신작] 마기아 : 카르마 사가,조회수 35회,2019. 11. 1.,2,0,MAGIC PAINT,,https://www.youtube.com/watch?v=tpU_d9KARxk
오랜만에 괜찮게 나온 액션 RPG 모바일 게임 - magia charma saga - Sub_KOR_ENG,조회수 38회,2019. 11. 1.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=fQ_qSDEPn94
2D RPG의 대박 기대작! 마기아: 카르마사가 오프닝영상 스킵하신분들 보세요!,조회수 218회,2019. 11. 10.,21,0,틈천tv,구독자 1.12천명,https://www.youtube.com/watch?v=DCMTZmiWgII
무과금으로 즐길 수 있는 모바일게임 (마기아) 액션 RPG 적극추천 합니다,조회수 687회,2019. 11. 11.,6,0,정석TV,구독자 323명,https://www.youtube.com/watch?v=AXvvuINq9sc
11월 13일 콕 업데이트. 부제 - 마기아 아이템 구매. 쇼핑몰 업데이트 - 콕플레이 콕토큰 콕월렛,조회수 91회,2019. 11. 12.,5,0,Crypto Jake,구독자 2.67천명,https://www.youtube.com/watch?v=SSNgJfw6n6s
[마기아 : 카르마 사가] 액션과 분위기도 잡았다! 하지만 나는 뒷목 잡았구요... 횡스크롤 액션 RPG,조회수 691회,2019. 11. 12.,5,1,잼둥,구독자 459명,https://www.youtube.com/watch?v=Ctyp4aHHm2U
[마기아:카르마사가] 넥슨이 버리니까 갓겜이네? 리뷰,"조회수 15,454회",2019. 11. 14.,114,7,짝태TV,구독자 6.72천명,https://www.youtube.com/watch?v=zQJP5WKmRqw
[마기아 : 카르마사가] 플레이 리뷰 (자기가 소싯적에 던파 컨좀 해봤다? 거수),조회수 153회,2019. 11. 15.,2,0,김택견,구독자 164명,https://www.youtube.com/watch?v=yha1ZolbNHU
마기아:카르마사가 1일차 #손맛 괜찮은 모바일 게임을 찾는다면!,조회수 203회,2019. 11. 16.,좋아요,싫어요,네르유튜브,,https://www.youtube.com/watch?v=Hw2MDTzdCWM
갓겜이라서 넥슨이 버렸나? [마기아 : 카르마 사가],"조회수 166,353회",2019. 11. 20.,2.5천,98,지존조세,구독자 11.5만명,https://www.youtube.com/watch?v=P953n5G27Zc
마기아 카르마 사가 리뷰 잘만들었다.. 과금도 필요없다.. 홍보가 안된 비운의 모바일 게임 여러분들도 해보면 어떨까요? - 테일이의 종합게임,"조회수 5,040회",2019. 11. 22.,40,3,테일이 TV,구독자 6.64천명,https://www.youtube.com/watch?v=hAwVz3j8aVs
마기아:카르마사가 2일차 #캠페인 1막 8장부터 13장까지,조회수 151회,2019. 11. 23.,좋아요,싫어요,네르유튜브,,https://www.youtube.com/watch?v=VNTgDEGI6BA
"모바일게임 ""마기아 (Magia)"" 간단플레이",조회수 24회,2019. 11. 29.,0,0,Gamer Meoru,구독자 301명,https://www.youtube.com/watch?v=MNwQC0SeS3Y
마기아:카르마사가 3일차 #캠페인 1막 14장부터 17장까지,조회수 123회,2019. 11. 29.,좋아요,싫어요,네르유튜브,,https://www.youtube.com/watch?v=7gt5Ufked-o
