title,count,date,good_count,bad_count,youtuber,subscriber,url
브롤스타즈 정식출시 기념 기본캐 쉘리 천상계 쇼다운 게임플레이!!!,"조회수 24,521회",2018. 12. 12.,175,18,minwoongYT,구독자 6.36만명,https://www.youtube.com/watch?v=_wuOGUcL4x8
[브롤스타즈] 이건 게임이 아닌데 게임이라고 말하네 ㅡㅡ / 슈퍼셀,"조회수 407,062회",2018. 12. 13.,4.9천,644,지존조세,구독자 11.5만명,https://www.youtube.com/watch?v=Is8blmgy6O8
브롤스타즈 PC에서 게임패드로 하는법,"조회수 7,372회",2018. 12. 14.,10,4,담가오,구독자 233명,https://www.youtube.com/watch?v=H_rVcQdyL0E
신규 유저를 위한 개꿀팁 방출! 조작방법의 모든것 (Everything About Control) [브롤스타즈-Brawl Stars] [June],"조회수 350,525회",2018. 12. 14.,1.8천,229,JUNE,구독자 47만명,https://www.youtube.com/watch?v=j8kqAoktfXY
브롤스타즈 마법사 발리 획득 - 흑백게임TV,"조회수 1,430회",2018. 12. 14.,14,4,흑백게임TV,,https://www.youtube.com/watch?v=ZzlILe2Ff2w
브롤스타즈 게임 플레이 영상 - 팀을 짜서 전투에 참가하세요! Supercell,조회수 54회,2018. 12. 15.,1,0,폰겜덕후 노사운드,구독자 1.71천명,https://www.youtube.com/watch?v=rdXoSElZ8no
브롤스타즈 보석 무료로 얻는법,"조회수 75,369회",2018. 12. 16.,443,165,YT 기프트카드받자,구독자 2.74천명,https://www.youtube.com/watch?v=icm05k1wTeI
[브롤스타즈] 브롤스타즈 출시 광고 역재생!,"조회수 1,075,642회",2018. 12. 16.,6.1천,641,플이,구독자 10.1만명,https://www.youtube.com/watch?v=NIvcLWi1pok
한국인이 좋아하는 어쎄신형 공격 브롤러! 브롤스타즈,"조회수 1,241,419회",2018. 12. 18.,6.8천,340,테드TV,구독자 91만명,https://www.youtube.com/watch?v=kQIyYtfLh9w
브롤스타즈 구글게임 1등 이길래 해봤더니!!!!!!!!!!!!!!!!!!,"조회수 268,706회",2018. 12. 18.,2천,199,HeopopGames 허팝게임,구독자 36.2만명,https://www.youtube.com/watch?v=M_gKKeEbidY
브롤스타즈 이벤트빅게임 1명다굴치기 (Brawl Stars 14화) [쌍디],"조회수 5,561회",2018. 12. 18.,35,9,쌍디TV,구독자 7.51만명,https://www.youtube.com/watch?v=h4Q9FJ-BXp8
브롤스타즈 녹스로 PC 플레이 하는 법!,"조회수 15,407회",2018. 12. 18.,28,20,슬로,,https://www.youtube.com/watch?v=7nl08heI820
너가 최고야 !! 엘프리모~! :: 브롤스타즈,"조회수 328,930회",2018. 12. 18.,2.1천,162,밍모,구독자 49.5만명,https://www.youtube.com/watch?v=N76Wt1euCtk
*슈퍼셀 신게임* 브롤스타즈 나도 해보자!,"조회수 4,545회",2018. 12. 19.,91,4,아진쌤AJINTV,구독자 5.08만명,https://www.youtube.com/watch?v=AOw8m6GeIrs
[브롤스타즈] 레온 출시 이후 잊혀진 한 전설..... 크로우 하이스트 게임플레이,"조회수 44,711회",2018. 12. 19.,319,21,minwoongYT,구독자 6.36만명,https://www.youtube.com/watch?v=8zaqSn1fgvc
브롤스타즈 공략 닉네임 색깔 바꾸는법 - 흑백게임TV,"조회수 7,111회",2018. 12. 19.,51,3,흑백게임TV,,https://www.youtube.com/watch?v=ZJ-VYOOPm9Y
[브롤스타즈] Brawl Stars! 신규 멀티플레이 전투게임! 시청자 여러분들과! 한판!!,"조회수 5,200회",2018. 12. 20.,60,6,TV벵골,구독자 14.9만명,https://www.youtube.com/watch?v=iNGnsCTOGqI
[브롤스타즈]슈퍼셀의 신작게임!! 곰돌이 니타 공략편~!!!,"조회수 1,092회",2018. 12. 20.,23,2,kingkumaTV 킹쿠마TV,구독자 5.91천명,https://www.youtube.com/watch?v=YdYOXai7l3o
브롤스타즈 10명 중에 최후의 1인이 되어라! 허팝게임,"조회수 172,087회",2018. 12. 20.,1.2천,156,HeopopGames 허팝게임,구독자 36.2만명,https://www.youtube.com/watch?v=r7v7SWE_lx0
브롤스타즈 짝퉁게임?.. - [썩쏘],"조회수 250,075회",2018. 12. 21.,2.2천,285,썩쏘TV,구독자 40.3만명,https://www.youtube.com/watch?v=hV7jOmsIAyM
브롤스타즈 우당탕협곡에서 발리로 금고털이에 나섰습니다! 허팝게임,"조회수 370,375회",2018. 12. 21.,1.9천,260,HeopopGames 허팝게임,구독자 36.2만명,https://www.youtube.com/watch?v=Tgjvfqora3A
[브롤스타즈] 3:3 대전부터 10인 배틀그라운드까지!!! 재미있는 싸움이에요!!! 간단 리뷰 & 플레이 영상,"조회수 660,114회",2018. 12. 25.,2.2천,351,돼지저금통,구독자 53.4만명,https://www.youtube.com/watch?v=bzFIYXRQJfU
[브롤스타즈] Brawl Stars! 신규 멀티플레이 전투게임! 이거저거 플레이해보기!,"조회수 6,780회",2018. 12. 26.,80,3,TV벵골,구독자 14.9만명,https://www.youtube.com/watch?v=hhnz6ticTSo
브롤스타즈에서 축구도 가능하군요ㅋㅋㅋ절대 골을 먹힐 수 없다! 브롤컵 - 허팝게임,"조회수 58,601회",2018. 12. 27.,568,46,HeopopGames 허팝게임,구독자 36.2만명,https://www.youtube.com/watch?v=NA5AzuVkzgc
브롤스타즈 상자깡 가볍게 해봤습니다.,"조회수 56,690회",2018. 12. 27.,2천,67,희바HEEBA,구독자 44.6만명,https://www.youtube.com/watch?v=vUYs36Fgw_0
[브롤스타즈] 브롤스타즈 버그판 무료공유+플레이[최신버전] [Wony games],"조회수 30,392회",2018. 12. 28.,좋아요,싫어요,Wony games,구독자 1.23만명,https://www.youtube.com/watch?v=caSIVq_hQoM
전설 상자깡 현질 해봤는데 당한것 같습니다ㄷㄷ [브롤스타즈],"조회수 1,610,892회",2018. 12. 28.,2.1만,1.7천,동동 TV,구독자 23.6만명,https://www.youtube.com/watch?v=v5qMBk87u9k
브롤 초보 미모의 여성분을 캐리해 드렸습니다 브롤스타즈,"조회수 322,622회",2018. 12. 29.,3.1천,167,테드TV,구독자 91만명,https://www.youtube.com/watch?v=qQTzQOZ25CE
브롤스타즈 | 슈퍼셀의 탄생과 만든 게임들(2010~2018)에 대해 알아보자,"조회수 516,677회",2019. 1. 10.,4.3천,216,세상의 모든지식,구독자 17.3만명,https://www.youtube.com/watch?v=9JKmfHTUPYI
