title,count,date,good_count,bad_count,youtuber,subscriber,url
AAVEEN ELÄMÄÄ | Pelataan Afterlife: The Game,"조회수 238,714회",2019. 1. 9.,6.1천,224,Paqpa,구독자 22.3만명,https://www.youtube.com/watch?v=HsEFiMz_l3E
"[라이프애프터] 시장이었던 캠프를, 반년만에 가면 알아볼까..?! (+레드우드 탐방기!)","조회수 8,323회",2019. 10. 1.,97,6,감쟈,구독자 3.28만명,https://www.youtube.com/watch?v=99_Rl7Kgmws
"A2, 짧은기관단총, M4 무기 비교! 12장 무기 후기 [라이프애프터 Lifeafter 린느]","조회수 2,575회",2019. 10. 11.,57,4,린느,구독자 1.77천명,https://www.youtube.com/watch?v=GOQHZhAGFIk
타보로 리뷰!! [라이프애프터],조회수 86회,2019. 10. 12.,7,0,잡다한펭귄,,https://www.youtube.com/watch?v=rOrfyk7Eaak
라이프애프터 초보 랑 게임,조회수 17회,2019. 10. 15.,1,0,별의밤,구독자 5명,https://www.youtube.com/watch?v=t8DnmZ6M66k
"[라이프애프터] 경마, 눈싸움?? 10월 16일 새로운 콘텐츠 업데이트!","조회수 1,235회",2019. 10. 16.,42,3,TV Seogi,구독자 2.61천명,https://www.youtube.com/watch?v=1qnap14-c7I
[라이프 애프터] 특수감염체 17레벨 클리어!,조회수 442회,2019. 10. 20.,5,0,addd sdhgfh,,https://www.youtube.com/watch?v=Nj0ciWR7OhE
[라이프애프터] 눈싸움 하다가 정신이 폭발할 수도 있습니다!!,"조회수 1,737회",2019. 10. 20.,47,2,TV Seogi,구독자 2.61천명,https://www.youtube.com/watch?v=74D_CxMDl6k
"[애프터라이프] 사신 육성 판타지, AFTER L!FE 공식 PV","조회수 207,673회",2019. 10. 22.,2.3천,35,HANGAME / 한게임,구독자 8.93천명,https://www.youtube.com/watch?v=CAalUCNNkgo
【애프터라이프】사신의 방 대사 총모음!!! (역대급 초호화 성우진) / AFTER L!FE,"조회수 70,207회",2019. 10. 23.,1.5천,23,레키엔 스튜디오,구독자 554명,https://www.youtube.com/watch?v=1fzCUtAwtBw
After Life game,조회수 6회,2019. 10. 23.,1,0,Sylvester Meruan,구독자 1명,https://www.youtube.com/watch?v=CoXvgcvqp_U
O QUE ACONTECEU COM JAZZGHOST DEPOIS QUE ELE MORREU? - Afterlife: The Game,"조회수 415,197회",2019. 10. 26.,3.6만,421,Jazzghost,구독자 891만명,https://www.youtube.com/watch?v=dDhR9heQKWo
라이프애프터/1화 보통 생존게임과는 다르다,조회수 24회,2019. 10. 26.,0,0,후봄,구독자 3명,https://www.youtube.com/watch?v=b1dvQxo9eYQ
【애프터라이프】사신 집중탐구 총모음!!! (5초 광고) / AFTER L!FE,"조회수 49,754회",2019. 10. 28.,1천,59,레키엔 스튜디오,구독자 554명,https://www.youtube.com/watch?v=t4iC4MxegDs
[라이프애프터] 최종 병기 AWM 맥공 소장판! 저격수의 시대가 도래할까?,"조회수 2,767회",2019. 10. 8.,74,0,TV Seogi,구독자 2.61천명,https://www.youtube.com/watch?v=prGuvCCIDJs
Nyobain Game After Life ( Hah ) !!,조회수 96회,2019. 11. 10.,1,1,Bayu Games,구독자 8명,https://www.youtube.com/watch?v=XTKJxI7NdJ4
Endgame Deleted Scene Shows Us Tony In The Afterlife,"조회수 3,811,576회",2019. 11. 13.,4.3만,2.3천,Looper,구독자 494만명,https://www.youtube.com/watch?v=nPHRjjuIwe4
새로나온 신작게임 애프터 라이프! 성우진이 대박인데??/신작리뷰,조회수 402회,2019. 11. 20.,3,1,ღ해륜찌,구독자 98명,https://www.youtube.com/watch?v=OUddz7mXNDo
애프터라이프(After Life) 간단 리뷰 + 게임 플레이 영상,"조회수 5,553회",2019. 11. 21.,81,1,겜조TV,구독자 3.89천명,https://www.youtube.com/watch?v=di2HBsZqyYc
[애프터 라이프] 191120 애프터라이프 출시 기념 스페셜영입 가챠 80연! SSR 퀸시 등장,"조회수 5,320회",2019. 11. 21.,46,4,가헌,구독자 33명,https://www.youtube.com/watch?v=xYdeRtbCsm8
가챠 280연 도부! 이렇게 망할 수 없다 【신작 여성향 모바일 게임 애프터라이프】,"조회수 8,567회",2019. 11. 22.,좋아요,싫어요,Moarin Channel 【541 E&C】,구독자 5.55천명,https://www.youtube.com/watch?v=GrIbiZH7U6M
[애프터라이프] 10연 뽑기 (플레이어 개빡주의),"조회수 1,841회",2019. 11. 26.,15,5,샤유,구독자 20명,https://www.youtube.com/watch?v=EdSAvdyN0c0
[애프터라이프] 191128 첫번째 영입이벤트 : 청월제 90연 가챠돌리기! SSR 루이얻으려고 돌렸는데 너가 왜 나와...? #2,"조회수 4,490회",2019. 11. 28.,60,2,가헌,구독자 33명,https://www.youtube.com/watch?v=0tcaIK6SFf8
애프터라이프(After Life) 캐릭터 소개,"조회수 1,074회",2019. 11. 28.,14,1,좋은아침,구독자 227명,https://www.youtube.com/watch?v=kdfM42H3DB4
애프터라이프 - 모리R3 퍼스널 스토리 [소원을 말해봐],조회수 471회,2019. 11. 30.,8,1,이름,구독자 20명,https://www.youtube.com/watch?v=TIAL6Nq3sPU
오늘은 애프터라이프를 해보았습니다[게임리뷰],조회수 102회,2019. 11. 30.,2,0,youTube칠피아,구독자 237명,https://www.youtube.com/watch?v=_TxP-HnP-U8
[애프터라이프] 플레이 영상!!!,"조회수 3,670회",2019. 12. 1.,36,5,샤유,구독자 20명,https://www.youtube.com/watch?v=_8thPPkeNk8
[GameWithU]사신을키워보자! 애프터라이프#2,조회수 549회,2019. 12. 1.,8,1,셩셩,구독자 14명,https://www.youtube.com/watch?v=2uFQeG1zKVs
"[라이프애프터] 순찰,군사훈련,현상임무,미스카대학은 우호도가 오를까? - 라애 초보자 가이드 #7",조회수 97회,2019. 12. 10.,5,0,"모두의 게임 놀이터, 푸고미TV",구독자 961명,https://www.youtube.com/watch?v=kvzqd9wEP7M
[애프터라이프]소울 포인트 및 이벤트 보급품 탕진show! (2) +짤막 조사 팁,조회수 19회,2019. 12. 10.,1,0,시에라엘,구독자 8명,https://www.youtube.com/watch?v=MS36nWsB2FA
[라이프애프터] 룸메와 단둘이 희망의 골짜기를 아무것도 모르는 상태로 가면 이렇게 됩니다 (+2성 +룸메랑 둘이서 +까막눈 푸고미),조회수 224회,2019. 12. 11.,6,0,"모두의 게임 놀이터, 푸고미TV",구독자 961명,https://www.youtube.com/watch?v=qgjjmxgmEkQ
[라이프애프터] 희망의 골짜기 공략,조회수 633회,2019. 12. 11.,15,0,Yaco,구독자 217명,https://www.youtube.com/watch?v=CyuyijMAB4c
[애프터라이프] 청월제 모리 SR카드 출연!!!,조회수 94회,2019. 12. 11.,6,0,샤유,구독자 20명,https://www.youtube.com/watch?v=iaUwoIEEqY4
[라이프 애프터] 늑대의 산 등반!,조회수 535회,2019. 12. 11.,5,0,addd sdhgfh,,https://www.youtube.com/watch?v=rtiknJMJBO8
[애프터라이프] SR댁으로 플레이 하자!!!,조회수 222회,2019. 12. 11.,6,0,샤유,구독자 20명,https://www.youtube.com/watch?v=bal6JBYudes
[라이프애프터]12장원달성후 2달하고도5일만에 13장원 달성!솔직히 경험치버프같은것이필요하다...(화조새),조회수 31회,2019. 12. 11.,0,0,화조새,구독자 75명,https://www.youtube.com/watch?v=dkl4V_VAPWc
[애프터라이프]루이를 좋아하는 분들 부럽습니까? 저는 울었습니다...,조회수 73회,2019. 12. 12.,2,0,시에라엘,구독자 8명,https://www.youtube.com/watch?v=UhtjNSaaCJw
[애프터라이프] 청월제 뽑아보자!!!,조회수 77회,2019. 12. 12.,11,0,샤유,구독자 20명,https://www.youtube.com/watch?v=lb30XzbCDmk
라이프애프터 피카츄 캠프원 모집,조회수 18회,2019. 12. 12.,1,0,[라이프애프터]피카츄캠프,구독자 3명,https://www.youtube.com/watch?v=AoW4wKOIcPo
자살작으로 주민위탁 빠르게 정복해보자! 좀비게임 라이프 애프터 초보자 팁,"조회수 1,183회",2019. 12. 2.,32,0,배틀TV,구독자 1.6만명,https://www.youtube.com/watch?v=roUf0aSwCBQ
"[라이프애프터] 금요일 일정 보상, 토요일 3시까지 안 받고 버텨도 20%의 숙련도를 더 받을 수 없다 - 라애 초보자 가이드 #6",조회수 215회,2019. 12. 3.,7,0,"모두의 게임 놀이터, 푸고미TV",구독자 961명,https://www.youtube.com/watch?v=_dzoeO7zOe0
