title,count,date,good_count,bad_count,youtuber,subscriber,url
엑소스 히어로즈 - EXOS HEROES(엑소스 히어로즈) 와.... : 한시의 게임리뷰,조회수 172회,2019. 1. 29.,2,0,YouTube한시,구독자 119명,https://www.youtube.com/watch?v=cr1HVz4yol0
라인게임즈 엑소스히어로즈 Android Emulator PEAKAPPPLAYER Mobile world enjoying on your PC!,조회수 22회,2019. 1. 29.,0,0,PEAK,,https://www.youtube.com/watch?v=fepM0B6s2Mo
Exos Heroes First Gameplay !!!! Part 2!!! Best anime Game Cbt !!!!!!,조회수 50회,2019. 1. 29.,0,0,Ios_android Gaming,구독자 262명,https://www.youtube.com/watch?v=j8sw1y7Nl6k
해보고 한다 시리즈 엑소스 히어로즈 편,조회수 93회,2019. 1. 29.,2,0,즈튜브,구독자 77명,https://www.youtube.com/watch?v=gLcGibgyVnw
Exos Heroes / 엑소스 히어로즈 (KR) (Gameplay) - LINE Games (CBT Testing) - New Strategy Android 2019 -,조회수 60회,2019. 1. 29.,0,0,Cat Rock,구독자 84명,https://www.youtube.com/watch?v=BNAhOQuaR94
Exos Heroes First Gameplay !!!! Part 1!!!! Best anime Game Cbt !!!!!!,조회수 93회,2019. 1. 29.,1,0,Ios_android Gaming,구독자 262명,https://www.youtube.com/watch?v=wTKCfNvrIg4
Exciter source Heroes Android Emulator PEAK APPPLAYER Mobile world enjoying on your PC!,조회수 7회,2019. 1. 30.,0,0,PEAK,,https://www.youtube.com/watch?v=3BcI-48bs64
Exos Heroes [엑소스 히어로즈] CBT Gameplay,조회수 83회,2019. 1. 30.,2,0,OXSI,구독자 166명,https://www.youtube.com/watch?v=OK-b4bfM6Nw
엑소스 히어로즈 (Exos Heroes) 간단플레이,조회수 44회,2019. 1. 30.,0,0,Gamer Meoru,구독자 301명,https://www.youtube.com/watch?v=3bTXb_ooW-E
엑소스 히어로즈 사전예약,조회수 8회,2019. 10. 28.,0,0,코코아팝,구독자 6명,https://www.youtube.com/watch?v=OBN-WRV3pUI
엑소스 히어로즈 모바일 게임 소개 영상,조회수 91회,2019. 10. 28.,6,0,게임셋 Gameset,,https://www.youtube.com/watch?v=G8s_EnKvh4U
엑소스 히어로즈 사전예약/색다르게 남다르게 RPG를 플레이하라 VISUALISM PLAY,조회수 2회,2019. 10. 28.,1,0,넥스머TV,,https://www.youtube.com/watch?v=iuLNckabZ04
색다르게 남다르게 RPG를 플레이하라 VISUALISM PLAY ≪엑소스 히어로즈≫ 사전 예약 오픈!,조회수 6회,2019. 10. 28.,1,0,넥스머TV,,https://www.youtube.com/watch?v=Avttade_UX4
엑소스 히어로즈 사전예약/색다르게 남다르게 RPG를 플레이하라 VISUALISM PLAY,조회수 9회,2019. 10. 28.,1,0,넥스머TV,,https://www.youtube.com/watch?v=1EbfM1QOHdA
엑소스 히어로즈 사전예약/색다르게 남다르게 RPG를 플레이하라 VISUALISM PLAY,조회수 9회,2019. 10. 28.,1,0,넥스머TV,,https://www.youtube.com/watch?v=FKHx73TQorY
엑소스히어로즈미디어데이,조회수 23회,2019. 10. 28.,0,0,이재덕,구독자 81명,https://www.youtube.com/watch?v=UqBiyU34TsM
[EXOS HEROES] 엑소스 히어로즈 출시일 공개 PV 01,"조회수 3,154회",2019. 10. 28.,15,2,LINE GAMES,구독자 5.36천명,https://www.youtube.com/watch?v=Gqza0g_r28M
엑소스 히어로즈 사전예약/색다르게 남다르게 RPG를 플레이하라 VISUALISM PLAY,조회수 5회,2019. 10. 28.,1,0,넥스머TV,,https://www.youtube.com/watch?v=495vkQ_QKxo
엑소스 히어로즈 사전예약/색다르게 남다르게 RPG를 플레이하라 VISUALISM PLAY,조회수 8회,2019. 10. 28.,1,0,넥스머TV,,https://www.youtube.com/watch?v=tllFeZdGxME
엑소스히어로즈 유리사 뮤직비디오 '얼음눈물' Teaser,조회수 242회,2019. 10. 28.,6,1,겜조TV,구독자 3.89천명,https://www.youtube.com/watch?v=7fk3fFtJeEk
색다르게 남다르게 RPG를 플레이하라 VISUALISM PLAY ≪엑소스 히어로즈≫ 사전 예약 오픈!,조회수 12회,2019. 10. 28.,1,0,넥스머TV,,https://www.youtube.com/watch?v=ExveUFCscIs
[EXOS HEROES] 엑소스 히어로즈 출시일 공개 PV 02,"조회수 2,248회",2019. 10. 28.,13,4,LINE GAMES,구독자 5.36천명,https://www.youtube.com/watch?v=j5RAoqIy4Qc
[EXOS HEROES] 엑소스 히어로즈 영웅 스킬 영상_레라(RERA),"조회수 178,644회",2019. 10. 28.,64,22,LINE GAMES,구독자 5.36천명,https://www.youtube.com/watch?v=tfKx94g_coE
