title,count,date,good_count,bad_count,youtuber,subscriber,url
[다운링크]염왕이 뿔났다(閻王不高興/THE FURIOUS YAMA)플레이/국내 사전예약 중/수집형RPG/모바일게임(MobileGame),"조회수 3,472회",2019. 10. 14.,10,0,게임똥 보고서,구독자 1.52천명,https://www.youtube.com/watch?v=4A1eqAXeV84
"""염왕이 뿔났다"" 맹파 필살기: 피안화 바다","조회수 4,590회",2019. 10. 15.,29,2,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=f98vSEM3MFo
"“염왕이 뿔났다"" 몰렉 필살기: 악마의 불","조회수 12,808회",2019. 10. 15.,59,5,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=FRuvCfhoMLo
[염왕이 뿔났다] 만의 독특하면서도 중요한 전투 내의 특수 요소!!,"조회수 3,030회",2019. 10. 16.,6,3,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=Eqn6ky_xsAs
[염왕이 뿔났다] XD 글로벌의 오늘도 우라라 다음 신작!! 게임 모바일게임 리뷰 엉아,"조회수 8,484회",2019. 10. 20.,118,7,엉아 TV,구독자 1.55만명,https://www.youtube.com/watch?v=_Y5LUunKKcY
모바일게임 염왕이 뿔났다 원작게임인 염왕부고흥 (閻王不高興 / The Furious Yama) 플레이영상 by. 민수르,조회수 944회,2019. 10. 21.,3,1,Play민수르,구독자 103명,https://www.youtube.com/watch?v=F8Q-_ZV2ZvE
"“염왕이 뿔났다"" 나타 필살기: 구룡신화조","조회수 3,917회",2019. 10. 21.,16,0,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=gmjMaDRWMnw
[염왕이뿔났다] CBT 후기 국내 게임사분들 반성 좀 합시다. 못하는거 아니자나요? 안할 뿐이지 지금 사전 등록 사전 예약 중!,"조회수 4,111회",2019. 10. 23.,23,6,겜뚜껑,구독자 1.56천명,https://www.youtube.com/watch?v=dp4yjBm-wVE
[염왕이뿔났다] 이러니 염왕이 뿔이났지!! ㅋㅋ 모바일게임 리뷰 엉아,"조회수 33,806회",2019. 10. 23.,224,42,엉아 TV,구독자 1.55만명,https://www.youtube.com/watch?v=bA_bgUW1A0A
염왕이뿔났다 cbt 초반플레이(스토리),"조회수 3,847회",2019. 10. 23.,19,2,님얼굴비매너,구독자 12명,https://www.youtube.com/watch?v=5uy9p7atTCM
시작!!!!염왕이 뿔났다 CBT,조회수 354회,2019. 10. 24.,0,0,우킹,구독자 2명,https://www.youtube.com/watch?v=zacEcyIEjMQ
"""염왕이 뿔났다""를 함ㅎ 설명칸 꼭보기^ ^",조회수 247회,2019. 10. 26.,2,1,악라,구독자 32명,https://www.youtube.com/watch?v=HtO3XW1byAU
[염왕이 뿔났다] 범무구 SSR중 사기캐..?,조회수 268회,2019. 10. 27.,0,0,Kang M,구독자 9명,https://www.youtube.com/watch?v=cg8zvFH8PGo
"""염왕이 뿔났다"" 타나토스 필살기: 영혼의 만찬","조회수 3,405회",2019. 10. 28.,16,1,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=kvrh3J8MtAg
중국의 에픽세븐? 염왕이 뿔났다,"조회수 8,964회",2019. 10. 29.,30,6,라프TV,구독자 6.3천명,https://www.youtube.com/watch?v=Fq7EmUvwLW4
"""염왕이 뿔났다"" 드라큘라 필살기: 피의 포옹","조회수 3,842회",2019. 10. 29.,19,0,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=GuSbsIU9roM
염왕이 뿔났다영상,조회수 340회,2019. 10. 30.,0,1,겜북이,구독자 2명,https://www.youtube.com/watch?v=qt83eJqOCP4
"동방 저승과 서양 지옥의 대결, 차원이 다른 모바일 턴제 RPG ""염왕이 뿔났다""!","조회수 574,675회",2019. 10. 6.,128,24,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=f_Tz2jWpe_A
"역대급 재미 보장 모험 RPG, 동서양의 신과 악마의 대난투!","조회수 6,870회",2019. 10. 9.,20,2,염왕이 뿔났다,구독자 468명,https://www.youtube.com/watch?v=Skp00hoEWx4
염왕이 뿔났다 Hack Android iOS,조회수 47회,2019. 11. 15.,1,0,ninmija,,https://www.youtube.com/watch?v=RZGrIdEvnrE
[2019 지스타] XDG 코스프레 무대행사,조회수 877회,2019. 11. 17.,10,0,이웃집 대학원생,구독자 15명,https://www.youtube.com/watch?v=8OgKVpoZKTc
웹툰원작? 망겜아냐? 염왕이 뿔났다는 과연 어떨까?,"조회수 3,402회",2019. 11. 18.,21,2,야자냐,구독자 85명,https://www.youtube.com/watch?v=iCLYLPHxXsw
[지스타2019] 엑스디글로벌(X.D Global) 신작 '염왕이 뿔났다' 시연 영상,조회수 157회,2019. 11. 18.,2,0,겜조TV,구독자 3.9천명,https://www.youtube.com/watch?v=QntxyTAAI3k
염왕이 뿔났다~! 어떤게임? 리세는?,"조회수 1,171회",2019. 11. 19.,2,2,하늘두덕,구독자 13명,https://www.youtube.com/watch?v=KGCWPBYZC2s
『염왕이 뿔났다. BGM』,조회수 58회,2019. 11. 19.,0,0,괴짜C,,https://www.youtube.com/watch?v=Re64F6v7k-8
[염왕이 뿔났다] 애니메이션이 미쳤습니다...,조회수 823회,2019. 11. 19.,7,1,이애사카,,https://www.youtube.com/watch?v=A536NRxTs5M
염왕이 뿔났다 초반 3,조회수 8회,2019. 11. 19.,0,0,만수랑,구독자 1명,https://www.youtube.com/watch?v=ZZwNkwmLOJE
염왕이 뿔났다 간단리뷰!,"조회수 3,072회",2019. 11. 19.,9,3,온옹,구독자 1.33천명,https://www.youtube.com/watch?v=2e8_ms_7QJk
염왕이 뿔났다 - 모바일 게임 (초반 플레이 인게임),조회수 13회,2019. 11. 19.,좋아요,싫어요,무풍,구독자 103명,https://www.youtube.com/watch?v=EI8pIEHUQUs
염왕이 뿔났다 초반 1,조회수 9회,2019. 11. 19.,0,0,만수랑,구독자 1명,https://www.youtube.com/watch?v=CiI_lXA89pw
『신작 모바일게임』염왕이 뿔났다 『챕터3』,조회수 763회,2019. 11. 19.,5,0,지옥의문,구독자 522명,https://www.youtube.com/watch?v=9gT0pEA-bhI
The Furious Yama - 염왕이 뿔났다 (KR) [ Android APK ] Gameplay,조회수 197회,2019. 11. 19.,4,0,Free2PlayMMOs Gaming Channel,구독자 9.72천명,https://www.youtube.com/watch?v=4ISINYBeSKk
『신작 모바일게임』염왕이 뿔났다 『챕터2』,조회수 966회,2019. 11. 19.,5,0,지옥의문,구독자 522명,https://www.youtube.com/watch?v=Ly7ZCoGVQPQ
『신작 모바일게임』염왕이 뿔났다 『튜토+챕터 1까지』,"조회수 1,502회",2019. 11. 19.,12,0,지옥의문,구독자 522명,https://www.youtube.com/watch?v=6hawDhyBhZA
염왕이 뿔났다 초반 2,조회수 3회,2019. 11. 19.,0,0,만수랑,구독자 1명,https://www.youtube.com/watch?v=eiuslNfBjJE
[염왕이 뿔났다] 게임 실행부터 튜토리얼 끝까지,조회수 24회,2019. 11. 19.,0,0,Cloto K,구독자 41명,https://www.youtube.com/watch?v=CUTn5MKTkrc
염왕이 뿔났다 - 신작 나와서 플레이 중...,조회수 24회,2019. 11. 20.,0,0,심심할때뽑기 돌리는 찬호,구독자 20명,https://www.youtube.com/watch?v=O1Ci_dJwAW0
염왕이 뿔났다/악신,조회수 10회,2019. 11. 20.,1,0,악신,구독자 249명,https://www.youtube.com/watch?v=5PdW94bCLGM
모바일게임 신작) 염왕이뿔났다 초반17분 플레이영상,조회수 7회,2019. 11. 20.,0,0,솜카롱,,https://www.youtube.com/watch?v=YIur_uOYj6U
『신작 모바일게임』염왕이 뿔났다 『챕터5』,"조회수 1,403회",2019. 11. 20.,14,0,지옥의문,구독자 522명,https://www.youtube.com/watch?v=R8Rw2TDC-08
[지스타 2019] 염왕이 뿔났다 특별 공개 애니메이션 직촬 영상!,조회수 90회,2019. 11. 20.,2,0,제이팍,구독자 82명,https://www.youtube.com/watch?v=78S9A6rrQtE
(염왕이뿔났다) SSR도 좋다구요 광역딜러 백용마 그런데 스킬이 왜...,"조회수 3,816회",2019. 11. 20.,16,2,노병Tv,,https://www.youtube.com/watch?v=dYgX-s-pbSQ
염왕이 뿔났다 - 첫 뽑기 후 이어서 쪼금 플레이,조회수 115회,2019. 11. 20.,0,0,심심할때뽑기 돌리는 찬호,구독자 20명,https://www.youtube.com/watch?v=oQq-pYCIukg
『신작 모바일게임』염왕이 뿔났다 『챕터4』,"조회수 1,515회",2019. 11. 20.,6,0,지옥의문,구독자 522명,https://www.youtube.com/watch?v=X9vLIYdRSvE
염왕이 뿔났다 - 2챕터 스토리,조회수 202회,2019. 11. 20.,0,0,무편집게임플레이,구독자 1.05천명,https://www.youtube.com/watch?v=TucsxYxmjHM
재미있고 가볍게 즐길 수 있는 !『염왕이 뿔났다』 Play 영상!,조회수 4회,2019. 11. 20.,0,0,괴짜C,,https://www.youtube.com/watch?v=8VRa46LwgF8
새로나온 게임을 즐겨보왔습니다.(염왕이 뿔났다)1화-쇼브TV,조회수 47회,2019. 11. 20.,1,0,쇼브,구독자 115명,https://www.youtube.com/watch?v=zLFwxoZgnMA
염왕이 뿔났다 - 영웅 정보ㆍ고급 소환 7회,조회수 633회,2019. 11. 20.,1,1,무편집게임플레이,구독자 1.05천명,https://www.youtube.com/watch?v=WtMg2TRMc8M
