title,count,date,good_count,bad_count,youtuber,subscriber,url
워너비챌린지 초반 플레이 영상,조회수 854회,2019. 10. 21.,7,0,겜조TV,구독자 3.89천명,https://www.youtube.com/watch?v=dFlS1fmsovQ
'워너비챌린지' #01 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 405회,2019. 11. 26.,8,0,겜생,,https://www.youtube.com/watch?v=BiO7yGQNfT8
워너비챌린지 간단 리뷰 + 게임 플레이,조회수 663회,2019. 11. 27.,15,0,겜조TV,구독자 3.89천명,https://www.youtube.com/watch?v=8N1Vtbmas8U
국내 여성향게임! 워너비챌린지 오늘 모바일게임출시!,조회수 66회,2019. 11. 27.,0,0,게임모두,,https://www.youtube.com/watch?v=BP5UhdevYtQ
워너비 챌린지 - 챕터1(상)(Wannabe Challenge)~Kai TV(Dub),"조회수 4,788회",2019. 11. 28.,좋아요,싫어요,카이Voice,,https://www.youtube.com/watch?v=WWN8j12o2v0
워너비 챌린지 - 챕터1(하)(Wannabe Challenge)~Kai TV(Dub),"조회수 3,113회",2019. 11. 28.,좋아요,싫어요,카이Voice,,https://www.youtube.com/watch?v=KahYNw8I9Wo
[MV] 오마이걸 (OH MY GIRL) - 기억해 [워너비챌린지 OST Part.1 (Wannabe Challenge OST Part.1)],"조회수 123,067회",2019. 11. 28.,7.7천,31,VLENDING 블렌딩,구독자 6.58만명,https://www.youtube.com/watch?v=-joCEeohVOc
[워너비챌린지][MV] WannabeChallenge '기억해' OST 뮤직비디오,"조회수 29,907회",2019. 11. 28.,1.5천,4,Com2uS Corp,구독자 2.98만명,https://www.youtube.com/watch?v=TcLDF2VbUV4
OH MY GIRL (오마이걸) – 기억해 / Wannabe Challenge (워너비챌린지) OST Part 1,"조회수 15,287회",2019. 11. 28.,461,1,JULY EGG,,https://www.youtube.com/watch?v=BgL41v_b1jE
'워너비챌린지' #02 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 273회,2019. 11. 28.,4,0,겜생,,https://www.youtube.com/watch?v=jZyW8nA6FFU
OH MY GIRL (오마이걸) - 기억해 (Remember) (워너비챌린지 Wannabe Challenge OST Part 1),조회수 313회,2019. 11. 28.,14,0,재이,구독자 114명,https://www.youtube.com/watch?v=OF3FhjSQYss
[워너비챌린지][원곡 Full ver.] WannabeChallenge '기억해' Full 음원 영상,"조회수 1,140회",2019. 11. 29.,78,0,Com2uS Corp,구독자 2.98만명,https://www.youtube.com/watch?v=h0ar1m80W10
[워너비챌린지] 까칠한 여자가 잘생긴 남자 만나면 생기는 일ㅋㅋㅋ - 아매킹,조회수 100회,2019. 11. 30.,3,0,아매킹TV,구독자 466명,https://www.youtube.com/watch?v=bU6VpHszmqk
'워너비챌린지' #03 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 365회,2019. 11. 30.,5,1,겜생,,https://www.youtube.com/watch?v=F6xmRdi58iA
[워너비 챌린지]신규 모바일 게임❤,조회수 13회,2019. 12. 1.,0,0,로뎀나무TV,구독자 27명,https://www.youtube.com/watch?v=6dURyb-O6zw
[워너비 챌린지]❤좋다 좋다❤신규 모바일 게임❤,조회수 26회,2019. 12. 1.,0,0,로뎀나무TV,구독자 27명,https://www.youtube.com/watch?v=hjfUbY4wyfU
[KY 금영노래방] 기억해 (게임'워너비챌린지') - 오마이걸 (KY.21305),조회수 41회,2019. 12. 12.,1,1,금영 노래방 공식 유튜브 채널,구독자 3.49만명,https://www.youtube.com/watch?v=5SF8qwoDp5c
[연애시뮬] 워너비챌린지 2-1. 김태희와의 첫 갈등,조회수 20회,2019. 12. 12.,0,0,펭귄TV #게임 #연애,,https://www.youtube.com/watch?v=o2jZeM7KiUk
'워너비챌린지' #04 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 278회,2019. 12. 2.,3,0,겜생,,https://www.youtube.com/watch?v=CBraRm6O1iQ
[워너비 챌린지]상콤하게💋꿀보이스💋연애게임,조회수 26회,2019. 12. 3.,0,0,로뎀나무TV,구독자 27명,https://www.youtube.com/watch?v=4TKlwWyp9Nc
'워너비챌린지' #05 도깨비 스토리 RPG 모바일게임을 해봄 | 겜생(GAMELIFE),조회수 197회,2019. 12. 4.,3,0,겜생,,https://www.youtube.com/watch?v=08hiqnGlWyY
