title,count,date,good_count,bad_count,youtuber,subscriber,url
"워드퍼즐,재미있는가족게임,단어퍼즐,단어력증강,라파게임방",조회수 128회,2019. 10. 1.,0,0,이동진,구독자 1.2천명,https://www.youtube.com/watch?v=fKBYVQHURvw
"라파게임방,워드퍼즐,사자성어는포기",조회수 243회,2019. 10. 1.,2,0,이동진,구독자 1.2천명,https://www.youtube.com/watch?v=eLqV-WZSEBw
"라파게임방,워드퍼즐,아내승리,어렵다",조회수 26회,2019. 10. 1.,0,0,이동진,구독자 1.2천명,https://www.youtube.com/watch?v=JwtfiVmniHY
워드타워 8편,조회수 16회,2019. 10. 10.,0,0,민승서영커플영화계정,구독자 145명,https://www.youtube.com/watch?v=8IBUyvYq_VM
워드타워 스테이지5~6 ing,조회수 16회,2019. 10. 13.,0,0,시베리안코로스케,구독자 4명,https://www.youtube.com/watch?v=TsSMnMQ3pZY
워드타워 1편,조회수 58회,2019. 10. 2.,0,0,민승서영커플영화계정,구독자 145명,https://www.youtube.com/watch?v=2iosaW-0_mg
[워드타워2 - 세계여행 모바일게임] 스테이지14 - 캐나다 밴프 - 51 ~ 100 정답 공략 영상!!,조회수 189회,2019. 10. 2.,1,0,모바일게임픽 MobileGamePick,,https://www.youtube.com/watch?v=n47daBxHSSw
[SM엔터테인먼트]레이 우롱 휴대폰의 모바일 게임 TV광고 [워드퍼즐 - 단어 게임 편],조회수 109회,2019. 10. 20.,1,0,서울4호선469편성,구독자 283명,https://www.youtube.com/watch?v=BKSmjVJBt6E
이런 말이 있나 싶은데 있네요. 십자말 풀이 모바일 게임 - 워드퍼즐 - MOBILE화면용,조회수 28회,2019. 10. 22.,0,1,객설TV,구독자 17명,https://www.youtube.com/watch?v=jUohgfb6X2w
[똥손마미] 가로세로 낱말 퍼즐 맞추는(워드 퍼즐)게임을 즐겨보아요,조회수 97회,2019. 11. 1.,3,0,똥손마미 DDONGSONMAMMY,구독자 18명,https://www.youtube.com/watch?v=rrp8r4kPE18
워드 여행 - 두뇌 트레이닝 세계 여행 퍼즐,조회수 13회,2019. 11. 12.,0,0,왕웨이,,https://www.youtube.com/watch?v=zMQgucOzlC0
오늘은 워드퍼즐 이라는 게임을 하였습니다!,조회수 30회,2019. 11. 19.,1,0,발로TV발로TV,구독자 15명,https://www.youtube.com/watch?v=vdsc9Jt4juI
워드퍼즐꿀잼,조회수 2회,2019. 11. 23.,0,0,Wonju Lee,구독자 2명,https://www.youtube.com/watch?v=OOUb8M0q4ms
이런 말이 있나 싶은데 있네요. 십자말 풀이 모바일 게임 - 워드퍼즐 - PC화면용,조회수 37회,2019. 11. 3.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=uhp9yGq89Oc
🎮Word Puzzle ✏워드퍼즐✏ 플레이영상 🎮,조회수 16회,2019. 11. 30.,0,0,날아라시옹잉,구독자 14명,https://www.youtube.com/watch?v=r-zoVho84NE
워드퍼즐 / 레벨 41 ~ 레벨 50,조회수 3회,2019. 12. 11.,0,0,스벌TV,구독자 3명,https://www.youtube.com/watch?v=G4dvpNyy31k
워드퍼즐 / 레벨 21 ~ 레벨 30,조회수 2회,2019. 12. 8.,0,0,스벌TV,구독자 3명,https://www.youtube.com/watch?v=SrtryD1drnk
