title,count,date,good_count,bad_count,youtuber,subscriber,url
Call of duty Mobile : Scrim / 콜오브듀티 모바일 클랜전 | MaRin 1Day,조회수 405회,2019. 10. 1.,21,2,1Day,구독자 808명,https://www.youtube.com/watch?v=RmNGGv_PbP8
(이빨) 콜 오브 듀티 모바일 출시! 멀티 플레이 초반 미친 타격감!,조회수 118회,2019. 10. 1.,4,0,께름찌케TV,구독자 943명,https://www.youtube.com/watch?v=NonM0xWRAY4
콜오브듀티®: 모바일 광고 Full Ver,"조회수 383,779회",2019. 10. 1.,363,94,콜 오브 듀티: 모바일,구독자 2.61천명,https://www.youtube.com/watch?v=wG7g3zfEV8o
콜오브 듀티 모바일 출시?! SR장인의 매드무비,조회수 311회,2019. 10. 1.,9,2,Reach[실력파 게임방송],구독자 382명,https://www.youtube.com/watch?v=ylN8mkUKMG4
모바일게임] 콜오브듀티 출시! 실감나는 타격감과 재미는 덤(설참),조회수 63회,2019. 10. 1.,13,0,최강일우,구독자 502명,https://www.youtube.com/watch?v=fa8ALaapxT8
누적 판매량 1억 시리즈 모바일로 귀환 [ 콜 오브 듀티 모바일 ] - 흑백게임,조회수 257회,2019. 10. 1.,11,0,흑백게임TV,,https://www.youtube.com/watch?v=p36cw4-QnSA
콜 오브 듀티 모바일이 드디어 출시!! AI가 좀..^^ [콜 오브 듀티 모바일],조회수 141회,2019. 10. 1.,3,0,저는 그런사람 모릅니다,구독자 57명,https://www.youtube.com/watch?v=FAWpW2JkC08
콜 오브듀티 모바일 총게임,조회수 12회,2019. 10. 1.,2,0,잘생긴유채민,구독자 9명,https://www.youtube.com/watch?v=ULsjlmNdh_A
이게 진짜 모바일 FPS 그래픽?! '콜오브듀티 모바일' 정식출시 플레이! | 키마 공식지원 실화냐?,"조회수 30,229회",2019. 10. 1.,282,24,알로직,구독자 17.4만명,https://www.youtube.com/watch?v=hrZza0A2hWI
콜 오브 듀티 모바일 게임 영상 저 이거 시작하자마자 고인물 사람이 되는데 ㅋㅋㅋㅋㅋㅋㅋㅋ,조회수 56회,2019. 10. 1.,3,1,고승진유튜브,구독자 71명,https://www.youtube.com/watch?v=4JCsom5Nw_g
모바일게임의 반란!! 콜오브듀티 모바일 리뷰 [#조곤조곤],조회수 214회,2019. 10. 1.,5,0,원주피카츄,구독자 218명,https://www.youtube.com/watch?v=GuudKeGpxAI
[Call of Duty: Mobile/콜 오브 듀티: 모바일]튜토리얼 플레이 영상,조회수 41회,2019. 10. 1.,2,0,그레이딩고,구독자 65명,https://www.youtube.com/watch?v=S9mVOQC1Xlg
'콜 오브 듀티 모바일' 게임을 해봄 | 겜생(GAMELIFE),"조회수 2,437회",2019. 10. 1.,17,1,겜생,,https://www.youtube.com/watch?v=bOgNhyOZLNM
배틀로얄에 좀비가?!!!!!! ㄷㄷ _ 콜오브듀티 모바일 _ CODM,"조회수 3,970회",2019. 10. 1.,22,10,슬로우TV,구독자 9.05천명,https://www.youtube.com/watch?v=GjvZuKiyDNE
콜오브듀티 모바일 - 수색 섬멸 (CoD M),조회수 172회,2019. 10. 1.,0,0,IcE BlazE,구독자 17명,https://www.youtube.com/watch?v=JXhsduR74uw
콜오브듀티) 모바일배그 정복자가 모바일기기로 플레이해봤습니다. 떡상각인데 이거..?,"조회수 11,894회",2019. 10. 1.,좋아요,싫어요,코삐나,,https://www.youtube.com/watch?v=u_y9IpD0gT0
