title,count,date,good_count,bad_count,youtuber,subscriber,url
실력 죽지 않았다... [클래시로얄] 허팝게임,"조회수 76,378회",2019. 1. 25.,889,83,HeopopGames 허팝게임,구독자 36.2만명,https://www.youtube.com/watch?v=g5__L8vhWcI
[클래시로얄] 4300점 쉽게 가는덱,조회수 686회,2019. 1. 26.,6,0,Paper Story,구독자 14명,https://www.youtube.com/watch?v=4-WEyNzMU_0
신규카드 돌격 해골병에 대해 알아보자! (업데이트 미리보기) [클래시로얄-Clash Royale] [June],"조회수 219,485회",2019. 1. 27.,2.1천,82,JUNE,구독자 47.1만명,https://www.youtube.com/watch?v=_gzdDG0T1qs
클래시로얄과 비슷한 지도안코 비슷한 게임,조회수 39회,2019. 1. 28.,0,1,김미영,구독자 1명,https://www.youtube.com/watch?v=wRsJoyPEO7E
드디어 클래시로얄 덱 올 만렙 찍었습니다... 어디까지 올라갈 수 있을까?｜클래시로얄-Clash Royale｜DailyBean,조회수 571회,2019. 1. 28.,8,5,DailyBean 데일리빈,구독자 1.69천명,https://www.youtube.com/watch?v=_NRYBwsUNfg
클래시로얄 캐릭터가 돼서 전쟁하는 게임!! [로블록스 CLASH],조회수 680회,2019. 10. 1.,13,1,신나는게임 우니TV,,https://www.youtube.com/watch?v=wyw9EwcXneo
★해골통 개사기카드 등극★ 챔피언 차-암 쉽쥬? 【클래시 로얄 트로피전】,"조회수 10,009회",2019. 10. 1.,115,4,헤마군CR,구독자 3.23만명,https://www.youtube.com/watch?v=Ru30uhf_b54
추억속 게임 클래시로얄 ! [ Play clash loyal],조회수 37회,2019. 10. 1.,5,0,천악,구독자 32명,https://www.youtube.com/watch?v=MsFIrFvmzeg
클래시로얄 2대2 터치다운 [게임승찬],조회수 11회,2019. 10. 10.,3,0,승찬TV,구독자 29명,https://www.youtube.com/watch?v=ivZ2sbCxBBc
"클래시 로얄: 로얄 로드 하이라이트, blck royal vs 살선생 [슈퍼셀 라운지]","조회수 47,902회",2019. 10. 11.,289,39,클래시 로얄,구독자 32.5만명,https://www.youtube.com/watch?v=cIdrfiqodF0
7900점 이상 가는 미친 승률? 로호 박격덱![클래시로얄][Sunny CR],"조회수 28,194회",2019. 10. 11.,253,6,Sunny CR,구독자 9.48천명,https://www.youtube.com/watch?v=XM0071SfpMc
스펠이 들어가지 않는 2.6 순환 노스펠덱?! 이런 덱으로 게임이 가능하네요? - [겔튜브]클래시로얄(clash royale),"조회수 36,653회",2019. 10. 11.,487,14,니얼굴윤겔라(geltube),구독자 28.8만명,https://www.youtube.com/watch?v=RwU8SiyJhWY
"클래시 로얄: 로얄 로드 하이라이트, _YVonN12 vs ❄Seori❄ [슈퍼셀 라운지]","조회수 13,490회",2019. 10. 11.,167,10,클래시 로얄,구독자 32.5만명,https://www.youtube.com/watch?v=7-Tk5KxFcK8
[game story]클래시로얄(한국vs일본)오!필승 코리아,조회수 60회,2019. 10. 11.,1,0,brocall lee,구독자 76명,https://www.youtube.com/watch?v=vC5SbH323OQ
"클래시 로얄: 로얄 로드 하이라이트, blck royal vs 건휘왔당 [슈퍼셀 라운지]","조회수 12,160회",2019. 10. 12.,159,9,클래시 로얄,구독자 32.5만명,https://www.youtube.com/watch?v=Vz1sT-KaRrw
랭커에게 배운 로켓만 던져도 이기는 개사기덱 씁니다. 【클래시로얄 꿀덱】,"조회수 52,881회",2019. 10. 12.,500,41,헤마군CR,구독자 3.23만명,https://www.youtube.com/watch?v=toT9ZnGPIlk
클래시 로얄 게임 영상이 생긴다?,조회수 23회,2019. 10. 12.,1,0,사신 크로서,구독자 120명,https://www.youtube.com/watch?v=AuAkck3uQMM
클래시로얄 약간의게임,조회수 13회,2019. 10. 12.,3,0,최정현,구독자 2명,https://www.youtube.com/watch?v=qOSffCMQJ7k
[저세상 클로] 이세상 클래시로얄이 아니다 - 메나네이도,조회수 365회,2019. 10. 12.,11,1,유재석TV - 저세상 예능 클로,,https://www.youtube.com/watch?v=SEMUhsQ8sQY
클래시로얄 요즘 아레나1은 어떨까,조회수 29회,2019. 10. 12.,4,2,무현질러,구독자 91명,https://www.youtube.com/watch?v=AIHY7DY-GEE
클래시로얄 트롤하기!(자막없음),조회수 36회,2019. 10. 12.,2,0,유튜브 트남베,구독자 365명,https://www.youtube.com/watch?v=m6pEoUfHQRs
☆게임지식사전_이번에는 클래시 로얄이닷!,조회수 14회,2019. 10. 13.,4,0,게임지식사전,구독자 33명,https://www.youtube.com/watch?v=WbwR-9DKerA
새로운 사기 무덤덱 출시! 엘골무덤덱! [클래시로얄][Sunny CR],"조회수 16,908회",2019. 10. 13.,189,6,Sunny CR,구독자 9.48천명,https://www.youtube.com/watch?v=M9IC5jxDYDk
엘골 만렙 찍으려고 모았습니다 [클래시로얄-Clash Royale] [June],"조회수 441,949회",2019. 10. 14.,3.6천,199,JUNE,구독자 47.1만명,https://www.youtube.com/watch?v=d5pDv69npqA
1년 만에 갓겜 클래시로얄을 들어가 봤습니다.. 이게 다 뭐야??,"조회수 456,886회",2019. 10. 14.,5.6천,213,테드TV,구독자 91만명,https://www.youtube.com/watch?v=z2oWZa-1rgw
눈덩이 너프 왜 또 했나 했는데.. 이건 진짜 너무하네 【클래시로얄 패치】,"조회수 4,246회",2019. 10. 14.,93,2,헤마군CR,구독자 3.23만명,https://www.youtube.com/watch?v=lTFgqTnlmhw
짤짤이의 정석! 3.1 순환 광독덱 [클래시로얄][Sunny CR],"조회수 23,150회",2019. 10. 15.,215,5,Sunny CR,구독자 9.48천명,https://www.youtube.com/watch?v=bSfs6UDDAt0
