title,count,date,good_count,bad_count,youtuber,subscriber,url
앙헬 리뷰! 스킬을 한번에 다섯번 쓸수있다! 킹오브파이터 올스타 [비범],"조회수 5,901회",2019. 10. 10.,53,3,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=NdISo-97mUM
[킹 오브 파이터 올스타] 할로윈 나이트 마리 공식 소개 영상,"조회수 3,362회",2019. 10. 15.,25,1,킹 오브 파이터 올스타,구독자 7.39천명,https://www.youtube.com/watch?v=0qFVg9cK204
[킹 오브 파이터 올스타] 할로윈 나이트 샹페이 공식 소개 영상,"조회수 2,781회",2019. 10. 15.,18,1,킹 오브 파이터 올스타,구독자 7.39천명,https://www.youtube.com/watch?v=kGOAldb24g8
[킹 오브 파이터 올스타] 할로윈 나이트 하이데른 공식 소개 영상,"조회수 2,920회",2019. 10. 15.,24,2,킹 오브 파이터 올스타,구독자 7.39천명,https://www.youtube.com/watch?v=xCdaqW8y4FE
2019년 10월16일 녹화방송 킹오브파이터즈 올스타 #11(1부)☆,조회수 26회,2019. 10. 16.,2,0,퍼펙트라임TV,구독자 191명,https://www.youtube.com/watch?v=x8Sfj-ix2mM
할로윈 나이트 전부 뽑아버리기! 킹오브파이터 올스타,"조회수 4,310회",2019. 10. 17.,47,5,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=pCowkzEGS84
[킹오브파이터 올스타]에픽1 4-1 cost45 공략!,조회수 399회,2019. 10. 17.,3,0,녹각림,구독자 65명,https://www.youtube.com/watch?v=_3vYHtj49Vo
"할로윈 하이데른! 출혈, 흡혈 파이터! 킹오브파이터 올스타","조회수 7,001회",2019. 10. 17.,57,3,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=9rkQVdLb-YE
할로윈 샹페이 리뷰! 생각지도 못한 PVP 성능! 킹오브파이터 올스타,"조회수 5,341회",2019. 10. 17.,39,4,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=ctTsQ-tywag
할로윈 마리 리뷰! 확실한 버프형 파이터! 킹오브파이터 올스타,"조회수 5,730회",2019. 10. 17.,54,3,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=OQUQbF5AN2E
마리 세트카드 뽑기! 킹오브파이터 올스타,"조회수 2,876회",2019. 10. 18.,25,3,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=ByJKGdHr9nM
클론 제로 리뷰! 드디어 써보는 무료 페스타 PVP! 킹오브파이터 올스타,"조회수 8,688회",2019. 10. 18.,67,7,비범이 BeBomb,구독자 8.52천명,https://www.youtube.com/watch?v=jgQOKFTsygw
