title,count,date,good_count,bad_count,youtuber,subscriber,url
펭귄의 섬,조회수 29회,2019. 10. 10.,0,0,현이의저장소,구독자 27명,https://www.youtube.com/watch?v=qsE-40x68oc
찐힐링 방치 모바일 게임 - 펭귄의 섬 - PC화면용,조회수 25회,2019. 10. 11.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=9dgbAKNDW6M
펭귄의섬입니다 첫영상이니 재미있게 봐주세요^^그리고 화질 양해부탁드립니다,조회수 30회,2019. 10. 12.,2,0,2엔더건,구독자 5명,https://www.youtube.com/watch?v=r5J3dkx5JSU
찐힐링 방치 모바일 게임 - 펭귄의 섬 - MOBILE화면용,조회수 28회,2019. 10. 12.,0,0,객설TV,구독자 17명,https://www.youtube.com/watch?v=t4IVrBGkT10
힐링 게임 펭귄의섬 을 해보았습니다(리뷰),조회수 100회,2019. 10. 12.,0,0,youTube칠피아,구독자 238명,https://www.youtube.com/watch?v=ApE4Kjb8IE8
펭귄의 섬_2019-10-11,조회수 186회,2019. 10. 14.,0,0,MinKyu Kim,구독자 10명,https://www.youtube.com/watch?v=SuybI1x9gb4
[펭귄의 섬] 1화 보다 자는 영상,조회수 114회,2019. 10. 14.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=sc_EbLu-r8w
[펭귄의 섬] 2화 보다 자는 영상,조회수 82회,2019. 10. 16.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=1N6vUJF1iYE
[sub] All Penguins in 'Penguin's Island' '펭귄의섬' 펭귄 다 모았다!!,"조회수 2,302회",2019. 10. 17.,22,1,펭씨네공간,구독자 21명,https://www.youtube.com/watch?v=CKI0Pl-JYfU
[펭귄의 섬] 3화 보다 자는 영상,조회수 39회,2019. 10. 17.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=sJTGV7xmqFs
모험!!!!!!펭귄의 섬,조회수 16회,2019. 10. 18.,0,0,우킹,구독자 2명,https://www.youtube.com/watch?v=v1GDcKZlIK0
[펭귄의 섬] 4화 보다 자는 영상,조회수 28회,2019. 10. 18.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=SmYZV8Bw5xw
[펭귄의 섬] 5화 보다 자는 영상,조회수 49회,2019. 10. 19.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=vpdsXfPGqC8
[펭귄의 섬] 6화 보다 자는 영상,조회수 45회,2019. 10. 21.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=bA86rRBilpk
[펭귄의 섬] 7화 보다 자는 영상,조회수 41회,2019. 10. 22.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=GOOeylX7uZE
[펭귄의 섬] 8화 보다 자는 영상,조회수 17회,2019. 10. 26.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=EigMvlUa3YE
모바일 힐링게임 펭귄의섬 리뷰,조회수 39회,2019. 10. 26.,0,0,태스크마스터,구독자 10명,https://www.youtube.com/watch?v=dIxZEfuyXtM
[펭귄의 섬] 9화 보다 자는 영상,조회수 267회,2019. 10. 27.,2,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=RjyQ9MZEM0o
펭귄의 섬 - 공식 소개 비디오,"조회수 5,358회",2019. 10. 28.,5,2,HABBY,구독자 62명,https://www.youtube.com/watch?v=iCeb5awKDIU
[펭귄의 섬] 10화 보다 자는 영상,조회수 18회,2019. 10. 30.,1,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=rpaPUZrwtUw
[펭귄의 섬] 11화 보다 자는 영상,조회수 25회,2019. 10. 31.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=bFI0Cc9i7eY
단순모바일게임-펭귄의 섬/처음부터 해보기,조회수 307회,2019. 10. 7.,6,0,유홈,구독자 13명,https://www.youtube.com/watch?v=9Fw5RTW08ug
[펭귄의 섬] 19화 보다 자는 영상,조회수 301회,2019. 11. 10.,1,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=CNZwWn73_SM
펭귄의 섬 게임하기,조회수 18회,2019. 11. 11.,1,0,짱구덕후들,,https://www.youtube.com/watch?v=5Ol2ULHTcdM
[펭귄의 섬] 노예 펭귄들의 일거수 일투족 대공개 (펭수가 위험하다 ㅎㄷㄷ ),조회수 91회,2019. 11. 15.,2,0,김택견,구독자 168명,https://www.youtube.com/watch?v=_RKzsdttdoQ
[펭귄의 섬] 20화 보다 자는 영상,조회수 20회,2019. 11. 16.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=zttLxT0kMRU
[펭귄의 섬] 21화 보다 자는 영상,조회수 25회,2019. 11. 17.,1,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=y8W1aIURvPs
펭귄의 섬,조회수 19회,2019. 11. 18.,0,0,아아아아,구독자 1명,https://www.youtube.com/watch?v=kpB4zPYKP98
펭귄이 낚시를?!?! [펭귄의 섬],조회수 18회,2019. 11. 18.,2,0,토리,구독자 20명,https://www.youtube.com/watch?v=FEYJcmqtpwQ
펭귄의 섬 플레이,조회수 5회,2019. 11. 18.,1,0,박준우,구독자 4명,https://www.youtube.com/watch?v=YZDIolZqB-U
[펭귄의 섬] 22화 보다 자는 영상,조회수 56회,2019. 11. 19.,1,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=D5yoaflBgGU
[폴 TV]펭귄의 섬,조회수 20회,2019. 11. 2.,2,0,폴TV,구독자 144명,https://www.youtube.com/watch?v=0V_926V9DSo
[펭귄의 섬] 12화 보다 자는 영상,조회수 17회,2019. 11. 2.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=PAUYyR8c9XY
모바일게임 추천 귀욤 터지는 펭귄의 섬 플레이 영상,조회수 22회,2019. 11. 21.,0,0,라브라도,구독자 1명,https://www.youtube.com/watch?v=zNFZ5JYY_1Q
남극 펭귄섬에 온천이 생겼어요.,조회수 8회,2019. 11. 21.,1,0,플플channel,구독자 1명,https://www.youtube.com/watch?v=x157gX2pDIM
숨은 게임맛집💓🏠🐧[펭귄의 섬],조회수 34회,2019. 11. 21.,2,0,꺼령,구독자 13명,https://www.youtube.com/watch?v=wIqjMLsreeM
펭귄의섬을 해보았습니다. (광고소리 주의),조회수 63회,2019. 11. 21.,1,0,플플channel,구독자 1명,https://www.youtube.com/watch?v=ygx6hmLFnmQ
보고만 있어도 마음이 치유되는 모바일 힐링게임 - 펭귄의 섬,조회수 151회,2019. 11. 22.,9,2,태기태기,구독자 1.38천명,https://www.youtube.com/watch?v=fxBQLoqLNUg
펭귄의섬 게임해보았다!,조회수 26회,2019. 11. 22.,3,0,재블,구독자 27명,https://www.youtube.com/watch?v=Qdbex26u-d4
[펭귄의 섬] 23화 보다 자는 영상,조회수 35회,2019. 11. 24.,1,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=6ImO5EyVVrY
펭귄의섬 2일차,조회수 6회,2019. 11. 25.,0,0,도토로,구독자 28명,https://www.youtube.com/watch?v=Etdl6VPZRlY
펭귄의섬,조회수 14회,2019. 11. 27.,1,0,도토로,구독자 28명,https://www.youtube.com/watch?v=6_STVzoW64k
펭귄의 섬이라는 게임이에요!,조회수 8회,2019. 11. 28.,1,0,애플파이,구독자 7명,https://www.youtube.com/watch?v=LwK-tcfkym8
[펭귄의 섬] 13화 보다 자는 영상,조회수 9회,2019. 11. 3.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=LZSETTNd19g
[펭귄의 섬] 14화 보다 자는 영상,조회수 16회,2019. 11. 4.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=eHUnwVRuOl0
[펭귄의 섬] 15화 보다 자는 영상,조회수 598회,2019. 11. 5.,2,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=tkAZfEDoMZw
[펭귄의 섬] 16화 보다 자는 영상,조회수 36회,2019. 11. 6.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=djAVX8DY8EM
[펭귄의 섬] 17화 보다 자는 영상,조회수 27회,2019. 11. 7.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=BSvqDvApTrI
펭귄들이여! 나를 따르라! 펭귄 섬 부흥 작전!(글래지카 게임),조회수 19회,2019. 11. 9.,1,0,히더스게임,구독자 5명,https://www.youtube.com/watch?v=2xUZpyJtXLA
[펭귄의 섬] 18화 보다 자는 영상,조회수 15회,2019. 11. 9.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=-Fsqevj7qQE
자본주의에 철저히 이용당한...흉폭한 펭귄들의 끔찍한 실체... : 펭귄의섬,"조회수 99,588회",2019. 12. 1.,1.4천,38,텔론,구독자 86만명,https://www.youtube.com/watch?v=NKZ4iHQ2Ga4
중간에 영상 날라감 주의!![펭귄의 섬],조회수 23회,2019. 12. 4.,3,0,꺼령,구독자 13명,https://www.youtube.com/watch?v=u8LrdEFvnvk
(펭귄의 섬)특징:지루할수있음,조회수 16회,2019. 12. 5.,1,0,이가람의 재미있는 게임채널,구독자 17명,https://www.youtube.com/watch?v=A00IAzvvGKw
[펭귄의 섬] 25화 보다 자는 영상,조회수 88회,2019. 12. 7.,0,0,뫄뫄솨솨,,https://www.youtube.com/watch?v=b9lCh_KlMHA
펭귄의 섬,조회수 126회,2019. 8. 30.,0,2,Gonrodu곤로두,구독자 1명,https://www.youtube.com/watch?v=9MaPKas1Tjs
펭귄의섬_또 하나의 힐링게임_귀요미 펭귄과 다양한 생명체를 키워보세요,"조회수 1,240회",2019. 8. 31.,3,0,Game촌,구독자 28명,https://www.youtube.com/watch?v=j3PdgzAk3ks
[신작게임 인스턴트 3분리뷰] #23 펭귄의 섬 - 연휴 스트레스 확 날려줄 힐링게임,"조회수 1,064회",2019. 9. 12.,10,0,노닥TV 노재웅,구독자 1.43천명,https://www.youtube.com/watch?v=8g9zww2Q9Ck
"[모바일게임 리뷰] 직접 플레이해본 힐링 모바일게임 추천(펭귄의 섬, 최신의 3D퍼즐게임, 숫자페인트)",조회수 860회,2019. 9. 13.,6,1,리뷰밍 ReviewMing,,https://www.youtube.com/watch?v=xEOQ5xUvJiQ
귀여운 펭귄들이 가득한 힐링 게임이 있습니다 - 펭귄의 섬,조회수 307회,2019. 9. 19.,6,0,초스터,,https://www.youtube.com/watch?v=E-8Jc417BoI
자꾸 광고 떠서 깔아본 게임,조회수 164회,2019. 9. 29.,11,0,예멤냥,구독자 1.82천명,https://www.youtube.com/watch?v=f7CB2ULszZY
펭귄의 섬_보석 3600개로 다양한 생명체를 얻어보자!,"조회수 6,040회",2019. 9. 3.,17,4,Game촌,구독자 28명,https://www.youtube.com/watch?v=3m-MgQEjcCk
펭귄의 섬 모바일게임소개,조회수 48회,2019. 9. 3.,0,0,대소!,구독자 2명,https://www.youtube.com/watch?v=RMJ6AJj2ltg
왜곡된 펭귄의 섬,"조회수 1,454회",2019. 9. 3.,6,0,케이크,구독자 70명,https://www.youtube.com/watch?v=Ph6ynjJNW8A
방치형 힐링 라이프 게임 잔잔하고 고요하다 - 펭귄의섬 모바일 게임,조회수 694회,2019. 9. 30.,5,0,꼬무신TV,구독자 5.1천명,https://www.youtube.com/watch?v=_c8lbL__zWY
펭귄의 섬 플레이,조회수 20회,2019. 9. 4.,0,0,su bot,,https://www.youtube.com/watch?v=ib4niCZWnFo
[펭귄의 섬] 그냥 펭귄이 귀여워서 했습니다. 펭귄관찰 방치형 힐링 게임,"조회수 1,931회",2019. 9. 5.,9,0,잼둥,구독자 462명,https://www.youtube.com/watch?v=dxWvRuS80_Y
'Penguin's isle' Adelie Penguin riding a slide 아델리펭귄 미끄럼틀 타는 모습,조회수 174회,2019. 9. 6.,3,0,펭씨네공간,구독자 21명,https://www.youtube.com/watch?v=iGSN6s999xg
"Welcome to ""Penguin's Isle"" 펭귄의섬","조회수 5,008회",2019. 9. 6.,41,4,펭씨네공간,구독자 21명,https://www.youtube.com/watch?v=ARYeLYYoExI
펭귄의섬,조회수 149회,2019. 9. 6.,0,0,에리베리,구독자 77명,https://www.youtube.com/watch?v=ksmLCUOnBxw
진자 개잘만든 방치형 게임 ▶ 펭귄의 섬,"조회수 5,215회",2019. 9. 6.,25,8,예멤냥,구독자 1.82천명,https://www.youtube.com/watch?v=jGgkNeKCc5I
펭귄의 섬_보석 3600개로 열기구비행장 잠금해제 가능??? 불가능???,"조회수 8,254회",2019. 9. 9.,22,10,Game촌,구독자 28명,https://www.youtube.com/watch?v=qrAZ2XKiY-Q
